Year,UNIT_MEASURE,Pol,Starosna dob,Value
2019,Broj,Oba pola,Ukupno,1140112
2019,Broj,Oba pola,0,9365
2019,Broj,Oba pola,1,9555
2019,Broj,Oba pola,2,9316
2019,Broj,Oba pola,3,9433
2019,Broj,Oba pola,4,9323
2019,Broj,Oba pola,5,9399
2019,Broj,Oba pola,6,9571
2019,Broj,Oba pola,7,10527
2019,Broj,Oba pola,8,10434
2019,Broj,Oba pola,9,10966
2019,Broj,Oba pola,10,11378
2019,Broj,Oba pola,11,11112
2019,Broj,Oba pola,12,10754
2019,Broj,Oba pola,13,10677
2019,Broj,Oba pola,14,10771
2019,Broj,Oba pola,15,10877
2019,Broj,Oba pola,16,10884
2019,Broj,Oba pola,17,11024
2019,Broj,Oba pola,18,11567
2019,Broj,Oba pola,19,11723
2019,Broj,Oba pola,20,11693
2019,Broj,Oba pola,21,12775
2019,Broj,Oba pola,22,14434
2019,Broj,Oba pola,23,14270
2019,Broj,Oba pola,24,14659
2019,Broj,Oba pola,25,14017
2019,Broj,Oba pola,26,11482
2019,Broj,Oba pola,27,11833
2019,Broj,Oba pola,28,13765
2019,Broj,Oba pola,29,13562
2019,Broj,Oba pola,30,13907
2019,Broj,Oba pola,31,14751
2019,Broj,Oba pola,32,14841
2019,Broj,Oba pola,33,15061
2019,Broj,Oba pola,34,15456
2019,Broj,Oba pola,35,15937
2019,Broj,Oba pola,36,16224
2019,Broj,Oba pola,37,16162
2019,Broj,Oba pola,38,16065
2019,Broj,Oba pola,39,16127
2019,Broj,Oba pola,40,15898
2019,Broj,Oba pola,41,15919
2019,Broj,Oba pola,42,16039
2019,Broj,Oba pola,43,16715
2019,Broj,Oba pola,44,16047
2019,Broj,Oba pola,45,15407
2019,Broj,Oba pola,46,15443
2019,Broj,Oba pola,47,15610
2019,Broj,Oba pola,48,15146
2019,Broj,Oba pola,49,14028
2019,Broj,Oba pola,50,14847
2019,Broj,Oba pola,51,15107
2019,Broj,Oba pola,52,15826
2019,Broj,Oba pola,53,16313
2019,Broj,Oba pola,54,17072
2019,Broj,Oba pola,55,16272
2019,Broj,Oba pola,56,16727
2019,Broj,Oba pola,57,17617
2019,Broj,Oba pola,58,17514
2019,Broj,Oba pola,59,17817
2019,Broj,Oba pola,60,17727
2019,Broj,Oba pola,61,18106
2019,Broj,Oba pola,62,16355
2019,Broj,Oba pola,63,17906
2019,Broj,Oba pola,64,17566
2019,Broj,Oba pola,65,18676
2019,Broj,Oba pola,66,17163
2019,Broj,Oba pola,67,17866
2019,Broj,Oba pola,68,14222
2019,Broj,Oba pola,69,15224
2019,Broj,Oba pola,70,14838
2019,Broj,Oba pola,71,12880
2019,Broj,Oba pola,72,12575
2019,Broj,Oba pola,73,11272
2019,Broj,Oba pola,74,8067
2019,Broj,Oba pola,75,7740
2019,Broj,Oba pola,76,7885
2019,Broj,Oba pola,77,7719
2019,Broj,Oba pola,78,8469
2019,Broj,Oba pola,79,9102
2019,Broj,Oba pola,80,8151
2019,Broj,Oba pola,81,7535
2019,Broj,Oba pola,82,6869
2019,Broj,Oba pola,83,5998
2019,Broj,Oba pola,84,4968
2019,Broj,Oba pola,85,4224
2019,Broj,Oba pola,86,3516
2019,Broj,Oba pola,87,2715
2019,Broj,Oba pola,88,2019
2019,Broj,Oba pola,89,1817
2019,Broj,Oba pola,90,1228
2019,Broj,Oba pola,91,997
2019,Broj,Oba pola,92,561
2019,Broj,Oba pola,93,366
2019,Broj,Oba pola,94,252
2019,Broj,Oba pola,95,158
2019,Broj,Oba pola,96,111
2019,Broj,Oba pola,97,73
2019,Broj,Oba pola,98,46
2019,Broj,Oba pola,99,35
2019,Broj,Oba pola,100,17
2019,Broj,Oba pola,101,28
2019,Broj,Oba pola,102,16
2019,Broj,Oba pola,103,8
2019,Broj,Oba pola,104,4
2019,Broj,Oba pola,105,3
2019,Broj,Oba pola,106,2
2019,Broj,Oba pola,107,1
2019,Broj,Oba pola,108,0
2019,Broj,Oba pola,109,0
2019,Broj,Oba pola,110,0
2019,Broj,Oba pola,111,0
2019,Broj,Oba pola,112,0
2019,Broj,Oba pola,113,0
2019,Broj,Oba pola,114,0
2019,Broj,Oba pola,115,0
2019,Broj,Oba pola,116,0
2019,Broj,Oba pola,117,0
2019,Broj,Oba pola,118,0
2019,Broj,Oba pola,119,0
2019,Broj,Oba pola,120+,0
2020,Broj,Oba pola,Ukupno,1134945
2020,Broj,Oba pola,0,9255
2020,Broj,Oba pola,1,9364
2020,Broj,Oba pola,2,9558
2020,Broj,Oba pola,3,9318
2020,Broj,Oba pola,4,9433
2020,Broj,Oba pola,5,9323
2020,Broj,Oba pola,6,9405
2020,Broj,Oba pola,7,9575
2020,Broj,Oba pola,8,10526
2020,Broj,Oba pola,9,10432
2020,Broj,Oba pola,10,10963
2020,Broj,Oba pola,11,11376
2020,Broj,Oba pola,12,11110
2020,Broj,Oba pola,13,10753
2020,Broj,Oba pola,14,10676
2020,Broj,Oba pola,15,10769
2020,Broj,Oba pola,16,10875
2020,Broj,Oba pola,17,10883
2020,Broj,Oba pola,18,11002
2020,Broj,Oba pola,19,11543
2020,Broj,Oba pola,20,11718
