Year,UNIT_MEASURE,Value
2019,Stopa nataliteta na 1.000 stanovnika,8.22
2020,Stopa nataliteta na 1.000 stanovnika,8.16
2025,Stopa nataliteta na 1.000 stanovnika,7.87
2030,Stopa nataliteta na 1.000 stanovnika,7.63
2035,Stopa nataliteta na 1.000 stanovnika,7.41
2040,Stopa nataliteta na 1.000 stanovnika,7.27
2045,Stopa nataliteta na 1.000 stanovnika,7.16
2050,Stopa nataliteta na 1.000 stanovnika,7.11
2055,Stopa nataliteta na 1.000 stanovnika,7.09
2060,Stopa nataliteta na 1.000 stanovnika,7.07
2065,Stopa nataliteta na 1.000 stanovnika,7.03
2070,Stopa nataliteta na 1.000 stanovnika,7.01
