Year,UNIT_MEASURE,Starost,Pol,Value
2013,Broj,Ukupno,Ukupno,1171179
2013,Broj,0,Ukupno,10035
2013,Broj,1,Ukupno,10460
2013,Broj,2,Ukupno,10707
2013,Broj,3,Ukupno,11154
2013,Broj,4,Ukupno,11207
2013,Broj,5,Ukupno,10904
2013,Broj,6,Ukupno,10712
2013,Broj,7,Ukupno,10729
2013,Broj,8,Ukupno,10825
2013,Broj,9,Ukupno,10872
2013,Broj,10,Ukupno,10950
2013,Broj,11,Ukupno,11305
2013,Broj,12,Ukupno,11677
2013,Broj,13,Ukupno,11767
2013,Broj,14,Ukupno,12325
2013,Broj,15,Ukupno,13695
2013,Broj,16,Ukupno,14433
2013,Broj,17,Ukupno,14549
2013,Broj,18,Ukupno,14443
2013,Broj,19,Ukupno,12849
2013,Broj,20,Ukupno,11748
2013,Broj,21,Ukupno,12894
2013,Broj,22,Ukupno,13784
2013,Broj,23,Ukupno,13816
2013,Broj,24,Ukupno,14399
2013,Broj,25,Ukupno,14874
2013,Broj,26,Ukupno,15022
2013,Broj,27,Ukupno,15316
2013,Broj,28,Ukupno,15736
2013,Broj,29,Ukupno,16122
2013,Broj,30,Ukupno,16245
2013,Broj,31,Ukupno,16150
2013,Broj,32,Ukupno,16154
2013,Broj,33,Ukupno,16059
2013,Broj,34,Ukupno,15952
2013,Broj,35,Ukupno,16067
2013,Broj,36,Ukupno,16490
2013,Broj,37,Ukupno,16505
2013,Broj,38,Ukupno,15883
2013,Broj,39,Ukupno,15576
2013,Broj,40,Ukupno,15687
2013,Broj,41,Ukupno,15580
2013,Broj,42,Ukupno,14799
2013,Broj,43,Ukupno,14656
2013,Broj,44,Ukupno,15244
2013,Broj,45,Ukupno,15787
2013,Broj,46,Ukupno,16438
2013,Broj,47,Ukupno,17122
2013,Broj,48,Ukupno,17121
2013,Broj,49,Ukupno,17051
2013,Broj,50,Ukupno,17800
2013,Broj,51,Ukupno,18263
2013,Broj,52,Ukupno,18454
2013,Broj,53,Ukupno,18646
2013,Broj,54,Ukupno,18845
2013,Broj,55,Ukupno,18214
2013,Broj,56,Ukupno,18247
2013,Broj,57,Ukupno,18979
2013,Broj,58,Ukupno,19517
2013,Broj,59,Ukupno,19455
2013,Broj,60,Ukupno,19218
2013,Broj,61,Ukupno,17671
2013,Broj,62,Ukupno,16334
2013,Broj,63,Ukupno,16819
2013,Broj,64,Ukupno,15731
2013,Broj,65,Ukupno,14644
2013,Broj,66,Ukupno,13862
2013,Broj,67,Ukupno,11451
2013,Broj,68,Ukupno,9678
2013,Broj,69,Ukupno,9674
2013,Broj,70,Ukupno,9865
2013,Broj,71,Ukupno,10664
2013,Broj,72,Ukupno,11907
2013,Broj,73,Ukupno,12099
2013,Broj,74,Ukupno,11550
2013,Broj,75,Ukupno,11114
2013,Broj,76,Ukupno,10488
2013,Broj,77,Ukupno,9532
2013,Broj,78,Ukupno,8577
2013,Broj,79,Ukupno,7666
2013,Broj,80,Ukupno,6723
2013,Broj,81,Ukupno,5590
2013,Broj,82,Ukupno,4991
2013,Broj,83,Ukupno,4376
2013,Broj,84,Ukupno,3690
2013,Broj,85,Ukupno,2964
2013,Broj,86,Ukupno,2133
2013,Broj,87,Ukupno,1651
2013,Broj,88,Ukupno,1215
2013,Broj,89,Ukupno,906
2013,Broj,90 +,Ukupno,2101
2013,Broj,Ukupno,M,572298
2013,Broj,0,M,5127
2013,Broj,1,M,5347
2013,Broj,2,M,5471
2013,Broj,3,M,5746
2013,Broj,4,M,5808
2013,Broj,5,M,5578
2013,Broj,6,M,5440
2013,Broj,7,M,5475
2013,Broj,8,M,5591
2013,Broj,9,M,5597
2013,Broj,10,M,5627
2013,Broj,11,M,5859
2013,Broj,12,M,6005
2013,Broj,13,M,6009
2013,Broj,14,M,6326
2013,Broj,15,M,7059
2013,Broj,16,M,7432
2013,Broj,17,M,7426
2013,Broj,18,M,7432
2013,Broj,19,M,6732
2013,Broj,20,M,6197
2013,Broj,21,M,6738
2013,Broj,22,M,7149
2013,Broj,23,M,7113
2013,Broj,24,M,7396
2013,Broj,25,M,7599
2013,Broj,26,M,7570
2013,Broj,27,M,7778
2013,Broj,28,M,8092
2013,Broj,29,M,8259
2013,Broj,30,M,8261
2013,Broj,31,M,8173
2013,Broj,32,M,8182
2013,Broj,33,M,8126
2013,Broj,34,M,8135
2013,Broj,35,M,8211
2013,Broj,36,M,8425
2013,Broj,37,M,8451
2013,Broj,38,M,8156
2013,Broj,39,M,8010
2013,Broj,40,M,8064
2013,Broj,41,M,7992
2013,Broj,42,M,7520
2013,Broj,43,M,7500
2013,Broj,44,M,7739
2013,Broj,45,M,7938
2013,Broj,46,M,8276
