Year,UNIT_MEASURE,Starosna grupa,Pol,Value
2013,Broj,Ukupno,Ukupno,1171179
2013,Broj,0-4,Ukupno,53563
2013,Broj,5-9,Ukupno,54042
2013,Broj,10-14,Ukupno,58024
2013,Broj,15-19,Ukupno,69969
2013,Broj,20-24,Ukupno,66641
2013,Broj,25-29,Ukupno,77070
2013,Broj,30-34,Ukupno,80560
2013,Broj,35-39,Ukupno,80521
2013,Broj,40-44,Ukupno,75966
2013,Broj,45-49,Ukupno,83519
2013,Broj,50-54,Ukupno,92008
2013,Broj,55-59,Ukupno,94412
2013,Broj,60-64,Ukupno,85773
2013,Broj,65-69,Ukupno,59309
2013,Broj,70-74,Ukupno,56085
2013,Broj,75-79,Ukupno,47377
2013,Broj,80-84,Ukupno,25370
2013,Broj,85-89,Ukupno,8869
2013,Broj,90 +,Ukupno,2101
2013,Broj,Ukupno,M,572298
2013,Broj,0-4,M,27499
2013,Broj,5-9,M,27681
2013,Broj,10-14,M,29826
2013,Broj,15-19,M,36081
2013,Broj,20-24,M,34593
2013,Broj,25-29,M,39298
2013,Broj,30-34,M,40877
2013,Broj,35-39,M,41253
2013,Broj,40-44,M,38815
2013,Broj,45-49,M,41755
2013,Broj,50-54,M,45161
2013,Broj,55-59,M,45750
2013,Broj,60-64,M,40723
2013,Broj,65-69,M,26840
2013,Broj,70-74,M,24039
2013,Broj,75-79,M,18940
2013,Broj,80-84,M,9573
2013,Broj,85-89,M,2977
2013,Broj,90 +,M,617
2013,Broj,Ukupno,Ž,598881
2013,Broj,0-4,Ž,26064
2013,Broj,5-9,Ž,26361
2013,Broj,10-14,Ž,28198
2013,Broj,15-19,Ž,33888
2013,Broj,20-24,Ž,32048
2013,Broj,25-29,Ž,37772
2013,Broj,30-34,Ž,39683
2013,Broj,35-39,Ž,39268
2013,Broj,40-44,Ž,37151
2013,Broj,45-49,Ž,41764
2013,Broj,50-54,Ž,46847
2013,Broj,55-59,Ž,48662
2013,Broj,60-64,Ž,45050
2013,Broj,65-69,Ž,32469
2013,Broj,70-74,Ž,32046
2013,Broj,75-79,Ž,28437
2013,Broj,80-84,Ž,15797
2013,Broj,85-89,Ž,5892
2013,Broj,90 +,Ž,1484
2014,Broj,Ukupno,Ukupno,1167082
2014,Broj,0-4,Ukupno,51846
2014,Broj,5-9,Ukupno,54417
2014,Broj,10-14,Ukupno,56601
2014,Broj,15-19,Ukupno,69432
2014,Broj,20-24,Ukupno,65038
2014,Broj,25-29,Ukupno,75296
2014,Broj,30-34,Ukupno,80722
2014,Broj,35-39,Ukupno,80852
2014,Broj,40-44,Ukupno,76216
2014,Broj,45-49,Ukupno,81515
2014,Broj,50-54,Ukupno,89781
2014,Broj,55-59,Ukupno,93123
2014,Broj,60-64,Ukupno,88482
2014,Broj,65-69,Ukupno,64182
2014,Broj,70-74,Ukupno,52482
2014,Broj,75-79,Ukupno,48465
2014,Broj,80-84,Ukupno,26497
2014,Broj,85-89,Ukupno,9835
2014,Broj,90 +,Ukupno,2300
2014,Broj,Ukupno,M,570176
2014,Broj,0-4,M,26590
2014,Broj,5-9,M,27911
2014,Broj,10-14,M,29125
2014,Broj,15-19,M,35664
2014,Broj,20-24,M,33895
2014,Broj,25-29,M,38395
2014,Broj,30-34,M,40994
2014,Broj,35-39,M,41341
2014,Broj,40-44,M,39018
2014,Broj,45-49,M,40931
2014,Broj,50-54,M,44141
2014,Broj,55-59,M,44986
2014,Broj,60-64,M,42062
2014,Broj,65-69,M,29180
2014,Broj,70-74,M,22426
2014,Broj,75-79,M,19519
2014,Broj,80-84,M,9894
2014,Broj,85-89,M,3430
2014,Broj,90 +,M,674
2014,Broj,Ukupno,Ž,596906
2014,Broj,0-4,Ž,25256
2014,Broj,5-9,Ž,26506
2014,Broj,10-14,Ž,27476
2014,Broj,15-19,Ž,33768
2014,Broj,20-24,Ž,31143
2014,Broj,25-29,Ž,36901
2014,Broj,30-34,Ž,39728
2014,Broj,35-39,Ž,39511
