Year,UNIT_MEASURE,Pol,AGE,Value
2013,Broj,Ukupno,_T,1170342
2013,Broj,Ukupno,0,10089
2013,Broj,Ukupno,1,10442
2013,Broj,Ukupno,2,10534
2013,Broj,Ukupno,3,11066
2013,Broj,Ukupno,4,11274
2013,Broj,Ukupno,5,11077
2013,Broj,Ukupno,6,10671
2013,Broj,Ukupno,7,10633
2013,Broj,Ukupno,8,10851
2013,Broj,Ukupno,9,10844
2013,Broj,Ukupno,10,10926
2013,Broj,Ukupno,11,11066
2013,Broj,Ukupno,12,11776
2013,Broj,Ukupno,13,11732
2013,Broj,Ukupno,14,11826
2013,Broj,Ukupno,15,13345
2013,Broj,Ukupno,16,14990
2013,Broj,Ukupno,17,14239
2013,Broj,Ukupno,18,14376
2013,Broj,Ukupno,19,13865
2013,Broj,Ukupno,20,11430
2013,Broj,Ukupno,21,12311
2013,Broj,Ukupno,22,13731
2013,Broj,Ukupno,23,13757
2013,Broj,Ukupno,24,14134
2013,Broj,Ukupno,25,14918
2013,Broj,Ukupno,26,14929
2013,Broj,Ukupno,27,15102
2013,Broj,Ukupno,28,15505
2013,Broj,Ukupno,29,16299
2013,Broj,Ukupno,30,16049
2013,Broj,Ukupno,31,16274
2013,Broj,Ukupno,32,16078
2013,Broj,Ukupno,33,16134
2013,Broj,Ukupno,34,15937
2013,Broj,Ukupno,35,16090
2013,Broj,Ukupno,36,16223
2013,Broj,Ukupno,37,16713
2013,Broj,Ukupno,38,16000
2013,Broj,Ukupno,39,15562
2013,Broj,Ukupno,40,15478
2013,Broj,Ukupno,41,15702
2013,Broj,Ukupno,42,15096
2013,Broj,Ukupno,43,14324
2013,Broj,Ukupno,44,15083
2013,Broj,Ukupno,45,15473
2013,Broj,Ukupno,46,16484
2013,Broj,Ukupno,47,16760
2013,Broj,Ukupno,48,17206
2013,Broj,Ukupno,49,16887
2013,Broj,Ukupno,50,17318
2013,Broj,Ukupno,51,18447
2013,Broj,Ukupno,52,18388
2013,Broj,Ukupno,53,18473
2013,Broj,Ukupno,54,19374
2013,Broj,Ukupno,55,18079
2013,Broj,Ukupno,56,17697
2013,Broj,Ukupno,57,18915
2013,Broj,Ukupno,58,19477
2013,Broj,Ukupno,59,19290
2013,Broj,Ukupno,60,19555
2013,Broj,Ukupno,61,18341
2013,Broj,Ukupno,62,16472
2013,Broj,Ukupno,63,16560
2013,Broj,Ukupno,64,16276
2013,Broj,Ukupno,65,14108
2013,Broj,Ukupno,66,14936
2013,Broj,Ukupno,67,11677
2013,Broj,Ukupno,68,9659
2013,Broj,Ukupno,69,9693
2013,Broj,Ukupno,70,9614
2013,Broj,Ukupno,71,10112
2013,Broj,Ukupno,72,11718
2013,Broj,Ukupno,73,12226
2013,Broj,Ukupno,74,11478
2013,Broj,Ukupno,75,11208
2013,Broj,Ukupno,76,10446
2013,Broj,Ukupno,77,9853
2013,Broj,Ukupno,78,8546
2013,Broj,Ukupno,79,7984
2013,Broj,Ukupno,80,6632
2013,Broj,Ukupno,81,5944
2013,Broj,Ukupno,82,4871
2013,Broj,Ukupno,83,4589
2013,Broj,Ukupno,84,3530
2013,Broj,Ukupno,85+,11565
2013,Broj,M,_T,571812
2013,Broj,M,0,5148
2013,Broj,M,1,5271
2013,Broj,M,2,5457
2013,Broj,M,3,5629
2013,Broj,M,4,5888
2013,Broj,M,5,5718
2013,Broj,M,6,5394
2013,Broj,M,7,5416
2013,Broj,M,8,5603
2013,Broj,M,9,5585
2013,Broj,M,10,5626
2013,Broj,M,11,5697
2013,Broj,M,12,6082
2013,Broj,M,13,6005
2013,Broj,M,14,6001
2013,Broj,M,15,6951
2013,Broj,M,16,7691
2013,Broj,M,17,7238
2013,Broj,M,18,7415
2013,Broj,M,19,7282
2013,Broj,M,20,5999
2013,Broj,M,21,6376
2013,Broj,M,22,7188
2013,Broj,M,23,7149
2013,Broj,M,24,7181
2013,Broj,M,25,7641
2013,Broj,M,26,7634
2013,Broj,M,27,7545
2013,Broj,M,28,8041
2013,Broj,M,29,8298
2013,Broj,M,30,8199
2013,Broj,M,31,8267
2013,Broj,M,32,8135
2013,Broj,M,33,8142
2013,Broj,M,34,8066
2013,Broj,M,35,8252
2013,Broj,M,36,8277
2013,Broj,M,37,8552
2013,Broj,M,38,8170
2013,Broj,M,39,8013
2013,Broj,M,40,7953
2013,Broj,M,41,8076
2013,Broj,M,42,7727
2013,Broj,M,43,7255
2013,Broj,M,44,7693
2013,Broj,M,45,7769
2013,Broj,M,46,8322
2013,Broj,M,47,8431
2013,Broj,M,48,8556
2013,Broj,M,49,8344
2013,Broj,M,50,8520
2013,Broj,M,51,9091
2013,Broj,M,52,9073
2013,Broj,M,53,9097
2013,Broj,M,54,9378
2013,Broj,M,55,8724
2013,Broj,M,56,8549
2013,Broj,M,57,9164
2013,Broj,M,58,9466
2013,Broj,M,59,9386
2013,Broj,M,60,9391
2013,Broj,M,61,8731
2013,Broj,M,62,7858
2013,Broj,M,63,7787
2013,Broj,M,64,7653
2013,Broj,M,65,6470
2013,Broj,M,66,6895
2013,Broj,M,67,5289
2013,Broj,M,68,4323
2013,Broj,M,69,4360
2013,Broj,M,70,4060
2013,Broj,M,71,4367
2013,Broj,M,72,5064
2013,Broj,M,73,5180
2013,Broj,M,74,4854
2013,Broj,M,75,4692
2013,Broj,M,76,4305
2013,Broj,M,77,3873
2013,Broj,M,78,3310
