Year,UNIT_MEASURE,Administrativna oblast,Broj poljoprivrednih domaćinstava,Value
2013,Broj,Republika Srpska,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,140960
2013,Broj,Grad Banja Luka,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,8832
2013,Broj,Berkovići,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,450
2013,Broj,Grad Bijeljina,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,10563
2013,Broj,Bileća,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1659
2013,Broj,Bratunac,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,3166
2013,Broj,Brod,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1512
2013,Broj,Višegrad,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,963
2013,Broj,Vlasenica,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1381
2013,Broj,Vukosavlje,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,532
2013,Broj,Gacko,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,986
2013,Broj,Grad Gradiška,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,6402
2013,Broj,Grad Derventa,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,3038
2013,Broj,Grad Doboj,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,9221
2013,Broj,Donji Žabar,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,617
2013,Broj,Grad Zvornik,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,7120
2013,Broj,Istočna Ilidža,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1045
2013,Broj,Istočni Drvar,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,11
2013,Broj,Istočni Mostar,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,60
2013,Broj,Istočni Stari Grad,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,262
2013,Broj,Istočno Novo Sarajevo,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,505
2013,Broj,Jezero,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,99
2013,Broj,Kalinovik,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,365
2013,Broj,Kneževo,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1920
2013,Broj,Kozarska Dubica,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,2974
2013,Broj,Kostajnica,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,746
2013,Broj,Kotor Varoš,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,1826
2013,Broj,Krupa Na Uni,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,453
