Year,UNIT_MEASURE,Administrativna oblast,Pol,Pismenost,Value
2013,Broj,Republika Srpska,Ukupno,Nepismen,34928.0
2013,Broj,Republika Srpska,M,Nepismen,4987.0
2013,Broj,Republika Srpska,Ž,Nepismen,29941.0
2013,Broj,Grad Banja Luka,Ukupno,Nepismen,3503.0
2013,Broj,Grad Banja Luka,M,Nepismen,509.0
2013,Broj,Grad Banja Luka,Ž,Nepismen,2994.0
2013,Broj,Berkovići,Ukupno,Nepismen,47.0
2013,Broj,Berkovići,M,Nepismen,1.0
2013,Broj,Berkovići,Ž,Nepismen,46.0
2013,Broj,Grad Bijeljina,Ukupno,Nepismen,2541.0
2013,Broj,Grad Bijeljina,M,Nepismen,413.0
2013,Broj,Grad Bijeljina,Ž,Nepismen,2128.0
2013,Broj,Bileća,Ukupno,Nepismen,144.0
2013,Broj,Bileća,M,Nepismen,31.0
2013,Broj,Bileća,Ž,Nepismen,113.0
2013,Broj,Bratunac,Ukupno,Nepismen,865.0
2013,Broj,Bratunac,M,Nepismen,82.0
2013,Broj,Bratunac,Ž,Nepismen,783.0
2013,Broj,Brod,Ukupno,Nepismen,330.0
2013,Broj,Brod,M,Nepismen,53.0
2013,Broj,Brod,Ž,Nepismen,277.0
2013,Broj,Višegrad,Ukupno,Nepismen,358.0
2013,Broj,Višegrad,M,Nepismen,35.0
2013,Broj,Višegrad,Ž,Nepismen,323.0
2013,Broj,Vlasenica,Ukupno,Nepismen,350.0
2013,Broj,Vlasenica,M,Nepismen,49.0
2013,Broj,Vlasenica,Ž,Nepismen,301.0
2013,Broj,Vukosavlje,Ukupno,Nepismen,196.0
2013,Broj,Vukosavlje,M,Nepismen,31.0
2013,Broj,Vukosavlje,Ž,Nepismen,165.0
2013,Broj,Gacko,Ukupno,Nepismen,110.0
2013,Broj,Gacko,M,Nepismen,10.0
2013,Broj,Gacko,Ž,Nepismen,100.0
2013,Broj,Grad Gradiška,Ukupno,Nepismen,1526.0
2013,Broj,Grad Gradiška,M,Nepismen,204.0
2013,Broj,Grad Gradiška,Ž,Nepismen,1322.0
2013,Broj,Grad Derventa,Ukupno,Nepismen,812.0
2013,Broj,Grad Derventa,M,Nepismen,120.0
2013,Broj,Grad Derventa,Ž,Nepismen,692.0
2013,Broj,Grad Doboj,Ukupno,Nepismen,1979.0
2013,Broj,Grad Doboj,M,Nepismen,270.0
2013,Broj,Grad Doboj,Ž,Nepismen,1709.0
2013,Broj,Donji Žabar,Ukupno,Nepismen,128.0
2013,Broj,Donji Žabar,M,Nepismen,26.0
2013,Broj,Donji Žabar,Ž,Nepismen,102.0
2013,Broj,Grad Zvornik,Ukupno,Nepismen,2055.0
2013,Broj,Grad Zvornik,M,Nepismen,245.0
2013,Broj,Grad Zvornik,Ž,Nepismen,1810.0
2013,Broj,Istočna Ilidža,Ukupno,Nepismen,171.0
2013,Broj,Istočna Ilidža,M,Nepismen,22.0
2013,Broj,Istočna Ilidža,Ž,Nepismen,149.0
2013,Broj,Istočni Drvar,Ukupno,Nepismen,2.0
2013,Broj,Istočni Drvar,M,Nepismen,0.0
2013,Broj,Istočni Drvar,Ž,Nepismen,2.0
2013,Broj,Istočni Mostar,Ukupno,Nepismen,19.0
2013,Broj,Istočni Mostar,M,Nepismen,1.0
2013,Broj,Istočni Mostar,Ž,Nepismen,18.0
2013,Broj,Istočni Stari Grad,Ukupno,Nepismen,40.0
2013,Broj,Istočni Stari Grad,M,Nepismen,3.0
2013,Broj,Istočni Stari Grad,Ž,Nepismen,37.0
2013,Broj,Istočno Novo Sarajevo,Ukupno,Nepismen,80.0
2013,Broj,Istočno Novo Sarajevo,M,Nepismen,14.0
2013,Broj,Istočno Novo Sarajevo,Ž,Nepismen,66.0
2013,Broj,Jezero,Ukupno,Nepismen,43.0
2013,Broj,Jezero,M,Nepismen,7.0
2013,Broj,Jezero,Ž,Nepismen,36.0
2013,Broj,Kalinovik,Ukupno,Nepismen,86.0
2013,Broj,Kalinovik,M,Nepismen,5.0
2013,Broj,Kalinovik,Ž,Nepismen,81.0
2013,Broj,Kneževo,Ukupno,Nepismen,971.0
2013,Broj,Kneževo,M,Nepismen,146.0
2013,Broj,Kneževo,Ž,Nepismen,825.0
2013,Broj,Kozarska Dubica,Ukupno,Nepismen,590.0
2013,Broj,Kozarska Dubica,M,Nepismen,77.0
2013,Broj,Kozarska Dubica,Ž,Nepismen,513.0
2013,Broj,Kostajnica,Ukupno,Nepismen,115.0
2013,Broj,Kostajnica,M,Nepismen,14.0
2013,Broj,Kostajnica,Ž,Nepismen,101.0
2013,Broj,Kotor Varoš,Ukupno,Nepismen,1042.0
2013,Broj,Kotor Varoš,M,Nepismen,148.0
2013,Broj,Kotor Varoš,Ž,Nepismen,894.0
2013,Broj,Krupa Na Uni,Ukupno,Nepismen,145.0
2013,Broj,Krupa Na Uni,M,Nepismen,21.0
2013,Broj,Krupa Na Uni,Ž,Nepismen,124.0
2013,Broj,Kupres,Ukupno,Nepismen,81.0
2013,Broj,Kupres,M,Nepismen,27.0
2013,Broj,Kupres,Ž,Nepismen,54.0
2013,Broj,Laktaši,Ukupno,Nepismen,752.0
2013,Broj,Laktaši,M,Nepismen,117.0
2013,Broj,Laktaši,Ž,Nepismen,635.0
2013,Broj,Lopare,Ukupno,Nepismen,680.0
2013,Broj,Lopare,M,Nepismen,123.0
2013,Broj,Lopare,Ž,Nepismen,557.0
2013,Broj,Ljubinje,Ukupno,Nepismen,49.0
2013,Broj,Ljubinje,M,Nepismen,5.0
2013,Broj,Ljubinje,Ž,Nepismen,44.0
2013,Broj,Milići,Ukupno,Nepismen,399.0
2013,Broj,Milići,M,Nepismen,51.0
2013,Broj,Milići,Ž,Nepismen,348.0
2013,Broj,Modriča,Ukupno,Nepismen,736.0
2013,Broj,Modriča,M,Nepismen,119.0
2013,Broj,Modriča,Ž,Nepismen,617.0
2013,Broj,Mrkonjić Grad,Ukupno,Nepismen,821.0
2013,Broj,Mrkonjić Grad,M,Nepismen,95.0
2013,Broj,Mrkonjić Grad,Ž,Nepismen,726.0
2013,Broj,Nevesinje,Ukupno,Nepismen,305.0
2013,Broj,Nevesinje,M,Nepismen,32.0
2013,Broj,Nevesinje,Ž,Nepismen,273.0
2013,Broj,Novi Grad,Ukupno,Nepismen,666.0
2013,Broj,Novi Grad,M,Nepismen,106.0
2013,Broj,Novi Grad,Ž,Nepismen,560.0
2013,Broj,Novo Goražde,Ukupno,Nepismen,76.0
2013,Broj,Novo Goražde,M,Nepismen,5.0
2013,Broj,Novo Goražde,Ž,Nepismen,71.0
2013,Broj,Osmaci,Ukupno,Nepismen,264.0
2013,Broj,Osmaci,M,Nepismen,29.0
2013,Broj,Osmaci,Ž,Nepismen,235.0
2013,Broj,Oštra Luka,Ukupno,Nepismen,196.0
2013,Broj,Oštra Luka,M,Nepismen,32.0
2013,Broj,Oštra Luka,Ž,Nepismen,164.0
2013,Broj,Pale,Ukupno,Nepismen,293.0
2013,Broj,Pale,M,Nepismen,40.0
2013,Broj,Pale,Ž,Nepismen,253.0
2013,Broj,Pelagićevo,Ukupno,Nepismen,179.0
2013,Broj,Pelagićevo,M,Nepismen,29.0
2013,Broj,Pelagićevo,Ž,Nepismen,150.0
2013,Broj,Petrovac,Ukupno,Nepismen,6.0
2013,Broj,Petrovac,M,Nepismen,0.0
2013,Broj,Petrovac,Ž,Nepismen,6.0
2013,Broj,Petrovo,Ukupno,Nepismen,245.0
2013,Broj,Petrovo,M,Nepismen,28.0
2013,Broj,Petrovo,Ž,Nepismen,217.0
2013,Broj,Grad Prijedor,Ukupno,Nepismen,2172.0
2013,Broj,Grad Prijedor,M,Nepismen,422.0
2013,Broj,Grad Prijedor,Ž,Nepismen,1750.0
2013,Broj,Prnjavor,Ukupno,Nepismen,1408.0
2013,Broj,Prnjavor,M,Nepismen,203.0
2013,Broj,Prnjavor,Ž,Nepismen,1205.0
2013,Broj,Ribnik,Ukupno,Nepismen,456.0
2013,Broj,Ribnik,M,Nepismen,69.0
2013,Broj,Ribnik,Ž,Nepismen,387.0
2013,Broj,Rogatica,Ukupno,Nepismen,351.0
2013,Broj,Rogatica,M,Nepismen,38.0
2013,Broj,Rogatica,Ž,Nepismen,313.0
2013,Broj,Rudo,Ukupno,Nepismen,155.0
2013,Broj,Rudo,M,Nepismen,27.0
2013,Broj,Rudo,Ž,Nepismen,128.0
2013,Broj,Sokolac,Ukupno,Nepismen,231.0
2013,Broj,Sokolac,M,Nepismen,25.0
2013,Broj,Sokolac,Ž,Nepismen,206.0
2013,Broj,Srbac,Ukupno,Nepismen,539.0
2013,Broj,Srbac,M,Nepismen,102.0
2013,Broj,Srbac,Ž,Nepismen,437.0
2013,Broj,Srebrenica,Ukupno,Nepismen,627.0
2013,Broj,Srebrenica,M,Nepismen,64.0
2013,Broj,Srebrenica,Ž,Nepismen,563.0
2013,Broj,Teslić,Ukupno,Nepismen,1980.0
2013,Broj,Teslić,M,Nepismen,227.0
2013,Broj,Teslić,Ž,Nepismen,1753.0
2013,Broj,Grad Trebinje,Ukupno,Nepismen,237.0
2013,Broj,Grad Trebinje,M,Nepismen,31.0
2013,Broj,Grad Trebinje,Ž,Nepismen,206.0
2013,Broj,Trnovo,Ukupno,Nepismen,76.0
2013,Broj,Trnovo,M,Nepismen,10.0
2013,Broj,Trnovo,Ž,Nepismen,66.0
2013,Broj,Ugljevik,Ukupno,Nepismen,451.0
2013,Broj,Ugljevik,M,Nepismen,68.0
