Year,UNIT_MEASURE,ADMIN_AREA,Spol,Disabilities,Value
2013,Broj,republika_srpska,Oba spola,_T,102262
2013,Broj,republika_srpska,M,_T,46720
2013,Broj,republika_srpska,Ž,_T,55542
2013,Broj,grad_banja_luka,Oba spola,_T,13450
2013,Broj,grad_banja_luka,M,_T,6251
2013,Broj,grad_banja_luka,Ž,_T,7199
2013,Broj,berkovici,Oba spola,_T,165
2013,Broj,berkovici,M,_T,75
2013,Broj,berkovici,Ž,_T,90
2013,Broj,grad_bijeljina,Oba spola,_T,8763
2013,Broj,grad_bijeljina,M,_T,3967
2013,Broj,grad_bijeljina,Ž,_T,4796
2013,Broj,bileca,Oba spola,_T,813
2013,Broj,bileca,M,_T,339
2013,Broj,bileca,Ž,_T,474
2013,Broj,bratunac,Oba spola,_T,1534
2013,Broj,bratunac,M,_T,688
2013,Broj,bratunac,Ž,_T,846
2013,Broj,brod,Oba spola,_T,1420
2013,Broj,brod,M,_T,658
2013,Broj,brod,Ž,_T,762
2013,Broj,visegrad,Oba spola,_T,1097
2013,Broj,visegrad,M,_T,422
2013,Broj,visegrad,Ž,_T,675
2013,Broj,vlasenica,Oba spola,_T,786
2013,Broj,vlasenica,M,_T,393
2013,Broj,vlasenica,Ž,_T,393
2013,Broj,vukosavlje,Oba spola,_T,472
2013,Broj,vukosavlje,M,_T,226
2013,Broj,vukosavlje,Ž,_T,246
2013,Broj,gacko,Oba spola,_T,597
2013,Broj,gacko,M,_T,261
2013,Broj,gacko,Ž,_T,336
2013,Broj,grad_gradiska,Oba spola,_T,4427
2013,Broj,grad_gradiska,M,_T,1965
2013,Broj,grad_gradiska,Ž,_T,2462
2013,Broj,grad_derventa,Oba spola,_T,2529
2013,Broj,grad_derventa,M,_T,1153
2013,Broj,grad_derventa,Ž,_T,1376
2013,Broj,grad_doboj,Oba spola,_T,7404
2013,Broj,grad_doboj,M,_T,3292
2013,Broj,grad_doboj,Ž,_T,4112
2013,Broj,donji_zabar,Oba spola,_T,313
2013,Broj,donji_zabar,M,_T,146
2013,Broj,donji_zabar,Ž,_T,167
2013,Broj,grad_zvornik,Oba spola,_T,4328
2013,Broj,grad_zvornik,M,_T,2027
2013,Broj,grad_zvornik,Ž,_T,2301
2013,Broj,istocna_ilidza,Oba spola,_T,1025
2013,Broj,istocna_ilidza,M,_T,464
2013,Broj,istocna_ilidza,Ž,_T,561
2013,Broj,istocni_drvar,Oba spola,_T,9
2013,Broj,istocni_drvar,M,_T,5
2013,Broj,istocni_drvar,Ž,_T,4
2013,Broj,istocni_mostar,Oba spola,_T,14
2013,Broj,istocni_mostar,M,_T,4
2013,Broj,istocni_mostar,Ž,_T,10
2013,Broj,istocni_stari_grad,Oba spola,_T,100
2013,Broj,istocni_stari_grad,M,_T,42
2013,Broj,istocni_stari_grad,Ž,_T,58
2013,Broj,istocno_novo_sarajevo,Oba spola,_T,611
2013,Broj,istocno_novo_sarajevo,M,_T,276
2013,Broj,istocno_novo_sarajevo,Ž,_T,335
2013,Broj,jezero,Oba spola,_T,80
2013,Broj,jezero,M,_T,37
2013,Broj,jezero,Ž,_T,43
2013,Broj,kalinovik,Oba spola,_T,203
2013,Broj,kalinovik,M,_T,88
2013,Broj,kalinovik,Ž,_T,115
2013,Broj,knezevo,Oba spola,_T,933
2013,Broj,knezevo,M,_T,449
2013,Broj,knezevo,Ž,_T,484
2013,Broj,kozarska_dubica,Oba spola,_T,2078
2013,Broj,kozarska_dubica,M,_T,919
2013,Broj,kozarska_dubica,Ž,_T,1159
2013,Broj,kostajnica,Oba spola,_T,475
2013,Broj,kostajnica,M,_T,216
2013,Broj,kostajnica,Ž,_T,259
2013,Broj,kotor_varos,Oba spola,_T,1857
