Year,UNIT_MEASURE,Vrsta ustanove,Value
2016,Broj,Ustanove za djecu i omladinu,530
2017,Broj,Ustanove za djecu i omladinu,509
2018,Broj,Ustanove za djecu i omladinu,509
2019,Broj,Ustanove za djecu i omladinu,485
2020,Broj,Ustanove za djecu i omladinu,478
2016,Broj,Ustanove za odrasle,2020
2017,Broj,Ustanove za odrasle,2228
2018,Broj,Ustanove za odrasle,2661
2019,Broj,Ustanove za odrasle,3116
2020,Broj,Ustanove za odrasle,3087
2021,Broj,Ustanove za djecu i omladinu,500
2021,Broj,Ustanove za odrasle,3482
2022,Broj,Ustanove za djecu i omladinu,464
2022,Broj,Ustanove za odrasle,3853
