Year,UNIT_MEASURE,Vrsta škole,Value
2017,Broj,Gimnazije,2467
2017,Broj,Srednje tehničke škole,6206
2017,Broj,Srednje stručne škole,1846
2017,Broj,Umjetničke škole,78
2017,Broj,Vjerske škole,17
2017,Broj,Srednje škole za učenike sa smetnjama u razvoju,28
2018,Broj,Gimnazije,2286
2018,Broj,Srednje tehničke škole,6125
2018,Broj,Srednje stručne škole,1887
2018,Broj,Umjetničke škole,70
2018,Broj,Vjerske škole,26
2018,Broj,Srednje škole za učenike sa smetnjama u razvoju,46
2019,Broj,Gimnazije,2281
2019,Broj,Srednje tehničke škole,6141
2019,Broj,Srednje stručne škole,1910
2019,Broj,Umjetničke škole,64
2019,Broj,Vjerske škole,13
2019,Broj,Srednje škole za učenike sa smetnjama u razvoju,62
2020,Broj,Gimnazije,2120
2020,Broj,Srednje tehničke škole,5841
2020,Broj,Srednje stručne škole,1828
2020,Broj,Umjetničke škole,60
2020,Broj,Vjerske škole,11
2020,Broj,Srednje škole za učenike sa smetnjama u razvoju,28
