Year,UNIT_MEASURE,type_of_education,Pol,Value
2016,Broj,enrolled_in_master_of_science_studies,Ukupno,59
2017,Broj,enrolled_in_master_of_science_studies,Ukupno,31
2018,Broj,enrolled_in_master_of_science_studies,Ukupno,14
2019,Broj,enrolled_in_master_of_science_studies,Ukupno,16
2020,Broj,enrolled_in_master_of_science_studies,Ukupno,4
2016,Broj,enrolled_in_master_of_science_studies,M,37
2017,Broj,enrolled_in_master_of_science_studies,M,21
2018,Broj,enrolled_in_master_of_science_studies,M,6
2019,Broj,enrolled_in_master_of_science_studies,M,12
2020,Broj,enrolled_in_master_of_science_studies,M,3
2016,Broj,enrolled_in_master_of_science_studies,Ž,22
2017,Broj,enrolled_in_master_of_science_studies,Ž,10
2018,Broj,enrolled_in_master_of_science_studies,Ž,8
2019,Broj,enrolled_in_master_of_science_studies,Ž,4
2020,Broj,enrolled_in_master_of_science_studies,Ž,1
2016,Broj,enrolled_in_master_studies,Ukupno,2456
2017,Broj,enrolled_in_master_studies,Ukupno,2140
2018,Broj,enrolled_in_master_studies,Ukupno,2144
2019,Broj,enrolled_in_master_studies,Ukupno,2109
2020,Broj,enrolled_in_master_studies,Ukupno,2430
2016,Broj,enrolled_in_master_studies,M,1048
2017,Broj,enrolled_in_master_studies,M,917
2018,Broj,enrolled_in_master_studies,M,937
2019,Broj,enrolled_in_master_studies,M,930
2020,Broj,enrolled_in_master_studies,M,1036
2016,Broj,enrolled_in_master_studies,Ž,1408
2017,Broj,enrolled_in_master_studies,Ž,1223
2018,Broj,enrolled_in_master_studies,Ž,1207
2019,Broj,enrolled_in_master_studies,Ž,1179
2020,Broj,enrolled_in_master_studies,Ž,1394
2016,Broj,enrolled_in_specialist_studies,Ukupno,71
2017,Broj,enrolled_in_specialist_studies,Ukupno,73
2018,Broj,enrolled_in_specialist_studies,Ukupno,160
2019,Broj,enrolled_in_specialist_studies,Ukupno,170
2020,Broj,enrolled_in_specialist_studies,Ukupno,170
2016,Broj,enrolled_in_specialist_studies,M,28
2017,Broj,enrolled_in_specialist_studies,M,34
2018,Broj,enrolled_in_specialist_studies,M,66
2019,Broj,enrolled_in_specialist_studies,M,72
2020,Broj,enrolled_in_specialist_studies,M,39
2016,Broj,enrolled_in_specialist_studies,Ž,43
2017,Broj,enrolled_in_specialist_studies,Ž,39
2018,Broj,enrolled_in_specialist_studies,Ž,94
2019,Broj,enrolled_in_specialist_studies,Ž,98
2020,Broj,enrolled_in_specialist_studies,Ž,131
