Year,UNIT_MEASURE,Vrsta obrazovanja,Pol,Value
2017,Broj,Ukupno,Ukupno,54
2017,Broj,"Prirodne nauke, matematika i statistika",Ukupno,4
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,6
2017,Broj,Informacione i komunikacione tehnologije,Ukupno,4
2017,Broj,Zdravstvo i socijalna zaštita,Ukupno,1
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,2
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,14
2017,Broj,"Poslovanje, administracija i pravo",Ukupno,16
2017,Broj,Obrazovanje,Ukupno,0
2017,Broj,Umjetnost i humanističke nauke,Ukupno,7
2017,Broj,Usluge,Ukupno,0
2017,Broj,Ukupno,M,37
2017,Broj,"Prirodne nauke, matematika i statistika",M,2
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,3
2017,Broj,Informacione i komunikacione tehnologije,M,3
2017,Broj,Zdravstvo i socijalna zaštita,M,1
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,2
2017,Broj,"Društvene nauke, novinarstvo i informisanje",M,10
2017,Broj,"Poslovanje, administracija i pravo",M,13
2017,Broj,Obrazovanje,M,0
2017,Broj,Umjetnost i humanističke nauke,M,3
2017,Broj,Usluge,M,0
2017,Broj,Ukupno,Ž,17
2017,Broj,"Prirodne nauke, matematika i statistika",Ž,2
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,3
2017,Broj,Informacione i komunikacione tehnologije,Ž,1
2017,Broj,Zdravstvo i socijalna zaštita,Ž,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,4
2017,Broj,"Poslovanje, administracija i pravo",Ž,3
2017,Broj,Obrazovanje,Ž,0
2017,Broj,Umjetnost i humanističke nauke,Ž,4
2017,Broj,Usluge,Ž,0
2018,Broj,Ukupno,Ukupno,43
2018,Broj,"Prirodne nauke, matematika i statistika",Ukupno,1
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,3
2018,Broj,Informacione i komunikacione tehnologije,Ukupno,3
2018,Broj,Zdravstvo i socijalna zaštita,Ukupno,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,4
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,14
2018,Broj,"Poslovanje, administracija i pravo",Ukupno,12
2018,Broj,Obrazovanje,Ukupno,1
2018,Broj,Umjetnost i humanističke nauke,Ukupno,5
2018,Broj,Usluge,Ukupno,0
2018,Broj,Ukupno,M,28
