Year,UNIT_MEASURE,Pol,Starost,Value
2020,% od ukupno,Ukupno,15+,52.2
2020,% od ukupno,Ukupno,15 - 24,33.6
2020,% od ukupno,Ukupno,25 - 49,81.0
2020,% od ukupno,Ukupno,50 - 64,57.3
2020,% od ukupno,Ukupno,15 - 64,65.2
2020,% od ukupno,M,15+,60.4
2020,% od ukupno,M,15 - 24,38.8
2020,% od ukupno,M,25 - 49,86.8
2020,% od ukupno,M,50 - 64,69.3
2020,% od ukupno,M,15 - 64,73.0
2020,% od ukupno,Ž,15+,44.6
2020,% od ukupno,Ž,15 - 24,28.1
2020,% od ukupno,Ž,25 - 49,75.0
2020,% od ukupno,Ž,50 - 64,46.1
2020,% od ukupno,Ž,15 - 64,57.3
2021,% od ukupno,Ukupno,15+,50.8
2021,% od ukupno,Ukupno,15 - 24,33.0
2021,% od ukupno,Ukupno,25 - 49,79.7
2021,% od ukupno,Ukupno,50 - 64,56.4
2021,% od ukupno,Ukupno,15 - 64,64.4
2021,% od ukupno,M,15+,59.5
2021,% od ukupno,M,15 - 24,38.2
2021,% od ukupno,M,25 - 49,86.8
2021,% od ukupno,M,50 - 64,68.2
2021,% od ukupno,M,15 - 64,72.8
2021,% od ukupno,Ž,15+,42.4
2021,% od ukupno,Ž,15 - 24,27.2
2021,% od ukupno,Ž,25 - 49,72.1
2021,% od ukupno,Ž,50 - 64,45.1
2021,% od ukupno,Ž,15 - 64,55.7
2022,% od ukupno,Ukupno,15+,47.2
2022,% od ukupno,Ukupno,15 - 24,24.3
2022,% od ukupno,Ukupno,25 - 49,77.4
2022,% od ukupno,Ukupno,50 - 64,53.4
2022,% od ukupno,Ukupno,15 - 64,61.0
2022,% od ukupno,M,15+,57.4
2022,% od ukupno,M,15 - 24,30.9
2022,% od ukupno,M,25 - 49,85.6
2022,% od ukupno,M,50 - 64,67.6
2022,% od ukupno,M,15 - 64,71.0
2022,% od ukupno,Ž,15+,37.4
2022,% od ukupno,Ž,15 - 24,17.2
2022,% od ukupno,Ž,25 - 49,68.5
2022,% od ukupno,Ž,50 - 64,39.8
2022,% od ukupno,Ž,15 - 64,50.7
2023,% od ukupno,Ukupno,15+,46.9
2023,% od ukupno,Ukupno,15 - 24,19.0
2023,% od ukupno,Ukupno,25 - 49,77.5
2023,% od ukupno,Ukupno,50 - 64,55.0
2023,% od ukupno,Ukupno,15 - 64,61.0
2023,% od ukupno,M,15+,57.0
2023,% od ukupno,M,15 - 24,26.0
2023,% od ukupno,M,25 - 49,86.5
2023,% od ukupno,M,50 - 64,68.0
2023,% od ukupno,M,15 - 64,71.0
2023,% od ukupno,Ž,15+,37.1
2023,% od ukupno,Ž,15 - 24,11.6
2023,% od ukupno,Ž,25 - 49,67.8
2023,% od ukupno,Ž,50 - 64,42.6
2023,% od ukupno,Ž,15 - 64,50.6
2024,% od ukupno,Ukupno,15+,48.4
2024,% od ukupno,Ukupno,15 - 24,18.7
2024,% od ukupno,Ukupno,25 - 49,80.1
2024,% od ukupno,Ukupno,50 - 64,58.1
2024,% od ukupno,Ukupno,15 - 64,63.3
2024,% od ukupno,M,15+,58.7
2024,% od ukupno,M,15 - 24,25.4
2024,% od ukupno,M,25 - 49,89.4
2024,% od ukupno,M,50 - 64,71.4
2024,% od ukupno,M,15 - 64,73.6
2024,% od ukupno,Ž,15+,38.3
2024,% od ukupno,Ž,15 - 24,11.5
2024,% od ukupno,Ž,25 - 49,70.0
2024,% od ukupno,Ž,50 - 64,45.4
2024,% od ukupno,Ž,15 - 64,52.7
