Year,UNIT_MEASURE,Value
2003,Број на 1.000 становника,8.8
2004,Број на 1.000 становника,8.9
2005,Број на 1.000 становника,8.7
2006,Број на 1.000 становника,8.9
2007,Број на 1.000 становника,8.6
2008,Број на 1.000 становника,8.6
2009,Број на 1.000 становника,9.0
2010,Број на 1.000 становника,8.6
2011,Број на 1.000 становника,8.1
2012,Број на 1.000 становника,8.5
2013,Број на 1.000 становника,8.1
2014,Број на 1.000 становника,8.0
2015,Број на 1.000 становника,8.1
2016,Број на 1.000 становника,8.2
2017,Број на 1.000 становника,8.1
2018,Број на 1.000 становника,8.3
2019,Број на 1.000 становника,8.1
2020,Број на 1.000 становника,8.1
