Year,Пол,UNIT_MEASURE,Value
2003,M,Age,67.7
2004,M,Age,67.1
2005,M,Age,67.0
2006,M,Age,67.0
2007,M,Age,67.7
2008,M,Age,68.3
2009,M,Age,69.0
2010,M,Age,69.4
2011,M,Age,69.6
2012,M,Age,70.1
2013,M,Age,70.1
2014,M,Age,70.5
2015,M,Age,71.0
2016,M,Age,71.0
2017,M,Age,71.6
2018,M,Age,71.6
2019,M,Age,71.7
2020,M,Age,72.0
2003,Ж,Age,72.8
2004,Ж,Age,72.5
2005,Ж,Age,73.0
2006,Ж,Age,73.4
2007,Ж,Age,74.4
2008,Ж,Age,74.3
2009,Ж,Age,74.4
2010,Ж,Age,75.0
2011,Ж,Age,75.5
2012,Ж,Age,76.1
2013,Ж,Age,76.0
2014,Ж,Age,76.1
2015,Ж,Age,76.5
2016,Ж,Age,76.9
2017,Ж,Age,77.4
2018,Ж,Age,77.4
2019,Ж,Age,77.5
2020,Ж,Age,77.9
