Year,UNIT_MEASURE,Пол,Старосна доб,Value
2013,Број,Оба пола,Укупно,1170342.0
2013,Број,M,Укупно,571812.0
2013,Број,Ж,Укупно,598530.0
2013,Број,Оба пола,0-4,53405.0
2013,Број,M,0-4,27393.0
2013,Број,Ж,0-4,26012.0
2013,Број,Оба пола,5-9,54076.0
2013,Број,M,5-9,27716.0
2013,Број,Ж,5-9,26360.0
2013,Број,Оба пола,10-14,57326.0
2013,Број,M,10-14,29411.0
2013,Број,Ж,10-14,27915.0
2013,Број,Оба пола,15-19,70815.0
2013,Број,M,15-19,36577.0
2013,Број,Ж,15-19,34238.0
2013,Број,Оба пола,20-24,65363.0
2013,Број,M,20-24,33893.0
2013,Број,Ж,20-24,31470.0
2013,Број,Оба пола,25-29,76753.0
2013,Број,M,25-29,39159.0
2013,Број,Ж,25-29,37594.0
2013,Број,Оба пола,30-34,80472.0
2013,Број,M,30-34,40809.0
2013,Број,Ж,30-34,39663.0
2013,Број,Оба пола,35-39,80588.0
2013,Број,M,35-39,41264.0
2013,Број,Ж,35-39,39324.0
2013,Број,Оба пола,40-44,75683.0
2013,Број,M,40-44,38704.0
2013,Број,Ж,40-44,36979.0
2013,Број,Оба пола,45-49,82810.0
2013,Број,M,45-49,41422.0
2013,Број,Ж,45-49,41388.0
2013,Број,Оба пола,50-54,92000.0
2013,Број,M,50-54,45159.0
2013,Број,Ж,50-54,46841.0
2013,Број,Оба пола,55-59,93458.0
2013,Број,M,55-59,45289.0
2013,Број,Ж,55-59,48169.0
2013,Број,Оба пола,60-64,87204.0
2013,Број,M,60-64,41420.0
2013,Број,Ж,60-64,45784.0
2013,Број,Оба пола,65-69,60073.0
2013,Број,M,65-69,27337.0
2013,Број,Ж,65-69,32736.0
2013,Број,Оба пола,70-74,55148.0
2013,Број,M,70-74,23525.0
2013,Број,Ж,70-74,31623.0
2013,Број,Оба пола,75-79,48037.0
2013,Број,M,75-79,19261.0
2013,Број,Ж,75-79,28776.0
2013,Број,Оба пола,80-84,25566.0
2013,Број,M,80-84,9608.0
2013,Број,Ж,80-84,15958.0
2013,Број,Оба пола,85+,11565.0
2013,Број,M,85+,3865.0
2013,Број,Ж,85+,7700.0
2013,Број,Оба пола,average_age,41.72
2013,Број,M,average_age,40.32
2013,Број,Ж,average_age,43.05
