Year,UNIT_MEASURE,Teritory,Agricultural households,Value
2013,Број,REPUBLIKA SRPSKA,Укупно,408825
2013,Број,BANJA LUKA,Укупно,65010
2013,Број,BERKOVICI,Укупно,636
2013,Број,BIJELJINA,Укупно,34309
2013,Број,BILECA,Укупно,3307
2013,Број,BRATUNAC,Укупно,5945
2013,Број,BROD,Укупно,5599
2013,Број,VISEGRAD,Укупно,3966
2013,Број,VLASENICA,Укупно,3712
2013,Број,VUKOSAVLJE,Укупно,1537
2013,Број,GACKO,Укупно,2766
2013,Број,GRADISKA,Укупно,16939
2013,Број,DERVENTA,Укупно,9345
2013,Број,DOBOJ,Укупно,25447
2013,Број,DONJI ZABAR,Укупно,1191
2013,Број,ZVORNIK,Укупно,17690
2013,Број,ISTOCNA ILIDZA,Укупно,4981
2013,Број,ISTOCNI DRVAR,Укупно,38
2013,Број,ISTOCNI MOSTAR,Укупно,83
2013,Број,ISTOCNI STARI GRAD,Укупно,438
2013,Број,ISTOCNO NOVO SARAJEVO,Укупно,3819
2013,Број,JEZERO,Укупно,365
2013,Број,KALINOVIK,Укупно,783
2013,Број,KNEZEVO,Укупно,3168
2013,Број,KOZARSKA DUBICA,Укупно,7492
2013,Број,KOSTAJNICA,Укупно,1896
2013,Број,KOTOR VAROS,Укупно,5863
2013,Број,KRUPA NA UNI,Укупно,543
2013,Број,KUPRES,Укупно,128
2013,Број,LAKTASI,Укупно,11293
2013,Број,LOPARE,Укупно,5081
2013,Број,LJUBINJE,Укупно,1077
2013,Број,MILICI,Укупно,3579
2013,Број,MODRICA,Укупно,8553
2013,Број,MRKONJIC GRAD,Укупно,6104
2013,Број,NEVESINJE,Укупно,3985
2013,Број,NOVI GRAD,Укупно,8792
2013,Број,NOVO GORAZDE,Укупно,1078
2013,Број,OSMACI,Укупно,1675
2013,Број,OSTRA LUKA,Укупно,971
2013,Број,PALE,Укупно,7158
2013,Број,PELAGICEVO,Укупно,1787
2013,Број,PETROVAC,Укупно,130
2013,Број,PETROVO,Укупно,2532
2013,Број,PRIJEDOR,Укупно,27961
2013,Број,PRNJAVOR,Укупно,12166
2013,Број,RIBNIK,Укупно,2252
2013,Број,ROGATICA,Укупно,3871
2013,Број,RUDO,Укупно,2847
2013,Број,SOKOLAC,Укупно,4276
2013,Број,SRBAC,Укупно,6157
2013,Број,SREBRENICA,Укупно,3792
2013,Број,TESLIC,Укупно,13255
2013,Број,TREBINJE,Укупно,9394
2013,Број,TRNOVO,Укупно,800
2013,Број,UGLJEVIK,Укупно,4867
2013,Број,FOCA,Укупно,6544
2013,Број,HAN PIJESAK,Укупно,1390
2013,Број,CAJNICE,Укупно,1662
2013,Број,CELINAC,Укупно,5009
2013,Број,SAMAC,Укупно,5609
2013,Број,SEKOVICI,Укупно,2517
2013,Број,SIPOVO,Укупно,3665
2013,Број,REPUBLIKA SRPSKA,agricultural_households,140960
2013,Број,BANJA LUKA,agricultural_households,8832
2013,Број,BERKOVICI,agricultural_households,450
2013,Број,BIJELJINA,agricultural_households,10563
2013,Број,BILECA,agricultural_households,1659
2013,Број,BRATUNAC,agricultural_households,3166
