Year,UNIT_MEASURE,ADMIN_AREA,Пол,Education,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,_T,1005535
2013,Број,REPUBLIKA SRPSKA,M,_T,487292
2013,Број,REPUBLIKA SRPSKA,Ж,_T,518243
2013,Број,BANJA LUKA,Оба пола,_T,153659
2013,Број,BANJA LUKA,M,_T,73026
2013,Број,BANJA LUKA,Ж,_T,80633
2013,Број,BERKOVICI,Оба пола,_T,1684
2013,Број,BERKOVICI,M,_T,845
2013,Број,BERKOVICI,Ж,_T,839
2013,Број,BIJELJINA,Оба пола,_T,88664
2013,Број,BIJELJINA,M,_T,42935
2013,Број,BIJELJINA,Ж,_T,45729
2013,Број,BILECA,Оба пола,_T,9036
2013,Број,BILECA,M,_T,4536
2013,Број,BILECA,Ж,_T,4500
2013,Број,BRATUNAC,Оба пола,_T,15912
2013,Број,BRATUNAC,M,_T,7785
2013,Број,BRATUNAC,Ж,_T,8127
2013,Број,BROD,Оба пола,_T,13506
2013,Број,BROD,M,_T,6510
2013,Број,BROD,Ж,_T,6996
2013,Број,VISEGRAD,Оба пола,_T,8950
2013,Број,VISEGRAD,M,_T,4259
2013,Број,VISEGRAD,Ж,_T,4691
2013,Број,VLASENICA,Оба пола,_T,9131
2013,Број,VLASENICA,M,_T,4393
2013,Број,VLASENICA,Ж,_T,4738
2013,Број,VUKOSAVLJE,Оба пола,_T,3701
2013,Број,VUKOSAVLJE,M,_T,1852
2013,Број,VUKOSAVLJE,Ж,_T,1849
2013,Број,GACKO,Оба пола,_T,7337
2013,Број,GACKO,M,_T,3691
2013,Број,GACKO,Ж,_T,3646
2013,Број,GRADISKA,Оба пола,_T,42640
2013,Број,GRADISKA,M,_T,20635
2013,Број,GRADISKA,Ж,_T,22005
2013,Број,DERVENTA,Оба пола,_T,22345
2013,Број,DERVENTA,M,_T,10830
2013,Број,DERVENTA,Ж,_T,11515
2013,Број,DOBOJ,Оба пола,_T,58805
2013,Број,DOBOJ,M,_T,28207
2013,Број,DOBOJ,Ж,_T,30598
2013,Број,DONJI ZABAR,Оба пола,_T,3139
2013,Број,DONJI ZABAR,M,_T,1578
2013,Број,DONJI ZABAR,Ж,_T,1561
2013,Број,ZVORNIK,Оба пола,_T,45697
2013,Број,ZVORNIK,M,_T,22384
2013,Број,ZVORNIK,Ж,_T,23313
2013,Број,ISTOCNA ILIDZA,Оба пола,_T,12477
2013,Број,ISTOCNA ILIDZA,M,_T,5939
2013,Број,ISTOCNA ILIDZA,Ж,_T,6538
2013,Број,ISTOCNI DRVAR,Оба пола,_T,65
2013,Број,ISTOCNI DRVAR,M,_T,43
2013,Број,ISTOCNI DRVAR,Ж,_T,22
2013,Број,ISTOCNI MOSTAR,Оба пола,_T,213
2013,Број,ISTOCNI MOSTAR,M,_T,120
2013,Број,ISTOCNI MOSTAR,Ж,_T,93
2013,Број,ISTOCNI STARI GRAD,Оба пола,_T,1004
2013,Број,ISTOCNI STARI GRAD,M,_T,488
2013,Број,ISTOCNI STARI GRAD,Ж,_T,516
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,_T,8824
2013,Број,ISTOCNO NOVO SARAJEVO,M,_T,4165
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,_T,4659
2013,Број,JEZERO,Оба пола,_T,902
2013,Број,JEZERO,M,_T,465
2013,Број,JEZERO,Ж,_T,437
2013,Број,KALINOVIK,Оба пола,_T,1769
2013,Број,KALINOVIK,M,_T,871
2013,Број,KALINOVIK,Ж,_T,898
2013,Број,KNEZEVO,Оба пола,_T,8016
2013,Број,KNEZEVO,M,_T,3937
2013,Број,KNEZEVO,Ж,_T,4079
2013,Број,KOZARSKA DUBICA,Оба пола,_T,18231
2013,Број,KOZARSKA DUBICA,M,_T,8845
2013,Број,KOZARSKA DUBICA,Ж,_T,9386
2013,Број,KOSTAJNICA,Оба пола,_T,4975
2013,Број,KOSTAJNICA,M,_T,2437
2013,Број,KOSTAJNICA,Ж,_T,2538
2013,Број,KOTOR VAROS,Оба пола,_T,15368
2013,Број,KOTOR VAROS,M,_T,7454
2013,Број,KOTOR VAROS,Ж,_T,7914
2013,Број,KRUPA NA UNI,Оба пола,_T,1381
2013,Број,KRUPA NA UNI,M,_T,753
2013,Број,KRUPA NA UNI,Ж,_T,628
2013,Број,KUPRES,Оба пола,_T,266
2013,Број,KUPRES,M,_T,139
2013,Број,KUPRES,Ж,_T,127
2013,Број,LAKTASI,Оба пола,_T,28847
2013,Број,LAKTASI,M,_T,14165
2013,Број,LAKTASI,Ж,_T,14682
2013,Број,LOPARE,Оба пола,_T,12938
2013,Број,LOPARE,M,_T,6467
2013,Број,LOPARE,Ж,_T,6471
2013,Број,LJUBINJE,Оба пола,_T,2898
2013,Број,LJUBINJE,M,_T,1423
2013,Број,LJUBINJE,Ж,_T,1475
2013,Број,MILICI,Оба пола,_T,9001
2013,Број,MILICI,M,_T,4512
2013,Број,MILICI,Ж,_T,4489
2013,Број,MODRICA,Оба пола,_T,21096
2013,Број,MODRICA,M,_T,10240
2013,Број,MODRICA,Ж,_T,10856
2013,Број,MRKONJIC GRAD,Оба пола,_T,13701
2013,Број,MRKONJIC GRAD,M,_T,6548
2013,Број,MRKONJIC GRAD,Ж,_T,7153
2013,Број,NEVESINJE,Оба пола,_T,10674
2013,Број,NEVESINJE,M,_T,5289
2013,Број,NEVESINJE,Ж,_T,5385
2013,Број,NOVI GRAD,Оба пола,_T,22126
2013,Број,NOVI GRAD,M,_T,10935
2013,Број,NOVI GRAD,Ж,_T,11191
2013,Број,NOVO GORAZDE,Оба пола,_T,2637
2013,Број,NOVO GORAZDE,M,_T,1374
2013,Број,NOVO GORAZDE,Ж,_T,1263
2013,Број,OSMACI,Оба пола,_T,4710
2013,Број,OSMACI,M,_T,2343
2013,Број,OSMACI,Ж,_T,2367
2013,Број,OSTRA LUKA,Оба пола,_T,2305
2013,Број,OSTRA LUKA,M,_T,1174
2013,Број,OSTRA LUKA,Ж,_T,1131
2013,Број,PALE,Оба пола,_T,17661
2013,Број,PALE,M,_T,8344
2013,Број,PALE,Ж,_T,9317
2013,Број,PELAGICEVO,Оба пола,_T,3895
2013,Број,PELAGICEVO,M,_T,1917
2013,Број,PELAGICEVO,Ж,_T,1978
2013,Број,PETROVAC,Оба пола,_T,302
2013,Број,PETROVAC,M,_T,142
2013,Број,PETROVAC,Ж,_T,160
2013,Број,PETROVO,Оба пола,_T,5575
2013,Број,PETROVO,M,_T,2673
2013,Број,PETROVO,Ж,_T,2902
2013,Број,PRIJEDOR,Оба пола,_T,70732
2013,Број,PRIJEDOR,M,_T,34162
2013,Број,PRIJEDOR,Ж,_T,36570
2013,Број,PRNJAVOR,Оба пола,_T,29403
2013,Број,PRNJAVOR,M,_T,14149
2013,Број,PRNJAVOR,Ж,_T,15254
2013,Број,RIBNIK,Оба пола,_T,5058
2013,Број,RIBNIK,M,_T,2498
2013,Број,RIBNIK,Ж,_T,2560
2013,Број,ROGATICA,Оба пола,_T,8918
2013,Број,ROGATICA,M,_T,4351
2013,Број,ROGATICA,Ж,_T,4567
2013,Број,RUDO,Оба пола,_T,6682
2013,Број,RUDO,M,_T,3367
2013,Број,RUDO,Ж,_T,3315
2013,Број,SOKOLAC,Оба пола,_T,10049
2013,Број,SOKOLAC,M,_T,4907
2013,Број,SOKOLAC,Ж,_T,5142
2013,Број,SRBAC,Оба пола,_T,14551
2013,Број,SRBAC,M,_T,7089
2013,Број,SRBAC,Ж,_T,7462
2013,Број,SREBRENICA,Оба пола,_T,10212
2013,Број,SREBRENICA,M,_T,4952
2013,Број,SREBRENICA,Ж,_T,5260
2013,Број,TESLIC,Оба пола,_T,31305
2013,Број,TESLIC,M,_T,14814
2013,Број,TESLIC,Ж,_T,16491
2013,Број,TREBINJE,Оба пола,_T,23982
2013,Број,TREBINJE,M,_T,11546
2013,Број,TREBINJE,Ж,_T,12436
2013,Број,TRNOVO,Оба пола,_T,1784
2013,Број,TRNOVO,M,_T,848
2013,Број,TRNOVO,Ж,_T,936
2013,Број,UGLJEVIK,Оба пола,_T,12964
2013,Број,UGLJEVIK,M,_T,6513
2013,Број,UGLJEVIK,Ж,_T,6451
2013,Број,FOCA,Оба пола,_T,15468
2013,Број,FOCA,M,_T,7768
2013,Број,FOCA,Ж,_T,7700
2013,Број,HAN PIJESAK,Оба пола,_T,3060
2013,Број,HAN PIJESAK,M,_T,1429
2013,Број,HAN PIJESAK,Ж,_T,1631
2013,Број,CAJNICE,Оба пола,_T,4065
2013,Број,CAJNICE,M,_T,2040
2013,Број,CAJNICE,Ж,_T,2025
2013,Број,CELINAC,Оба пола,_T,12852
2013,Број,CELINAC,M,_T,6297
2013,Број,CELINAC,Ж,_T,6555
2013,Број,SAMAC,Оба пола,_T,14308
2013,Број,SAMAC,M,_T,6877
2013,Број,SAMAC,Ж,_T,7431
2013,Број,SEKOVICI,Оба пола,_T,5525
2013,Број,SEKOVICI,M,_T,2710
2013,Број,SEKOVICI,Ж,_T,2815
2013,Број,SIPOVO,Оба пола,_T,8554
2013,Број,SIPOVO,M,_T,4307
2013,Број,SIPOVO,Ж,_T,4247
2013,Број,REPUBLIKA SRPSKA,Оба пола,no_education,58651
2013,Број,REPUBLIKA SRPSKA,M,no_education,9370
2013,Број,REPUBLIKA SRPSKA,Ж,no_education,49281
2013,Број,BANJA LUKA,Оба пола,no_education,5673
2013,Број,BANJA LUKA,M,no_education,921
2013,Број,BANJA LUKA,Ж,no_education,4752
2013,Број,BERKOVICI,Оба пола,no_education,104
2013,Број,BERKOVICI,M,no_education,8
2013,Број,BERKOVICI,Ж,no_education,96
2013,Број,BIJELJINA,Оба пола,no_education,3916
2013,Број,BIJELJINA,M,no_education,650
2013,Број,BIJELJINA,Ж,no_education,3266
2013,Број,BILECA,Оба пола,no_education,246
2013,Број,BILECA,M,no_education,42
2013,Број,BILECA,Ж,no_education,204
2013,Број,BRATUNAC,Оба пола,no_education,1297
2013,Број,BRATUNAC,M,no_education,166
2013,Број,BRATUNAC,Ж,no_education,1131
2013,Број,BROD,Оба пола,no_education,586
2013,Број,BROD,M,no_education,90
2013,Број,BROD,Ж,no_education,496
2013,Број,VISEGRAD,Оба пола,no_education,576
2013,Број,VISEGRAD,M,no_education,65
2013,Број,VISEGRAD,Ж,no_education,511
2013,Број,VLASENICA,Оба пола,no_education,629
2013,Број,VLASENICA,M,no_education,101
2013,Број,VLASENICA,Ж,no_education,528
2013,Број,VUKOSAVLJE,Оба пола,no_education,329
2013,Број,VUKOSAVLJE,M,no_education,69
2013,Број,VUKOSAVLJE,Ж,no_education,260
2013,Број,GACKO,Оба пола,no_education,268
2013,Број,GACKO,M,no_education,22
2013,Број,GACKO,Ж,no_education,246
2013,Број,GRADISKA,Оба пола,no_education,2608
2013,Број,GRADISKA,M,no_education,425
2013,Број,GRADISKA,Ж,no_education,2183
2013,Број,DERVENTA,Оба пола,no_education,1538
2013,Број,DERVENTA,M,no_education,281
2013,Број,DERVENTA,Ж,no_education,1257
2013,Број,DOBOJ,Оба пола,no_education,3364
2013,Број,DOBOJ,M,no_education,496
2013,Број,DOBOJ,Ж,no_education,2868
2013,Број,DONJI ZABAR,Оба пола,no_education,209
2013,Број,DONJI ZABAR,M,no_education,37
2013,Број,DONJI ZABAR,Ж,no_education,172
2013,Број,ZVORNIK,Оба пола,no_education,3216
2013,Број,ZVORNIK,M,no_education,484
2013,Број,ZVORNIK,Ж,no_education,2732
2013,Број,ISTOCNA ILIDZA,Оба пола,no_education,280
2013,Број,ISTOCNA ILIDZA,M,no_education,33
2013,Број,ISTOCNA ILIDZA,Ж,no_education,247
2013,Број,ISTOCNI DRVAR,Оба пола,no_education,5
2013,Број,ISTOCNI DRVAR,M,no_education,0
2013,Број,ISTOCNI DRVAR,Ж,no_education,5
2013,Број,ISTOCNI MOSTAR,Оба пола,no_education,19
2013,Број,ISTOCNI MOSTAR,M,no_education,1
2013,Број,ISTOCNI MOSTAR,Ж,no_education,18
2013,Број,ISTOCNI STARI GRAD,Оба пола,no_education,61
2013,Број,ISTOCNI STARI GRAD,M,no_education,5
2013,Број,ISTOCNI STARI GRAD,Ж,no_education,56
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,no_education,191
2013,Број,ISTOCNO NOVO SARAJEVO,M,no_education,25
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,no_education,166
2013,Број,JEZERO,Оба пола,no_education,79
2013,Број,JEZERO,M,no_education,14
2013,Број,JEZERO,Ж,no_education,65
2013,Број,KALINOVIK,Оба пола,no_education,158
2013,Број,KALINOVIK,M,no_education,11
2013,Број,KALINOVIK,Ж,no_education,147
2013,Број,KNEZEVO,Оба пола,no_education,1390
2013,Број,KNEZEVO,M,no_education,311
2013,Број,KNEZEVO,Ж,no_education,1079
2013,Број,KOZARSKA DUBICA,Оба пола,no_education,984
2013,Број,KOZARSKA DUBICA,M,no_education,154
2013,Број,KOZARSKA DUBICA,Ж,no_education,830
2013,Број,KOSTAJNICA,Оба пола,no_education,163
2013,Број,KOSTAJNICA,M,no_education,28
2013,Број,KOSTAJNICA,Ж,no_education,135
2013,Број,KOTOR VAROS,Оба пола,no_education,1503
2013,Број,KOTOR VAROS,M,no_education,282
2013,Број,KOTOR VAROS,Ж,no_education,1221
2013,Број,KRUPA NA UNI,Оба пола,no_education,157
2013,Број,KRUPA NA UNI,M,no_education,19
2013,Број,KRUPA NA UNI,Ж,no_education,138
2013,Број,KUPRES,Оба пола,no_education,103
2013,Број,KUPRES,M,no_education,33
2013,Број,KUPRES,Ж,no_education,70
2013,Број,LAKTASI,Оба пола,no_education,1363
2013,Број,LAKTASI,M,no_education,229
2013,Број,LAKTASI,Ж,no_education,1134
2013,Број,LOPARE,Оба пола,no_education,1235
2013,Број,LOPARE,M,no_education,243
2013,Број,LOPARE,Ж,no_education,992
2013,Број,LJUBINJE,Оба пола,no_education,110
2013,Број,LJUBINJE,M,no_education,12
2013,Број,LJUBINJE,Ж,no_education,98
2013,Број,MILICI,Оба пола,no_education,643
2013,Број,MILICI,M,no_education,96
2013,Број,MILICI,Ж,no_education,547
2013,Број,MODRICA,Оба пола,no_education,1278
2013,Број,MODRICA,M,no_education,241
2013,Број,MODRICA,Ж,no_education,1037
2013,Број,MRKONJIC GRAD,Оба пола,no_education,1462
2013,Број,MRKONJIC GRAD,M,no_education,213
2013,Број,MRKONJIC GRAD,Ж,no_education,1249
2013,Број,NEVESINJE,Оба пола,no_education,545
2013,Број,NEVESINJE,M,no_education,56
2013,Број,NEVESINJE,Ж,no_education,489
2013,Број,NOVI GRAD,Оба пола,no_education,1036
2013,Број,NOVI GRAD,M,no_education,171
2013,Број,NOVI GRAD,Ж,no_education,865
2013,Број,NOVO GORAZDE,Оба пола,no_education,127
2013,Број,NOVO GORAZDE,M,no_education,21
2013,Број,NOVO GORAZDE,Ж,no_education,106
2013,Број,OSMACI,Оба пола,no_education,397
2013,Број,OSMACI,M,no_education,62
2013,Број,OSMACI,Ж,no_education,335
2013,Број,OSTRA LUKA,Оба пола,no_education,247
2013,Број,OSTRA LUKA,M,no_education,43
2013,Број,OSTRA LUKA,Ж,no_education,204
2013,Број,PALE,Оба пола,no_education,606
2013,Број,PALE,M,no_education,80
2013,Број,PALE,Ж,no_education,526
2013,Број,PELAGICEVO,Оба пола,no_education,290
2013,Број,PELAGICEVO,M,no_education,46
2013,Број,PELAGICEVO,Ж,no_education,244
2013,Број,PETROVAC,Оба пола,no_education,11
2013,Број,PETROVAC,M,no_education,0
2013,Број,PETROVAC,Ж,no_education,11
2013,Број,PETROVO,Оба пола,no_education,403
2013,Број,PETROVO,M,no_education,48
2013,Број,PETROVO,Ж,no_education,355
2013,Број,PRIJEDOR,Оба пола,no_education,3918
2013,Број,PRIJEDOR,M,no_education,760
2013,Број,PRIJEDOR,Ж,no_education,3158
2013,Број,PRNJAVOR,Оба пола,no_education,2654
2013,Број,PRNJAVOR,M,no_education,391
2013,Број,PRNJAVOR,Ж,no_education,2263
2013,Број,RIBNIK,Оба пола,no_education,680
2013,Број,RIBNIK,M,no_education,118
2013,Број,RIBNIK,Ж,no_education,562
2013,Број,ROGATICA,Оба пола,no_education,633
2013,Број,ROGATICA,M,no_education,89
2013,Број,ROGATICA,Ж,no_education,544
2013,Број,RUDO,Оба пола,no_education,279
2013,Број,RUDO,M,no_education,38
2013,Број,RUDO,Ж,no_education,241
2013,Број,SOKOLAC,Оба пола,no_education,392
2013,Број,SOKOLAC,M,no_education,52
2013,Број,SOKOLAC,Ж,no_education,340
2013,Број,SRBAC,Оба пола,no_education,1115
2013,Број,SRBAC,M,no_education,235
2013,Број,SRBAC,Ж,no_education,880
2013,Број,SREBRENICA,Оба пола,no_education,852
2013,Број,SREBRENICA,M,no_education,105
2013,Број,SREBRENICA,Ж,no_education,747
2013,Број,TESLIC,Оба пола,no_education,3299
2013,Број,TESLIC,M,no_education,471
2013,Број,TESLIC,Ж,no_education,2828
2013,Број,TREBINJE,Оба пола,no_education,382
2013,Број,TREBINJE,M,no_education,44
2013,Број,TREBINJE,Ж,no_education,338
2013,Број,TRNOVO,Оба пола,no_education,143
2013,Број,TRNOVO,M,no_education,14
2013,Број,TRNOVO,Ж,no_education,129
2013,Број,UGLJEVIK,Оба пола,no_education,856
2013,Број,UGLJEVIK,M,no_education,135
