Year,UNIT_MEASURE,Teritory,Пол,Disabilities,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,Укупно,1170342
2013,Број,REPUBLIKA SRPSKA,M,Укупно,571812
2013,Број,REPUBLIKA SRPSKA,Ж,Укупно,598530
2013,Број,BANJA LUKA,Оба пола,Укупно,180053
2013,Број,BANJA LUKA,M,Укупно,86510
2013,Број,BANJA LUKA,Ж,Укупно,93543
2013,Број,BERKOVICI,Оба пола,Укупно,2041
2013,Број,BERKOVICI,M,Укупно,1032
2013,Број,BERKOVICI,Ж,Укупно,1009
2013,Број,BIJELJINA,Оба пола,Укупно,103874
2013,Број,BIJELJINA,M,Укупно,50760
2013,Број,BIJELJINA,Ж,Укупно,53114
2013,Број,BILECA,Оба пола,Укупно,10607
2013,Број,BILECA,M,Укупно,5346
2013,Број,BILECA,Ж,Укупно,5261
2013,Број,BRATUNAC,Оба пола,Укупно,18651
2013,Број,BRATUNAC,M,Укупно,9210
2013,Број,BRATUNAC,Ж,Укупно,9441
2013,Број,BROD,Оба пола,Укупно,15720
2013,Број,BROD,M,Укупно,7670
2013,Број,BROD,Ж,Укупно,8050
2013,Број,VISEGRAD,Оба пола,Укупно,10118
2013,Број,VISEGRAD,M,Укупно,4834
2013,Број,VISEGRAD,Ж,Укупно,5284
2013,Број,VLASENICA,Оба пола,Укупно,10657
2013,Број,VLASENICA,M,Укупно,5193
2013,Број,VLASENICA,Ж,Укупно,5464
2013,Број,VUKOSAVLJE,Оба пола,Укупно,4363
2013,Број,VUKOSAVLJE,M,Укупно,2185
2013,Број,VUKOSAVLJE,Ж,Укупно,2178
2013,Број,GACKO,Оба пола,Укупно,8710
2013,Број,GACKO,M,Укупно,4423
2013,Број,GACKO,Ж,Укупно,4287
2013,Број,GRADISKA,Оба пола,Укупно,49196
2013,Број,GRADISKA,M,Укупно,23944
2013,Број,GRADISKA,Ж,Укупно,25252
2013,Број,DERVENTA,Оба пола,Укупно,25922
2013,Број,DERVENTA,M,Укупно,12629
2013,Број,DERVENTA,Ж,Укупно,13293
2013,Број,DOBOJ,Оба пола,Укупно,68514
2013,Број,DOBOJ,M,Укупно,33222
2013,Број,DOBOJ,Ж,Укупно,35292
2013,Број,DONJI ZABAR,Оба пола,Укупно,3669
2013,Број,DONJI ZABAR,M,Укупно,1853
2013,Број,DONJI ZABAR,Ж,Укупно,1816
2013,Број,ZVORNIK,Оба пола,Укупно,54407
2013,Број,ZVORNIK,M,Укупно,26803
2013,Број,ZVORNIK,Ж,Укупно,27604
2013,Број,ISTOCNA ILIDZA,Оба пола,Укупно,14437
2013,Број,ISTOCNA ILIDZA,M,Укупно,6905
2013,Број,ISTOCNA ILIDZA,Ж,Укупно,7532
2013,Број,ISTOCNI DRVAR,Оба пола,Укупно,66
2013,Број,ISTOCNI DRVAR,M,Укупно,44
2013,Број,ISTOCNI DRVAR,Ж,Укупно,22
2013,Број,ISTOCNI MOSTAR,Оба пола,Укупно,244
2013,Број,ISTOCNI MOSTAR,M,Укупно,138
2013,Број,ISTOCNI MOSTAR,Ж,Укупно,106
2013,Број,ISTOCNI STARI GRAD,Оба пола,Укупно,1116
2013,Број,ISTOCNI STARI GRAD,M,Укупно,552
2013,Број,ISTOCNI STARI GRAD,Ж,Укупно,564
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,Укупно,10401
2013,Број,ISTOCNO NOVO SARAJEVO,M,Укупно,4936
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,Укупно,5465
2013,Број,JEZERO,Оба пола,Укупно,1039
2013,Број,JEZERO,M,Укупно,534
2013,Број,JEZERO,Ж,Укупно,505
2013,Број,KALINOVIK,Оба пола,Укупно,1962
2013,Број,KALINOVIK,M,Укупно,950
2013,Број,KALINOVIK,Ж,Укупно,1012
2013,Број,KNEZEVO,Оба пола,Укупно,9368
2013,Број,KNEZEVO,M,Укупно,4632
2013,Број,KNEZEVO,Ж,Укупно,4736
2013,Број,KOZARSKA DUBICA,Оба пола,Укупно,20681
2013,Број,KOZARSKA DUBICA,M,Укупно,10094
2013,Број,KOZARSKA DUBICA,Ж,Укупно,10587
2013,Број,KOSTAJNICA,Оба пола,Укупно,5645
2013,Број,KOSTAJNICA,M,Укупно,2780
2013,Број,KOSTAJNICA,Ж,Укупно,2865
2013,Број,KOTOR VAROS,Оба пола,Укупно,18361
2013,Број,KOTOR VAROS,M,Укупно,9007
2013,Број,KOTOR VAROS,Ж,Укупно,9354
2013,Број,KRUPA NA UNI,Оба пола,Укупно,1560
2013,Број,KRUPA NA UNI,M,Укупно,841
2013,Број,KRUPA NA UNI,Ж,Укупно,719
2013,Број,KUPRES,Оба пола,Укупно,293
2013,Број,KUPRES,M,Укупно,157
2013,Број,KUPRES,Ж,Укупно,136
2013,Број,LAKTASI,Оба пола,Укупно,34210
2013,Број,LAKTASI,M,Укупно,16905
2013,Број,LAKTASI,Ж,Укупно,17305
2013,Број,LOPARE,Оба пола,Укупно,14689
2013,Број,LOPARE,M,Укупно,7377
2013,Број,LOPARE,Ж,Укупно,7312
2013,Број,LJUBINJE,Оба пола,Укупно,3319
2013,Број,LJUBINJE,M,Укупно,1633
2013,Број,LJUBINJE,Ж,Укупно,1686
2013,Број,MILICI,Оба пола,Укупно,10445
2013,Број,MILICI,M,Укупно,5252
2013,Број,MILICI,Ж,Укупно,5193
2013,Број,MODRICA,Оба пола,Укупно,24490
2013,Број,MODRICA,M,Укупно,11969
2013,Број,MODRICA,Ж,Укупно,12521
2013,Број,MRKONJIC GRAD,Оба пола,Укупно,15926
2013,Број,MRKONJIC GRAD,M,Укупно,7660
2013,Број,MRKONJIC GRAD,Ж,Укупно,8266
2013,Број,NEVESINJE,Оба пола,Укупно,12542
2013,Број,NEVESINJE,M,Укупно,6236
2013,Број,NEVESINJE,Ж,Укупно,6306
2013,Број,NOVI GRAD,Оба пола,Укупно,25240
2013,Број,NOVI GRAD,M,Укупно,12580
2013,Број,NOVI GRAD,Ж,Укупно,12660
2013,Број,NOVO GORAZDE,Оба пола,Укупно,2915
2013,Број,NOVO GORAZDE,M,Укупно,1500
2013,Број,NOVO GORAZDE,Ж,Укупно,1415
2013,Број,OSMACI,Оба пола,Укупно,5546
2013,Број,OSMACI,M,Укупно,2779
2013,Број,OSMACI,Ж,Укупно,2767
2013,Број,OSTRA LUKA,Оба пола,Укупно,2705
2013,Број,OSTRA LUKA,M,Укупно,1386
2013,Број,OSTRA LUKA,Ж,Укупно,1319
