Year,Пол,AGE,UNIT_MEASURE,Value
2013,Оба пола,0-14,Број,4525.0
2013,Оба пола,15-19,Број,2886.0
2013,Оба пола,20-29,Број,6398.0
2013,Оба пола,30-49,Број,40196.0
2013,Оба пола,50-59,Број,57495.0
2013,Оба пола,60-64,Број,34559.0
2013,Оба пола,65+,Број,147999.0
2013,Оба пола,0-14,_%,1.538812071
2013,Оба пола,15-19,_%,0.981439036
2013,Оба пола,20-29,_%,2.175761244
2013,Оба пола,30-49,_%,13.66941216
2013,Оба пола,50-59,_%,19.5522652
2013,Оба пола,60-64,_%,11.7524434
2013,Оба пола,65+,_%,50.3298669
2013,M,0-14,Број,2606.0
2013,M,15-19,Број,1641.0
2013,M,20-29,Број,3821.0
2013,M,30-49,Број,25762.0
2013,M,50-59,Број,30653.0
2013,M,60-64,Број,16157.0
2013,M,65+,Број,52335.0
2013,M,0-14,_%,1.959766873
2013,M,15-19,_%,1.234066554
2013,M,20-29,_%,2.873472457
2013,M,30-49,_%,19.37356646
2013,M,50-59,_%,23.05170145
2013,M,60-64,_%,12.15040421
2013,M,65+,_%,39.357022
2013,Ж,0-14,Број,1919.0
2013,Ж,15-19,Број,1245.0
2013,Ж,20-29,Број,2577.0
2013,Ж,30-49,Број,14434.0
2013,Ж,50-59,Број,26842.0
2013,Ж,60-64,Број,18402.0
2013,Ж,65+,Број,95664.0
2013,Ж,0-14,_%,1.191311312
2013,Ж,15-19,_%,0.772893477
2013,Ж,20-29,_%,1.599796378
2013,Ж,30-49,_%,8.960597953
2013,Ж,50-59,_%,16.66345921
2013,Ж,60-64,_%,11.42392431
2013,Ж,65+,_%,59.38801736
