Year,UNIT_MEASURE,Type_of_user,Пол,Value
2016,Број,total,Оба пола,191604
2017,Број,total,M,184830
2018,Број,total,Ж,179164
2019,Број,total,Оба пола,171280
2020,Број,total,M,167786
2016,Број,underage_users,Ж,53648
2017,Број,underage_users,Оба пола,49035
2018,Број,underage_users,M,48462
2019,Број,underage_users,Ж,47135
2020,Број,underage_users,Оба пола,41066
2016,Број,adult_users,M,137956
2017,Број,adult_users,Ж,135795
2018,Број,adult_users,Оба пола,130702
2019,Број,adult_users,M,124145
2020,Број,adult_users,Ж,126720
