Year,UNIT_MEASURE,Type_of_school,Value
2016,Број,gymnasium,9443
2016,Број,technical_high_schools,24999
2016,Број,vocational_high_schools,6162
2016,Број,art_schools,307
2016,Број,religious_schools,88
2016,Број,high_schools_for_students_with_disabilities,137
2017,Број,gymnasium,8875
2017,Број,technical_high_schools,24644
2017,Број,vocational_high_schools,5832
2017,Број,art_schools,275
2017,Број,religious_schools,80
2017,Број,high_schools_for_students_with_disabilities,125
2018,Број,gymnasium,8360
2018,Број,technical_high_schools,23574
2018,Број,vocational_high_schools,6107
2018,Број,art_schools,287
2018,Број,religious_schools,65
2018,Број,high_schools_for_students_with_disabilities,106
2019,Број,gymnasium,7781
2019,Број,technical_high_schools,22965
2019,Број,vocational_high_schools,6023
2019,Број,art_schools,293
2019,Број,religious_schools,58
2019,Број,high_schools_for_students_with_disabilities,86
2020,Број,gymnasium,7278
2020,Број,technical_high_schools,22749
2020,Број,vocational_high_schools,5935
2020,Број,art_schools,311
2020,Број,religious_schools,54
2020,Број,high_schools_for_students_with_disabilities,78
