Year,UNIT_MEASURE,Пол,SEX.1,Value
2017,Број,Број ученика који су завршили средњу школу по полу,Укупно,10642
2017,Број,Број ученика који су завршили средњу школу по полу,M,5418
2017,Број,Број ученика који су завршили средњу школу по полу,F,5224
2018,Број,Број ученика који су завршили средњу школу по полу,Укупно,10440
2018,Број,Број ученика који су завршили средњу школу по полу,M,5284
2018,Број,Број ученика који су завршили средњу школу по полу,F,5156
2019,Број,Број ученика који су завршили средњу школу по полу,Укупно,10471
2019,Број,Број ученика који су завршили средњу школу по полу,M,5344
2019,Број,Број ученика који су завршили средњу школу по полу,F,5127
2020,Број,Број ученика који су завршили средњу школу по полу,Укупно,9888
2020,Број,Број ученика који су завршили средњу школу по полу,M,5116
2020,Број,Број ученика који су завршили средњу школу по полу,F,4772
