Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Пол,Value
2016,Број,Mагистри наука,Оба пола,36
2016,Број,Mагистри наука,Ж,20
2016,Број,Mагистри наука,M,16
2016,Број,Мастери,Оба пола,261
2016,Број,Мастери,Ж,105
2016,Број,Мастери,M,156
2016,Број,Специјалисти,Оба пола,87
2016,Број,Специјалисти,Ж,31
2016,Број,Специјалисти,M,56
2016,Број,Доктори,Оба пола,64
2016,Број,Доктори,Ж,34
2016,Број,Доктори,M,30
2017,Број,Mагистри наука,Оба пола,39
2017,Број,Mагистри наука,Ж,17
2017,Број,Mагистри наука,M,22
2017,Број,Мастери,Оба пола,332
2017,Број,Мастери,Ж,136
2017,Број,Мастери,M,196
2017,Број,Специјалисти,Оба пола,95
2017,Број,Специјалисти,Ж,35
2017,Број,Специјалисти,M,60
2017,Број,Доктори,Оба пола,42
2017,Број,Доктори,Ж,26
2017,Број,Доктори,M,16
2018,Број,Mагистри наука,Оба пола,41
2018,Број,Mагистри наука,Ж,21
2018,Број,Mагистри наука,M,20
2018,Број,Мастери,Оба пола,378
2018,Број,Мастери,Ж,152
2018,Број,Мастери,M,226
2018,Број,Специјалисти,Оба пола,111
2018,Број,Специјалисти,Ж,35
2018,Број,Специјалисти,M,76
2018,Број,Доктори,Оба пола,43
2018,Број,Доктори,Ж,28
2018,Број,Доктори,M,15
2019,Број,Mагистри наука,Оба пола,42
2019,Број,Mагистри наука,Ж,22
2019,Број,Mагистри наука,M,20
2019,Број,Мастери,Оба пола,383
2019,Број,Мастери,Ж,182
2019,Број,Мастери,M,201
2019,Број,Специјалисти,Оба пола,109
2019,Број,Специјалисти,Ж,48
2019,Број,Специјалисти,M,61
2019,Број,Доктори,Оба пола,54
2019,Број,Доктори,Ж,37
2019,Број,Доктори,M,17
2020,Број,Mагистри наука,Оба пола,72
2020,Број,Mагистри наука,Ж,43
2020,Број,Mагистри наука,M,29
2020,Број,Мастери,Оба пола,420
2020,Број,Мастери,Ж,200
2020,Број,Мастери,M,220
2020,Број,Специјалисти,Оба пола,101
2020,Број,Специјалисти,Ж,32
2020,Број,Специјалисти,M,69
2020,Број,Доктори,Оба пола,47
2020,Број,Доктори,Ж,27
2020,Број,Доктори,M,20
