Year,UNIT_MEASURE,Научна област,Пол,Value
2017,Број,TOTAL,M,252
2017,Број,"Društvene nauke, novinarstvo i informisanje",M,45
2017,Број,Хуманистичке науке и умјетност,M,49
2017,Број,Информационе и комуникационе технологије,M,14
2017,Број,"Инжeњерство, производња и грађевинарство",M,17
2017,Број,Образовање,M,14
2017,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,10
2017,Број,"Пословање, администрација и право",M,48
2017,Број,"Природне науке,  математика и  статистика",M,6
2017,Број,servies,M,1
2017,Број,Zdravstvo i socijalna zaštita,M,48
2017,Број,TOTAL,Ж,282
2017,Број,"Društvene nauke, novinarstvo i informisanje",Ж,55
2017,Број,Хуманистичке науке и умјетност,Ж,51
2017,Број,Информационе и комуникационе технологије,Ж,3
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,15
2017,Број,Образовање,Ж,37
2017,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ж,10
2017,Број,"Пословање, администрација и право",Ж,32
2017,Број,"Природне науке,  математика и  статистика",Ж,9
2017,Број,servies,Ж,0
2017,Број,Zdravstvo i socijalna zaštita,Ж,70
2017,Број,TOTAL,Оба пола,534
2017,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,100
2017,Број,Хуманистичке науке и умјетност,Оба пола,100
2017,Број,Информационе и комуникационе технологије,Оба пола,17
2017,Број,"Инжeњерство, производња и грађевинарство",Оба пола,32
2017,Број,Образовање,Оба пола,51
2017,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Оба пола,20
2017,Број,"Пословање, администрација и право",Оба пола,80
2017,Број,"Природне науке,  математика и  статистика",Оба пола,15
2017,Број,servies,Оба пола,1
2017,Број,Zdravstvo i socijalna zaštita,Оба пола,118
2018,Број,TOTAL,M,322
2018,Број,"Društvene nauke, novinarstvo i informisanje",M,64
2018,Број,Хуманистичке науке и умјетност,M,46
2018,Број,Информационе и комуникационе технологије,M,5
2018,Број,"Инжeњерство, производња и грађевинарство",M,17
2018,Број,Образовање,M,35
2018,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,13
2018,Број,"Пословање, администрација и право",M,36
2018,Број,"Природне науке,  математика и  статистика",M,18
2018,Број,servies,M,3
2018,Број,Zdravstvo i socijalna zaštita,M,85
2018,Број,TOTAL,Ж,208
2018,Број,"Društvene nauke, novinarstvo i informisanje",Ж,37
2018,Број,Хуманистичке науке и умјетност,Ж,30
2018,Број,Информационе и комуникационе технологије,Ж,17
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,16
2018,Број,Образовање,Ж,20
2018,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ж,14
2018,Број,"Пословање, администрација и право",Ж,31
2018,Број,"Природне науке,  математика и  статистика",Ж,5
2018,Број,servies,Ж,0
2018,Број,Zdravstvo i socijalna zaštita,Ж,38
2018,Број,TOTAL,Оба пола,530
2018,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,101
2018,Број,Хуманистичке науке и умјетност,Оба пола,76
2018,Број,Информационе и комуникационе технологије,Оба пола,22
2018,Број,"Инжeњерство, производња и грађевинарство",Оба пола,33
2018,Број,Образовање,Оба пола,55
2018,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Оба пола,27
2018,Број,"Пословање, администрација и право",Оба пола,67
2018,Број,"Природне науке,  математика и  статистика",Оба пола,23
2018,Број,servies,Оба пола,3
2018,Број,Zdravstvo i socijalna zaštita,Оба пола,123
2019,Број,TOTAL,M,188
2019,Број,"Društvene nauke, novinarstvo i informisanje",M,65
2019,Број,Хуманистичке науке и умјетност,M,21
2019,Број,Информационе и комуникационе технологије,M,6
2019,Број,"Инжeњерство, производња и грађевинарство",M,12
2019,Број,Образовање,M,12
2019,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,4
2019,Број,"Пословање, администрација и право",M,22
2019,Број,"Природне науке,  математика и  статистика",M,9
2019,Број,servies,M,1
2019,Број,Zdravstvo i socijalna zaštita,M,36
2019,Број,TOTAL,Ж,278
2019,Број,"Društvene nauke, novinarstvo i informisanje",Ж,83
2019,Број,Хуманистичке науке и умјетност,Ж,38
2019,Број,Информационе и комуникационе технологије,Ж,4
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,18
2019,Број,Образовање,Ж,36
2019,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ж,7
2019,Број,"Пословање, администрација и право",Ж,13
2019,Број,"Природне науке,  математика и  статистика",Ж,15
2019,Број,servies,Ж,0
2019,Број,Zdravstvo i socijalna zaštita,Ж,64
2019,Број,TOTAL,Оба пола,466
2019,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,148
2019,Број,Хуманистичке науке и умјетност,Оба пола,59
2019,Број,Информационе и комуникационе технологије,Оба пола,10
2019,Број,"Инжeњерство, производња и грађевинарство",Оба пола,30
2019,Број,Образовање,Оба пола,48
2019,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Оба пола,11
2019,Број,"Пословање, администрација и право",Оба пола,35
2019,Број,"Природне науке,  математика и  статистика",Оба пола,24
2019,Број,servies,Оба пола,1
2019,Број,Zdravstvo i socijalna zaštita,Оба пола,100
2020,Број,TOTAL,M,156
2020,Број,"Društvene nauke, novinarstvo i informisanje",M,41
2020,Број,Хуманистичке науке и умјетност,M,20
2020,Број,Информационе и комуникационе технологије,M,9
2020,Број,"Инжeњерство, производња и грађевинарство",M,15
2020,Број,Образовање,M,7
2020,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,13
2020,Број,"Пословање, администрација и право",M,13
2020,Број,"Природне науке,  математика и  статистика",M,6
2020,Број,Zdravstvo i socijalna zaštita,M,32
2020,Број,TOTAL,Ж,228
2020,Број,"Društvene nauke, novinarstvo i informisanje",Ж,45
2020,Број,Хуманистичке науке и умјетност,Ж,45
2020,Број,Информационе и комуникационе технологије,Ж,2
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,15
2020,Број,Образовање,Ж,22
2020,Број,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ж,7
2020,Број,"Пословање, администрација и право",Ж,15
2020,Број,"Природне науке,  математика и  статистика",Ж,14
2020,Број,Zdravstvo i socijalna zaštita,Ж,63
2020,Број,TOTAL,Оба пола,384
2020,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,86
2020,Број,Хуманистичке науке и умјетност,Оба пола,65
2020,Број,Информационе и комуникационе технологије,Оба пола,11
2020,Број,"Инжeњерство, производња и грађевинарство",Оба пола,30
2020,Број,Образовање,Оба пола,29
