Year,UNIT_MEASURE,scientific_field,Пол,Value
2017,Број,TOTAL,Оба пола,130
2017,Број,"natural_sciences,_mathematics_and_statistic",Оба пола,10
2017,Број,"engineering,_production_and_construction",Оба пола,4
2017,Број,information_and_communication_technologies,Оба пола,12
2017,Број,health_and_social_protection,Оба пола,25
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,9
2017,Број,"social_sciences,_journalism_and_information",Оба пола,50
2017,Број,"business,_administration_and_law",Оба пола,10
2017,Број,eduaction,Оба пола,0
2017,Број,humanities_and_arts,Оба пола,10
2017,Број,services,Оба пола,0
2017,Број,TOTAL,M,70
2017,Број,"natural_sciences,_mathematics_and_statistic",M,6
2017,Број,"engineering,_production_and_construction",M,3
2017,Број,information_and_communication_technologies,M,9
2017,Број,health_and_social_protection,M,6
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,Број,"social_sciences,_journalism_and_information",M,29
2017,Број,"business,_administration_and_law",M,4
2017,Број,eduaction,M,0
2017,Број,humanities_and_arts,M,9
2017,Број,services,M,0
2017,Број,TOTAL,Ж,60
2017,Број,"natural_sciences,_mathematics_and_statistic",Ж,4
2017,Број,"engineering,_production_and_construction",Ж,1
2017,Број,information_and_communication_technologies,Ж,3
2017,Број,health_and_social_protection,Ж,19
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,5
2017,Број,"social_sciences,_journalism_and_information",Ж,21
2017,Број,"business,_administration_and_law",Ж,6
2017,Број,eduaction,Ж,0
2017,Број,humanities_and_arts,Ж,1
2017,Број,services,Ж,0
2018,Број,TOTAL,Оба пола,119
2018,Број,"natural_sciences,_mathematics_and_statistic",Оба пола,8
2018,Број,"engineering,_production_and_construction",Оба пола,3
2018,Број,information_and_communication_technologies,Оба пола,11
2018,Број,health_and_social_protection,Оба пола,37
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,9
2018,Број,"social_sciences,_journalism_and_information",Оба пола,16
2018,Број,"business,_administration_and_law",Оба пола,10
2018,Број,eduaction,Оба пола,3
2018,Број,humanities_and_arts,Оба пола,22
