Year,UNIT_MEASURE,Пол,Витална статистика,Value
2003,Број,Оба пола,Живорођени,10537
2004,Број,Оба пола,Живорођени,10628
2005,Број,Оба пола,Живорођени,10322
2006,Број,Оба пола,Живорођени,10524
2007,Број,Оба пола,Живорођени,10110
2008,Број,Оба пола,Живорођени,10198
2009,Број,Оба пола,Живорођени,10603
2010,Број,Оба пола,Живорођени,10147
2011,Број,Оба пола,Живорођени,9561
2012,Број,Оба пола,Живорођени,9978
2013,Број,Оба пола,Живорођени,9510
2014,Број,Оба пола,Живорођени,9335
2015,Број,Оба пола,Живорођени,9357
2016,Број,Оба пола,Живорођени,9452
2017,Број,Оба пола,Живорођени,9339
2018,Број,Оба пола,Живорођени,9568
2019,Број,Оба пола,Живорођени,9274
2020,Број,Оба пола,Живорођени,9161
2003,Број,Оба пола,Смртни случајеви,12988
2004,Број,Оба пола,Смртни случајеви,13082
2005,Број,Оба пола,Смртни случајеви,13802
2006,Број,Оба пола,Смртни случајеви,13232
2007,Број,Оба пола,Смртни случајеви,14146
2008,Број,Оба пола,Смртни случајеви,13501
2009,Број,Оба пола,Смртни случајеви,13775
2010,Број,Оба пола,Смртни случајеви,13517
2011,Број,Оба пола,Смртни случајеви,13658
2012,Број,Оба пола,Смртни случајеви,13796
2013,Број,Оба пола,Смртни случајеви,13978
2014,Број,Оба пола,Смртни случајеви,14409
2015,Број,Оба пола,Смртни случајеви,15059
2016,Број,Оба пола,Смртни случајеви,13970
2017,Број,Оба пола,Смртни случајеви,14663
2018,Број,Оба пола,Смртни случајеви,14763
2019,Број,Оба пола,Смртни случајеви,15081
2020,Број,Оба пола,Смртни случајеви,16582
2003,Број,Оба пола,Природно кретање,-2451
2004,Број,Оба пола,Природно кретање,-2454
2005,Број,Оба пола,Природно кретање,-3480
2006,Број,Оба пола,Природно кретање,-2708
2007,Број,Оба пола,Природно кретање,-4036
2008,Број,Оба пола,Природно кретање,-3303
2009,Број,Оба пола,Природно кретање,-3172
2010,Број,Оба пола,Природно кретање,-3370
2011,Број,Оба пола,Природно кретање,-4097
2012,Број,Оба пола,Природно кретање,-3818
2013,Број,Оба пола,Природно кретање,-4468
2014,Број,Оба пола,Природно кретање,-5074
2015,Број,Оба пола,Природно кретање,-5702
2016,Број,Оба пола,Природно кретање,-4518
2017,Број,Оба пола,Природно кретање,-5324
2018,Број,Оба пола,Природно кретање,-5195
2019,Број,Оба пола,Природно кретање,-5807
2020,Број,Оба пола,Природно кретање,-7421
