Year,UNIT_MEASURE,Пол,Узрок смрти (према шифрама болести по МКБ-10),Value
2003,Број,Оба пола,Смрт,12988
2004,Број,Оба пола,Смрт,13082
2005,Број,Оба пола,Смрт,13802
2006,Број,Оба пола,Смрт,13232
2007,Број,Оба пола,Смрт,14146
2008,Број,Оба пола,Смрт,13501
2009,Број,Оба пола,Смрт,13775
2010,Број,Оба пола,Смрт,13517
2011,Број,Оба пола,Смрт,13658
2012,Број,Оба пола,Смрт,13796
2013,Број,Оба пола,Смрт,13978
2014,Број,Оба пола,Смрт,14409
2015,Број,Оба пола,Смрт,15059
2016,Број,Оба пола,Смрт,13970
2017,Број,Оба пола,Смрт,14663
2018,Број,Оба пола,Смрт,14763
2019,Број,Оба пола,Смрт,15081
2020,Број,Оба пола,Смрт,16582
2003,Број,M,Смрт,6804
2004,Број,M,Смрт,6735
2005,Број,M,Смрт,7239
2006,Број,M,Смрт,6904
2007,Број,M,Смрт,7302
2008,Број,M,Смрт,7058
2009,Број,M,Смрт,7099
2010,Број,M,Смрт,6935
2011,Број,M,Смрт,7001
2012,Број,M,Смрт,7064
2013,Број,M,Смрт,7237
2014,Број,M,Смрт,7386
2015,Број,M,Смрт,7640
2016,Број,M,Смрт,7198
2017,Број,M,Смрт,7363
2018,Број,M,Смрт,7449
2019,Број,M,Смрт,7753
2020,Број,M,Смрт,8613
2003,Број,M,infectious_and_parasitic_diseases,59
2004,Број,M,infectious_and_parasitic_diseases,75
2005,Број,M,infectious_and_parasitic_diseases,78
2006,Број,M,infectious_and_parasitic_diseases,73
2007,Број,M,infectious_and_parasitic_diseases,70
2008,Број,M,infectious_and_parasitic_diseases,72
2009,Број,M,infectious_and_parasitic_diseases,75
2010,Број,M,infectious_and_parasitic_diseases,72
2011,Број,M,infectious_and_parasitic_diseases,79
2012,Број,M,infectious_and_parasitic_diseases,69
2013,Број,M,infectious_and_parasitic_diseases,73
2014,Број,M,infectious_and_parasitic_diseases,80
2015,Број,M,infectious_and_parasitic_diseases,92
2016,Број,M,infectious_and_parasitic_diseases,104
2017,Број,M,infectious_and_parasitic_diseases,85
2018,Број,M,infectious_and_parasitic_diseases,109
2019,Број,M,infectious_and_parasitic_diseases,119
2020,Број,M,infectious_and_parasitic_diseases,87
2003,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1461
2004,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1402
2005,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1581
2006,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1536
2007,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1624
2008,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1658
2009,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1661
2010,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1595
2011,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1684
2012,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1754
2013,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1859
2014,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1801
2015,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1783
2016,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1739
2017,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1759
2018,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1729
2019,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1705
2020,Број,M,"(Ц00-Ц97,Д00-Д48) Неоплазме",1622
2003,Број,M,diseases_of_the_blood_and_blood_forming_organs,6
2004,Број,M,diseases_of_the_blood_and_blood_forming_organs,2
2005,Број,M,diseases_of_the_blood_and_blood_forming_organs,5
2006,Број,M,diseases_of_the_blood_and_blood_forming_organs,2
2007,Број,M,diseases_of_the_blood_and_blood_forming_organs,6
2008,Број,M,diseases_of_the_blood_and_blood_forming_organs,3
2009,Број,M,diseases_of_the_blood_and_blood_forming_organs,4
2010,Број,M,diseases_of_the_blood_and_blood_forming_organs,5
2011,Број,M,diseases_of_the_blood_and_blood_forming_organs,7
2012,Број,M,diseases_of_the_blood_and_blood_forming_organs,9
2013,Број,M,diseases_of_the_blood_and_blood_forming_organs,8
2014,Број,M,diseases_of_the_blood_and_blood_forming_organs,2
2015,Број,M,diseases_of_the_blood_and_blood_forming_organs,9
2016,Број,M,diseases_of_the_blood_and_blood_forming_organs,9
2017,Број,M,diseases_of_the_blood_and_blood_forming_organs,3
2018,Број,M,diseases_of_the_blood_and_blood_forming_organs,18
2019,Број,M,diseases_of_the_blood_and_blood_forming_organs,8
2020,Број,M,diseases_of_the_blood_and_blood_forming_organs,12
2003,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,71
2004,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,68
2005,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,286
2006,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,306
2007,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,349
2008,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,310
2009,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,361
2010,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,289
2011,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,257
2012,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,211
2013,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,341
2014,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,411
2015,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,362
2016,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,313
2017,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,373
2018,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,386
2019,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,261
2020,Број,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,340
2003,Број,M,mental_disorders_and_behavioral_disorders,24
2004,Број,M,mental_disorders_and_behavioral_disorders,46
2005,Број,M,mental_disorders_and_behavioral_disorders,64
2006,Број,M,mental_disorders_and_behavioral_disorders,67
2007,Број,M,mental_disorders_and_behavioral_disorders,87
2008,Број,M,mental_disorders_and_behavioral_disorders,82
2009,Број,M,mental_disorders_and_behavioral_disorders,92
2010,Број,M,mental_disorders_and_behavioral_disorders,73
2011,Број,M,mental_disorders_and_behavioral_disorders,58
2012,Број,M,mental_disorders_and_behavioral_disorders,46
2013,Број,M,mental_disorders_and_behavioral_disorders,64
2014,Број,M,mental_disorders_and_behavioral_disorders,63
2015,Број,M,mental_disorders_and_behavioral_disorders,44
2016,Број,M,mental_disorders_and_behavioral_disorders,72
2017,Број,M,mental_disorders_and_behavioral_disorders,70
2018,Број,M,mental_disorders_and_behavioral_disorders,55
2019,Број,M,mental_disorders_and_behavioral_disorders,50
2020,Број,M,mental_disorders_and_behavioral_disorders,43
2003,Број,M,diseases_of_the_nervous_system,39
2004,Број,M,diseases_of_the_nervous_system,53
2005,Број,M,diseases_of_the_nervous_system,86
2006,Број,M,diseases_of_the_nervous_system,111
2007,Број,M,diseases_of_the_nervous_system,85
2008,Број,M,diseases_of_the_nervous_system,91
2009,Број,M,diseases_of_the_nervous_system,78
2010,Број,M,diseases_of_the_nervous_system,76
2011,Број,M,diseases_of_the_nervous_system,112
2012,Број,M,diseases_of_the_nervous_system,105
2013,Број,M,diseases_of_the_nervous_system,98
2014,Број,M,diseases_of_the_nervous_system,97
2015,Број,M,diseases_of_the_nervous_system,106
2016,Број,M,diseases_of_the_nervous_system,96
2017,Број,M,diseases_of_the_nervous_system,102
2018,Број,M,diseases_of_the_nervous_system,82
2019,Број,M,diseases_of_the_nervous_system,84
2020,Број,M,diseases_of_the_nervous_system,91
2003,Број,M,eye_diseases_and_eye_soldering_disease,x
2004,Број,M,eye_diseases_and_eye_soldering_disease,x
2005,Број,M,eye_diseases_and_eye_soldering_disease,x
2006,Број,M,eye_diseases_and_eye_soldering_disease,x
2007,Број,M,eye_diseases_and_eye_soldering_disease,x
2008,Број,M,eye_diseases_and_eye_soldering_disease,x
2009,Број,M,eye_diseases_and_eye_soldering_disease,x
2010,Број,M,eye_diseases_and_eye_soldering_disease,x
2011,Број,M,eye_diseases_and_eye_soldering_disease,x
2012,Број,M,eye_diseases_and_eye_soldering_disease,x
2013,Број,M,eye_diseases_and_eye_soldering_disease,x
2014,Број,M,eye_diseases_and_eye_soldering_disease,x
2015,Број,M,eye_diseases_and_eye_soldering_disease,x
2016,Број,M,eye_diseases_and_eye_soldering_disease,x
2017,Број,M,eye_diseases_and_eye_soldering_disease,x
2018,Број,M,eye_diseases_and_eye_soldering_disease,x
2019,Број,M,eye_diseases_and_eye_soldering_disease,x
2020,Број,M,eye_diseases_and_eye_soldering_disease,x
2003,Број,M,diseases_of_ear_and_mastoid_process,x
2004,Број,M,diseases_of_ear_and_mastoid_process,x
2005,Број,M,diseases_of_ear_and_mastoid_process,1
2006,Број,M,diseases_of_ear_and_mastoid_process,x
2007,Број,M,diseases_of_ear_and_mastoid_process,1
2008,Број,M,diseases_of_ear_and_mastoid_process,x
2009,Број,M,diseases_of_ear_and_mastoid_process,x
2010,Број,M,diseases_of_ear_and_mastoid_process,x
2011,Број,M,diseases_of_ear_and_mastoid_process,x
2012,Број,M,diseases_of_ear_and_mastoid_process,x
2013,Број,M,diseases_of_ear_and_mastoid_process,x
2014,Број,M,diseases_of_ear_and_mastoid_process,x
2015,Број,M,diseases_of_ear_and_mastoid_process,x
2016,Број,M,diseases_of_ear_and_mastoid_process,x
