Year,UNIT_MEASURE,Пол,Value
2003,Age,Оба пола,73.8
2003,Age,M,71.19
2003,Age,Ж,76.4
2004,Age,Оба пола,74.14
2004,Age,M,71.55
2004,Age,Ж,76.7
2005,Age,Оба пола,73.87
2005,Age,M,71.05
2005,Age,Ж,76.69
2006,Age,Оба пола,74.64
2006,Age,M,71.82
2006,Age,Ж,77.45
2007,Age,Оба пола,74.43
2007,Age,M,71.67
2007,Age,Ж,77.21
2008,Age,Оба пола,75.21
2008,Age,M,72.21
2008,Age,Ж,78.23
2009,Age,Оба пола,75.32
2009,Age,M,72.62
2009,Age,Ж,78.02
2010,Age,Оба пола,75.88
2010,Age,M,73.22
2010,Age,Ж,78.52
2011,Age,Оба пола,76.18
2011,Age,M,73.42
2011,Age,Ж,78.96
2012,Age,Оба пола,76.5
2012,Age,M,73.67
2012,Age,Ж,79.35
2013,Age,Оба пола,76.42
2013,Age,M,73.5
2013,Age,Ж,79.36
2014,Age,Оба пола,76.41
2014,Age,M,73.76
2014,Age,Ж,79.06
2015,Age,Оба пола,76.19
2015,Age,M,73.6
2015,Age,Ж,78.78
2016,Age,Оба пола,77.24
2016,Age,M,74.4
2016,Age,Ж,80.1
2017,Age,Оба пола,77.2
2017,Age,M,74.68
2017,Age,Ж,79.71
2018,Age,Оба пола,77.22
2018,Age,M,74.59
2018,Age,Ж,79.86
2019,Age,Оба пола,77.15
2019,Age,M,74.34
2019,Age,Ж,80.0
2020,Age,Оба пола,76.23
2020,Age,M,73.34
2020,Age,Ж,79.24
