Year,UNIT_MEASURE,Value
2003,Број на 1000 бракова,0.6
2004,Број на 1000 бракова,0.5
2005,Број на 1000 бракова,0.6
2006,Број на 1000 бракова,0.4
2007,Број на 1000 бракова,0.5
2008,Број на 1000 бракова,0.3
2009,Број на 1000 бракова,0.4
2010,Број на 1000 бракова,0.4
2011,Број на 1000 бракова,0.8
2012,Број на 1000 бракова,0.7
2013,Број на 1000 бракова,0.9
2014,Број на 1000 бракова,0.9
2015,Број на 1000 бракова,1.0
2016,Број на 1000 бракова,0.9
2017,Број на 1000 бракова,0.9
2018,Број на 1000 бракова,0.8
2019,Број на 1000 бракова,0.8
2020,Број на 1000 бракова,0.8
