Year,UNIT_MEASURE,Пол,AGE,Value
2019,Број,M,_T,556961
2019,Број,M,0,4821
2019,Број,M,1,4995
2019,Број,M,2,4870
2019,Број,M,3,4921
2019,Број,M,4,4819
2019,Број,M,5,4887
2019,Број,M,6,4934
2019,Број,M,7,5342
2019,Број,M,8,5366
2019,Број,M,9,5551
2019,Број,M,10,5938
2019,Број,M,11,5721
2019,Број,M,12,5459
2019,Број,M,13,5424
2019,Број,M,14,5524
2019,Број,M,15,5646
2019,Број,M,16,5564
2019,Број,M,17,5689
2019,Број,M,18,6021
2019,Број,M,19,5968
2019,Број,M,20,5984
2019,Број,M,21,6559
2019,Број,M,22,7457
2019,Број,M,23,7312
2019,Број,M,24,7450
2019,Број,M,25,7299
2019,Број,M,26,6066
2019,Број,M,27,6245
2019,Број,M,28,7140
2019,Број,M,29,7027
2019,Број,M,30,7111
2019,Број,M,31,7600
2019,Број,M,32,7516
2019,Број,M,33,7543
2019,Број,M,34,7962
2019,Број,M,35,8171
2019,Број,M,36,8278
2019,Број,M,37,8177
2019,Број,M,38,8143
2019,Број,M,39,8147
2019,Број,M,40,8022
2019,Број,M,41,8168
2019,Број,M,42,8114
2019,Број,M,43,8525
2019,Број,M,44,8176
2019,Број,M,45,7921
2019,Број,M,46,7876
2019,Број,M,47,7992
2019,Број,M,48,7698
2019,Број,M,49,7066
2019,Број,M,50,7606
2019,Број,M,51,7498
2019,Број,M,52,7928
2019,Број,M,53,8072
2019,Број,M,54,8461
2019,Број,M,55,7984
2019,Број,M,56,8111
2019,Број,M,57,8540
2019,Број,M,58,8486
2019,Број,M,59,8615
2019,Број,M,60,8432
2019,Број,M,61,8563
2019,Број,M,62,7709
2019,Број,M,63,8398
2019,Број,M,64,8289
2019,Број,M,65,8753
2019,Број,M,66,7957
2019,Број,M,67,8140
2019,Број,M,68,6562
2019,Број,M,69,6768
2019,Број,M,70,6719
2019,Број,M,71,5590
2019,Број,M,72,5486
2019,Број,M,73,4872
2019,Број,M,74,3406
2019,Број,M,75,3232
2019,Број,M,76,3176
2019,Број,M,77,3151
2019,Број,M,78,3418
2019,Број,M,79,3617
2019,Број,M,80,3155
2019,Број,M,81,2931
2019,Број,M,82,2633
2019,Број,M,83,2260
2019,Број,M,84,1823
2019,Број,M,85,1495
2019,Број,M,86,1225
2019,Број,M,87,986
2019,Број,M,88,720
2019,Број,M,89,630
2019,Број,M,90,431
2019,Број,M,91,385
2019,Број,M,92,177
2019,Број,M,93,129
2019,Број,M,94,80
2019,Број,M,95,61
2019,Број,M,96,36
2019,Број,M,97,13
2019,Број,M,98,11
2019,Број,M,99,7
2019,Број,M,100,5
2019,Број,M,101,12
2019,Број,M,102,6
2019,Број,M,103,3
2019,Број,M,104,2
2019,Број,M,105,1
2019,Број,M,106,1
2019,Број,M,107,1
2019,Број,M,108,0
2019,Број,M,109,0
2019,Број,M,110,0
2019,Број,M,111,0
2019,Број,M,112,0
2019,Број,M,113,0
2019,Број,M,114,0
2019,Број,M,115,0
2019,Број,M,116,0
2019,Број,M,117,0
2019,Број,M,118,0
2019,Број,M,119,0
2019,Број,M,120+,0
2020,Број,M,_T,554363
2020,Број,M,0,4765
2020,Број,M,1,4820
2020,Број,M,2,4996
2020,Број,M,3,4871
2020,Број,M,4,4920
2020,Број,M,5,4819
2020,Број,M,6,4890
2020,Број,M,7,4937
2020,Број,M,8,5342
2020,Број,M,9,5365
2020,Број,M,10,5550
2020,Број,M,11,5936
2020,Број,M,12,5720
2020,Број,M,13,5458
2020,Број,M,14,5424
2020,Број,M,15,5523
2020,Број,M,16,5644
2020,Број,M,17,5562
2020,Број,M,18,5676
2020,Број,M,19,6007
2020,Број,M,20,5964
2020,Број,M,21,5978
2020,Број,M,22,6551
2020,Број,M,23,7450
2020,Број,M,24,7308
2020,Број,M,25,7447
2020,Број,M,26,7296
2020,Број,M,27,6064
2020,Број,M,28,6245
2020,Број,M,29,7140
2020,Број,M,30,7026
2020,Број,M,31,7110
2020,Број,M,32,7598
2020,Број,M,33,7513
2020,Број,M,34,7540
2020,Број,M,35,7956
2020,Број,M,36,8164
2020,Број,M,37,8270
2020,Број,M,38,8167
2020,Број,M,39,8132
2020,Број,M,40,8135
2020,Број,M,41,8009
2020,Број,M,42,8152
2020,Број,M,43,8095
2020,Број,M,44,8502
2020,Број,M,45,8151
2020,Број,M,46,7896
2020,Број,M,47,7849
2020,Број,M,48,7961
2020,Број,M,49,7664
2020,Број,M,50,7030
2020,Број,M,51,7563
2020,Број,M,52,7452
2020,Број,M,53,7876
2020,Број,M,54,8014
2020,Број,M,55,8391
2020,Број,M,56,7909
2020,Број,M,57,8027
2020,Број,M,58,8442
2020,Број,M,59,8380
2020,Број,M,60,8499
2020,Број,M,61,8310
2020,Број,M,62,8428
2020,Број,M,63,7577
2020,Број,M,64,8237
2020,Број,M,65,8114
2020,Број,M,66,8560
2020,Број,M,67,7773
2020,Број,M,68,7937
2020,Број,M,69,6383
2020,Број,M,70,6562
2020,Број,M,71,6493
2020,Број,M,72,5384
2020,Број,M,73,5264
2020,Број,M,74,4655
2020,Број,M,75,3239
2020,Број,M,76,3056
2020,Број,M,77,2985
2020,Број,M,78,2943
2020,Број,M,79,3170
2020,Број,M,80,3330
2020,Број,M,81,2880
2020,Број,M,82,2652
2020,Број,M,83,2360
2020,Број,M,84,2004
2020,Број,M,85,1598
2020,Број,M,86,1294
2020,Број,M,87,1046
2020,Број,M,88,830
2020,Број,M,89,597
2020,Број,M,90,514
2020,Број,M,91,346
2020,Број,M,92,303
2020,Број,M,93,136
2020,Број,M,94,98
2020,Број,M,95,60
2020,Број,M,96,44
2020,Број,M,97,25
2020,Број,M,98,9
2020,Број,M,99,7
2020,Број,M,100,4
2020,Број,M,101,3
2020,Број,M,102,8
2020,Број,M,103,3
2020,Број,M,104,2
2020,Број,M,105,1
2020,Број,M,106,1
2020,Број,M,107,0
2020,Број,M,108,0
2020,Број,M,109,0
2020,Број,M,110,0
2020,Број,M,111,0
2020,Број,M,112,0
2020,Број,M,113,0
2020,Број,M,114,0
2020,Број,M,115,0
2020,Број,M,116,0
2020,Број,M,117,0
2020,Број,M,118,0
2020,Број,M,119,0
2020,Број,M,120+,0
2025,Број,M,_T,540706
2025,Број,M,0,4485
2025,Број,M,1,4539
