Year,UNIT_MEASURE,Teritory,Пол,Старосна доб,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,0-4,53563
2013,Број,REPUBLIKA SRPSKA,M,0-4,27499
2013,Број,REPUBLIKA SRPSKA,Ж,0-4,26064
2013,Број,GRAD BANJA LUKA,Оба пола,0-4,9539
2013,Број,GRAD BANJA LUKA,M,0-4,4844
2013,Број,GRAD BANJA LUKA,Ж,0-4,4695
2013,Број,BERKOVICI,Оба пола,0-4,91
2013,Број,BERKOVICI,M,0-4,49
2013,Број,BERKOVICI,Ж,0-4,42
2013,Број,GRAD BIJELJINA,Оба пола,0-4,4963
2013,Број,GRAD BIJELJINA,M,0-4,2590
2013,Број,GRAD BIJELJINA,Ж,0-4,2373
2013,Број,BILECA,Оба пола,0-4,489
2013,Број,BILECA,M,0-4,258
2013,Број,BILECA,Ж,0-4,231
2013,Број,BRATUNAC,Оба пола,0-4,888
2013,Број,BRATUNAC,M,0-4,476
2013,Број,BRATUNAC,Ж,0-4,412
2013,Број,BROD,Оба пола,0-4,718
2013,Број,BROD,M,0-4,377
2013,Број,BROD,Ж,0-4,341
2013,Број,VISEGRAD,Оба пола,0-4,323
2013,Број,VISEGRAD,M,0-4,153
2013,Број,VISEGRAD,Ж,0-4,170
2013,Број,VLASENICA,Оба пола,0-4,486
2013,Број,VLASENICA,M,0-4,260
2013,Број,VLASENICA,Ж,0-4,226
2013,Број,VUKOSAVLJE,Оба пола,0-4,195
2013,Број,VUKOSAVLJE,M,0-4,97
2013,Број,VUKOSAVLJE,Ж,0-4,98
2013,Број,GACKO,Оба пола,0-4,430
2013,Број,GACKO,M,0-4,210
2013,Број,GACKO,Ж,0-4,220
2013,Број,GRAD GRADISKA,Оба пола,0-4,2077
2013,Број,GRAD GRADISKA,M,0-4,1047
2013,Број,GRAD GRADISKA,Ж,0-4,1030
2013,Број,GRAD DERVENTA,Оба пола,0-4,1115
2013,Број,GRAD DERVENTA,M,0-4,551
2013,Број,GRAD DERVENTA,Ж,0-4,564
2013,Број,GRAD DOBOJ,Оба пола,0-4,3010
2013,Број,GRAD DOBOJ,M,0-4,1528
2013,Број,GRAD DOBOJ,Ж,0-4,1482
2013,Број,DONJI ZABAR,Оба пола,0-4,126
2013,Број,DONJI ZABAR,M,0-4,60
2013,Број,DONJI ZABAR,Ж,0-4,66
2013,Број,GRAD ZVORNIK,Оба пола,0-4,2851
2013,Број,GRAD ZVORNIK,M,0-4,1442
2013,Број,GRAD ZVORNIK,Ж,0-4,1409
2013,Број,ISTOCNI DRVAR,Оба пола,0-4,-
2013,Број,ISTOCNI DRVAR,M,0-4,-
2013,Број,ISTOCNI DRVAR,Ж,0-4,-
2013,Број,ISTOCNI MOSTAR,Оба пола,0-4,7
2013,Број,ISTOCNI MOSTAR,M,0-4,4
2013,Број,ISTOCNI MOSTAR,Ж,0-4,3
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,0-4,2763
2013,Број,GRAD ISTOCNO SARAJEVO,M,0-4,1404
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,0-4,1359
2013,Број,ISTOCNA ILIDZA,Оба пола,0-4,650
2013,Број,ISTOCNA ILIDZA,M,0-4,327
2013,Број,ISTOCNA ILIDZA,Ж,0-4,323
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,0-4,607
2013,Број,ISTOCNO NOVO SARAJEVO,M,0-4,296
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,0-4,311
2013,Број,ISTOČNI STARI GRAD,Оба пола,0-4,41
2013,Број,ISTOČNI STARI GRAD,M,0-4,26
2013,Број,ISTOČNI STARI GRAD,Ж,0-4,15
2013,Број,PALE,Оба пола,0-4,895
2013,Број,PALE,M,0-4,463
2013,Број,PALE,Ж,0-4,432
2013,Број,SOKOLAC,Оба пола,0-4,508
2013,Број,SOKOLAC,M,0-4,266
2013,Број,SOKOLAC,Ж,0-4,242
2013,Број,TRNOVO,Оба пола,0-4,62
2013,Број,TRNOVO,M,0-4,26
2013,Број,TRNOVO,Ж,0-4,36
2013,Број,JEZERO,Оба пола,0-4,39
2013,Број,JEZERO,M,0-4,20
2013,Број,JEZERO,Ж,0-4,19
2013,Број,KALINOVIK,Оба пола,0-4,50
2013,Број,KALINOVIK,M,0-4,25
2013,Број,KALINOVIK,Ж,0-4,25
2013,Број,KNEZEVO,Оба пола,0-4,408
2013,Број,KNEZEVO,M,0-4,215
2013,Број,KNEZEVO,Ж,0-4,193
2013,Број,KOSTAJNICA,Оба пола,0-4,213
2013,Број,KOSTAJNICA,M,0-4,98
2013,Број,KOSTAJNICA,Ж,0-4,115
2013,Број,KOTOR VAROS,Оба пола,0-4,901
2013,Број,KOTOR VAROS,M,0-4,466
2013,Број,KOTOR VAROS,Ж,0-4,435
2013,Број,KOZARSKA DUBICA,Оба пола,0-4,774
2013,Број,KOZARSKA DUBICA,M,0-4,389
2013,Број,KOZARSKA DUBICA,Ж,0-4,385
2013,Број,KRUPA NA UNI,Оба пола,0-4,50
2013,Број,KRUPA NA UNI,M,0-4,26
2013,Број,KRUPA NA UNI,Ж,0-4,24
2013,Број,KUPRES,Оба пола,0-4,6
2013,Број,KUPRES,M,0-4,5
2013,Број,KUPRES,Ж,0-4,1
2013,Број,LAKTASI,Оба пола,0-4,1679
2013,Број,LAKTASI,M,0-4,854
