Year,UNIT_MEASURE,Teritory,Пол,Витална статистика,Value
2013,Број,Република Српска,Ж,Укупно,518243
2013,Број,Град Бања Лука,Ж,Укупно,80633
2013,Број,Берковићи,Ж,Укупно,839
2013,Број,Град Бијељина,Ж,Укупно,45729
2013,Број,Билећа,Ж,Укупно,4500
2013,Број,Братунац,Ж,Укупно,8127
2013,Број,Брод,Ж,Укупно,6996
2013,Број,Вишеград,Ж,Укупно,4691
2013,Број,Власеница,Ж,Укупно,4738
2013,Број,Вукосавље,Ж,Укупно,1849
2013,Број,Гацко,Ж,Укупно,3646
2013,Број,Град Градишка,Ж,Укупно,22005
2013,Број,Град Дервента,Ж,Укупно,11515
2013,Број,Град Добој,Ж,Укупно,30598
2013,Број,Доњи Жабар,Ж,Укупно,1561
2013,Број,Град Зворник,Ж,Укупно,23313
2013,Број,Источна Илиџа,Ж,Укупно,6538
2013,Број,Источни Дрвар,Ж,Укупно,22
2013,Број,Источни Мостар,Ж,Укупно,93
2013,Број,Источни Стари Град,Ж,Укупно,516
2013,Број,Источно Ново Сарајево,Ж,Укупно,4659
2013,Број,Језеро,Ж,Укупно,437
2013,Број,Калиновик,Ж,Укупно,898
2013,Број,Кнежево,Ж,Укупно,4079
2013,Број,Козарска Дубица,Ж,Укупно,9386
2013,Број,Костајница,Ж,Укупно,2538
2013,Број,Котор Варош,Ж,Укупно,7914
2013,Број,Крупа на Уни,Ж,Укупно,628
2013,Број,Купрес,Ж,Укупно,127
2013,Број,Лакташи,Ж,Укупно,14682
2013,Број,Лопаре,Ж,Укупно,6471
2013,Број,Љубиње,Ж,Укупно,1475
2013,Број,Милићи,Ж,Укупно,4489
2013,Број,Модрича,Ж,Укупно,10856
2013,Број,Мркоњић Град,Ж,Укупно,7153
2013,Број,Невесиње,Ж,Укупно,5385
2013,Број,Нови Град,Ж,Укупно,11191
2013,Број,Ново Горажде,Ж,Укупно,1263
2013,Број,Осмаци,Ж,Укупно,2367
2013,Број,Оштра Лука,Ж,Укупно,1131
2013,Број,Пале,Ж,Укупно,9317
2013,Број,Пелагићево,Ж,Укупно,1978
2013,Број,Петровац,Ж,Укупно,160
2013,Број,Петрово,Ж,Укупно,2902
2013,Број,Град Приједор,Ж,Укупно,36570
2013,Број,Прњавор,Ж,Укупно,15254
2013,Број,Рибник,Ж,Укупно,2560
2013,Број,Рогатица,Ж,Укупно,4567
2013,Број,Рудо,Ж,Укупно,3315
2013,Број,Соколац,Ж,Укупно,5142
2013,Број,Србац,Ж,Укупно,7462
2013,Број,Сребреница,Ж,Укупно,5260
2013,Број,Теслић,Ж,Укупно,16491
2013,Број,Град Требиње,Ж,Укупно,12436
2013,Број,Трново,Ж,Укупно,936
2013,Број,Угљевик,Ж,Укупно,6451
2013,Број,Фоча,Ж,Укупно,7700
2013,Број,Хан Пијесак,Ж,Укупно,1631
2013,Број,Чајниче,Ж,Укупно,2025
2013,Број,Челинац,Ж,Укупно,6555
2013,Број,Шамац,Ж,Укупно,7431
2013,Број,Шековићи,Ж,Укупно,2815
2013,Број,Шипово,Ж,Укупно,4247
2013,Број,Република Српска,Ж,Нису рађале,131752
2013,Број,Град Бања Лука,Ж,Нису рађале,22958
2013,Број,Берковићи,Ж,Нису рађале,198
2013,Број,Град Бијељина,Ж,Нису рађале,11452
2013,Број,Билећа,Ж,Нису рађале,1303
2013,Број,Братунац,Ж,Нису рађале,2067
2013,Број,Брод,Ж,Нису рађале,1822
2013,Број,Вишеград,Ж,Нису рађале,1278
2013,Број,Власеница,Ж,Нису рађале,1293
2013,Број,Вукосавље,Ж,Нису рађале,419
2013,Број,Гацко,Ж,Нису рађале,1080
2013,Број,Град Градишка,Ж,Нису рађале,5312
2013,Број,Град Дервента,Ж,Нису рађале,2841
2013,Број,Град Добој,Ж,Нису рађале,7244
2013,Број,Доњи Жабар,Ж,Нису рађале,394
