Year,UNIT_MEASURE,Teritory,Agricultural households,Value
2013,Број,Република Српска,Укупно,408825
2013,Број,Град Бања Лука,Укупно,65010
2013,Број,Берковићи,Укупно,636
2013,Број,Град Бијељина,Укупно,34309
2013,Број,Билећа,Укупно,3307
2013,Број,Братунац,Укупно,5945
2013,Број,Брод,Укупно,5599
2013,Број,Вишеград,Укупно,3966
2013,Број,Власеница,Укупно,3712
2013,Број,Вукосавље,Укупно,1537
2013,Број,Гацко,Укупно,2766
2013,Број,Град Градишка,Укупно,16939
2013,Број,Град Дервента,Укупно,9345
2013,Број,Град Добој,Укупно,25447
2013,Број,Доњи Жабар,Укупно,1191
2013,Број,Град Зворник,Укупно,17690
2013,Број,Источна Илиџа,Укупно,4981
2013,Број,Источни Дрвар,Укупно,38
2013,Број,Источни Мостар,Укупно,83
2013,Број,Источни Стари Град,Укупно,438
2013,Број,Источно Ново Сарајево,Укупно,3819
2013,Број,Језеро,Укупно,365
2013,Број,Калиновик,Укупно,783
2013,Број,Кнежево,Укупно,3168
2013,Број,Козарска Дубица,Укупно,7492
2013,Број,Костајница,Укупно,1896
2013,Број,Котор Варош,Укупно,5863
2013,Број,Крупа на Уни,Укупно,543
2013,Број,Купрес,Укупно,128
2013,Број,Лакташи,Укупно,11293
2013,Број,Лопаре,Укупно,5081
2013,Број,Љубиње,Укупно,1077
2013,Број,Милићи,Укупно,3579
2013,Број,Модрича,Укупно,8553
2013,Број,Мркоњић Град,Укупно,6104
2013,Број,Невесиње,Укупно,3985
2013,Број,Нови Град,Укупно,8792
2013,Број,Ново Горажде,Укупно,1078
2013,Број,Осмаци,Укупно,1675
2013,Број,Оштра Лука,Укупно,971
2013,Број,Пале,Укупно,7158
2013,Број,Пелагићево,Укупно,1787
2013,Број,Петровац,Укупно,130
2013,Број,Петрово,Укупно,2532
2013,Број,Град Приједор,Укупно,27961
2013,Број,Прњавор,Укупно,12166
2013,Број,Рибник,Укупно,2252
2013,Број,Рогатица,Укупно,3871
2013,Број,Рудо,Укупно,2847
2013,Број,Соколац,Укупно,4276
2013,Број,Србац,Укупно,6157
2013,Број,Сребреница,Укупно,3792
2013,Број,Теслић,Укупно,13255
2013,Број,Град Требиње,Укупно,9394
2013,Број,Трново,Укупно,800
2013,Број,Угљевик,Укупно,4867
2013,Број,Фоча,Укупно,6544
2013,Број,Хан Пијесак,Укупно,1390
2013,Број,Чајниче,Укупно,1662
2013,Број,Челинац,Укупно,5009
2013,Број,Шамац,Укупно,5609
2013,Број,Шековићи,Укупно,2517
2013,Број,Шипово,Укупно,3665
2013,Број,Република Српска,agricultural_households,140960
2013,Број,Град Бања Лука,agricultural_households,8832
2013,Број,Берковићи,agricultural_households,450
2013,Број,Град Бијељина,agricultural_households,10563
2013,Број,Билећа,agricultural_households,1659
2013,Број,Братунац,agricultural_households,3166
2013,Број,Брод,agricultural_households,1512
2013,Број,Вишеград,agricultural_households,963
2013,Број,Власеница,agricultural_households,1381
2013,Број,Вукосавље,agricultural_households,532
2013,Број,Гацко,agricultural_households,986
2013,Број,Град Градишка,agricultural_households,6402
2013,Број,Град Дервента,agricultural_households,3038
2013,Број,Град Добој,agricultural_households,9221
2013,Број,Доњи Жабар,agricultural_households,617
2013,Број,Град Зворник,agricultural_households,7120
2013,Број,Источна Илиџа,agricultural_households,1045
2013,Број,Источни Дрвар,agricultural_households,11
2013,Број,Источни Мостар,agricultural_households,60
2013,Број,Источни Стари Град,agricultural_households,262
2013,Број,Источно Ново Сарајево,agricultural_households,505
2013,Број,Језеро,agricultural_households,99
2013,Број,Калиновик,agricultural_households,365
2013,Број,Кнежево,agricultural_households,1920
2013,Број,Козарска Дубица,agricultural_households,2974
2013,Број,Костајница,agricultural_households,746
2013,Број,Котор Варош,agricultural_households,1826
2013,Број,Крупа на Уни,agricultural_households,453
2013,Број,Купрес,agricultural_households,85
2013,Број,Лакташи,agricultural_households,3882
2013,Број,Лопаре,agricultural_households,2416
2013,Број,Љубиње,agricultural_households,598
2013,Број,Милићи,agricultural_households,1395
2013,Број,Модрича,agricultural_households,2793
2013,Број,Мркоњић Град,agricultural_households,2540
2013,Број,Невесиње,agricultural_households,2062
2013,Број,Нови Град,agricultural_households,3770
2013,Број,Ново Горажде,agricultural_households,431
2013,Број,Осмаци,agricultural_households,1002
2013,Број,Оштра Лука,agricultural_households,572
2013,Број,Пале,agricultural_households,1527
2013,Број,Пелагићево,agricultural_households,869
2013,Број,Петровац,agricultural_households,54
2013,Број,Петрово,agricultural_households,1388
2013,Број,Град Приједор,agricultural_households,8920
2013,Број,Прњавор,agricultural_households,6121
2013,Број,Рибник,agricultural_households,1579
2013,Број,Рогатица,agricultural_households,1481
2013,Број,Рудо,agricultural_households,1466
2013,Број,Соколац,agricultural_households,1586
2013,Број,Србац,agricultural_households,2852
2013,Број,Сребреница,agricultural_households,1905
2013,Број,Теслић,agricultural_households,7062
2013,Број,Град Требиње,agricultural_households,2485
2013,Број,Трново,agricultural_households,341
2013,Број,Угљевик,agricultural_households,2419
2013,Број,Фоча,agricultural_households,1965
2013,Број,Хан Пијесак,agricultural_households,448
2013,Број,Чајниче,agricultural_households,884
2013,Број,Челинац,agricultural_households,2592
2013,Број,Шамац,agricultural_households,2223
2013,Број,Шековићи,agricultural_households,890
2013,Број,Шипово,agricultural_households,1649
2013,Број,Република Српска,agricultural_selling,25335
2013,Број,Град Бања Лука,agricultural_selling,593
2013,Број,Берковићи,agricultural_selling,234
2013,Број,Град Бијељина,agricultural_selling,4977
2013,Број,Билећа,agricultural_selling,213
2013,Број,Братунац,agricultural_selling,704
2013,Број,Брод,agricultural_selling,134
2013,Број,Вишеград,agricultural_selling,97
2013,Број,Власеница,agricultural_selling,241
2013,Број,Вукосавље,agricultural_selling,74
2013,Број,Гацко,agricultural_selling,437
2013,Број,Град Градишка,agricultural_selling,2285
2013,Број,Град Дервента,agricultural_selling,455
2013,Број,Град Добој,agricultural_selling,515
2013,Број,Доњи Жабар,agricultural_selling,219
2013,Број,Град Зворник,agricultural_selling,770
2013,Број,Источна Илиџа,agricultural_selling,51
2013,Број,Источни Дрвар,agricultural_selling,1
2013,Број,Источни Мостар,agricultural_selling,9
2013,Број,Источни Стари Град,agricultural_selling,35
2013,Број,Источно Ново Сарајево,agricultural_selling,43
2013,Број,Језеро,agricultural_selling,9
2013,Број,Калиновик,agricultural_selling,93
2013,Број,Кнежево,agricultural_selling,305
2013,Број,Козарска Дубица,agricultural_selling,860
2013,Број,Костајница,agricultural_selling,193
2013,Број,Котор Варош,agricultural_selling,139
2013,Број,Крупа на Уни,agricultural_selling,288
2013,Број,Купрес,agricultural_selling,72
2013,Број,Лакташи,agricultural_selling,662
2013,Број,Лопаре,agricultural_selling,668
2013,Број,Љубиње,agricultural_selling,269
2013,Број,Милићи,agricultural_selling,185
2013,Број,Модрича,agricultural_selling,420
2013,Број,Мркоњић Град,agricultural_selling,257
2013,Број,Невесиње,agricultural_selling,702
2013,Број,Нови Град,agricultural_selling,499
2013,Број,Ново Горажде,agricultural_selling,87
2013,Број,Осмаци,agricultural_selling,159
2013,Број,Оштра Лука,agricultural_selling,57
2013,Број,Пале,agricultural_selling,99
2013,Број,Пелагићево,agricultural_selling,256
2013,Број,Петровац,agricultural_selling,12
2013,Број,Петрово,agricultural_selling,61
2013,Број,Град Приједор,agricultural_selling,798
2013,Број,Прњавор,agricultural_selling,986
2013,Број,Рибник,agricultural_selling,93
2013,Број,Рогатица,agricultural_selling,265
2013,Број,Рудо,agricultural_selling,244
2013,Број,Соколац,agricultural_selling,292
2013,Број,Србац,agricultural_selling,594
2013,Број,Сребреница,agricultural_selling,469
2013,Број,Теслић,agricultural_selling,576
2013,Број,Град Требиње,agricultural_selling,327
2013,Број,Трново,agricultural_selling,17
2013,Број,Угљевик,agricultural_selling,632
2013,Број,Фоча,agricultural_selling,262
2013,Број,Хан Пијесак,agricultural_selling,75
2013,Број,Чајниче,agricultural_selling,131
2013,Број,Челинац,agricultural_selling,191
2013,Број,Шамац,agricultural_selling,616
2013,Број,Шековићи,agricultural_selling,81
2013,Број,Шипово,agricultural_selling,247
