Year,UNIT_MEASURE,Административно подручје,Пол,Literacy,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,Укупно,1062861.0
2013,Број,REPUBLIKA SRPSKA,M,Укупно,516703.0
2013,Број,REPUBLIKA SRPSKA,Ж,Укупно,546158.0
2013,Број,BANJA LUKA,Оба пола,Укупно,162106.0
2013,Број,BANJA LUKA,M,Укупно,77356.0
2013,Број,BANJA LUKA,Ж,Укупно,84750.0
2013,Број,BERKOVICI,Оба пола,Укупно,1824.0
2013,Број,BERKOVICI,M,Укупно,916.0
2013,Број,BERKOVICI,Ж,Укупно,908.0
2013,Број,BIJELJINA,Оба пола,Укупно,94007.0
2013,Број,BIJELJINA,M,Укупно,45652.0
2013,Број,BIJELJINA,Ж,Укупно,48355.0
2013,Број,BILECA,Оба пола,Укупно,9644.0
2013,Број,BILECA,M,Укупно,4830.0
2013,Број,BILECA,Ж,Укупно,4814.0
2013,Број,BRATUNAC,Оба пола,Укупно,16773.0
2013,Број,BRATUNAC,M,Укупно,8235.0
2013,Број,BRATUNAC,Ж,Укупно,8538.0
2013,Број,BROD,Оба пола,Укупно,14277.0
2013,Број,BROD,M,Укупно,6911.0
2013,Број,BROD,Ж,Укупно,7366.0
2013,Број,VISEGRAD,Оба пола,Укупно,9381.0
2013,Број,VISEGRAD,M,Укупно,4478.0
2013,Број,VISEGRAD,Ж,Укупно,4903.0
2013,Број,VLASENICA,Оба пола,Укупно,9649.0
2013,Број,VLASENICA,M,Укупно,4669.0
2013,Број,VLASENICA,Ж,Укупно,4980.0
2013,Број,VUKOSAVLJE,Оба пола,Укупно,3950.0
2013,Број,VUKOSAVLJE,M,Укупно,1975.0
2013,Број,VUKOSAVLJE,Ж,Укупно,1975.0
2013,Број,GACKO,Оба пола,Укупно,7864.0
2013,Број,GACKO,M,Укупно,3987.0
2013,Број,GACKO,Ж,Укупно,3877.0
2013,Број,GRADISKA,Оба пола,Укупно,44972.0
2013,Број,GRADISKA,M,Укупно,21810.0
2013,Број,GRADISKA,Ж,Укупно,23162.0
2013,Број,DERVENTA,Оба пола,Укупно,23629.0
2013,Број,DERVENTA,M,Укупно,11467.0
2013,Број,DERVENTA,Ж,Укупно,12162.0
2013,Број,DOBOJ,Оба пола,Укупно,62056.0
2013,Број,DOBOJ,M,Укупно,29964.0
2013,Број,DOBOJ,Ж,Укупно,32092.0
2013,Број,DONJI ZABAR,Оба пола,Укупно,3352.0
2013,Број,DONJI ZABAR,M,Укупно,1685.0
2013,Број,DONJI ZABAR,Ж,Укупно,1667.0
2013,Број,ZVORNIK,Оба пола,Укупно,48535.0
2013,Број,ZVORNIK,M,Укупно,23809.0
2013,Број,ZVORNIK,Ж,Укупно,24726.0
2013,Број,ISTOCNA ILIDZA,Оба пола,Укупно,13131.0
2013,Број,ISTOCNA ILIDZA,M,Укупно,6250.0
2013,Број,ISTOCNA ILIDZA,Ж,Укупно,6881.0
2013,Број,ISTOCNI DRVAR,Оба пола,Укупно,65.0
2013,Број,ISTOCNI DRVAR,M,Укупно,43.0
2013,Број,ISTOCNI DRVAR,Ж,Укупно,22.0
2013,Број,ISTOCNI MOSTAR,Оба пола,Укупно,226.0
