Year,UNIT_MEASURE,Type_of_school,Пол,Value
2011,Број,_T,Оба пола,163284
2012,Број,_T,Оба пола,166662
2013,Број,_T,Оба пола,156350
2014,Број,_T,Оба пола,143881
2015,Број,_T,Оба пола,133228
2016,Број,_T,Оба пола,126824
2017,Број,_T,Оба пола,124148
2018,Број,_T,Оба пола,117475
2019,Број,_T,Оба пола,112796
2020,Број,_T,Оба пола,110404
2011,Број,gymnasium,Оба пола,41081
2012,Број,gymnasium,Оба пола,42225
2013,Број,gymnasium,Оба пола,40065
2014,Број,gymnasium,Оба пола,37132
2015,Број,gymnasium,Оба пола,33321
2016,Број,gymnasium,Оба пола,30615
2017,Број,gymnasium,Оба пола,29591
2018,Број,gymnasium,Оба пола,26731
2019,Број,gymnasium,Оба пола,24817
2020,Број,gymnasium,Оба пола,23867
2011,Број,technical_schools,Оба пола,83704
2012,Број,technical_schools,Оба пола,86539
2013,Број,technical_schools,Оба пола,82743
2014,Број,technical_schools,Оба пола,77388
2015,Број,technical_schools,Оба пола,72109
2016,Број,technical_schools,Оба пола,68743
2017,Број,technical_schools,Оба пола,67895
2018,Број,technical_schools,Оба пола,64706
2019,Број,technical_schools,Оба пола,62846
2020,Број,technical_schools,Оба пола,61811
2011,Број,art_schools,Оба пола,1514
2012,Број,art_schools,Оба пола,1520
2013,Број,art_schools,Оба пола,1445
2014,Број,art_schools,Оба пола,1291
2015,Број,art_schools,Оба пола,1216
2016,Број,art_schools,Оба пола,1203
2017,Број,art_schools,Оба пола,1154
2018,Број,art_schools,Оба пола,1166
2019,Број,art_schools,Оба пола,1139
2020,Број,art_schools,Оба пола,1151
2011,Број,religion_schools,Оба пола,2095
2012,Број,religion_schools,Оба пола,2266
2013,Број,religion_schools,Оба пола,2258
2014,Број,religion_schools,Оба пола,2222
2015,Број,religion_schools,Оба пола,2189
2016,Број,religion_schools,Оба пола,2227
2017,Број,religion_schools,Оба пола,2309
2018,Број,religion_schools,Оба пола,2245
2019,Број,religion_schools,Оба пола,2197
2020,Број,religion_schools,Оба пола,2196
2011,Број,vocational_schools,Оба пола,34479
2012,Број,vocational_schools,Оба пола,33672
2013,Број,vocational_schools,Оба пола,29414
2014,Број,vocational_schools,Оба пола,25463
2015,Број,vocational_schools,Оба пола,23995
2016,Број,vocational_schools,Оба пола,23642
2017,Број,vocational_schools,Оба пола,22819
2018,Број,vocational_schools,Оба пола,22280
2019,Број,vocational_schools,Оба пола,21481
2020,Број,vocational_schools,Оба пола,21054
2011,Број,high_schools_for_children_with_special_needs,Оба пола,411
2012,Број,high_schools_for_children_with_special_needs,Оба пола,440
2013,Број,high_schools_for_children_with_special_needs,Оба пола,425
2014,Број,high_schools_for_children_with_special_needs,Оба пола,385
2015,Број,high_schools_for_children_with_special_needs,Оба пола,398
2016,Број,high_schools_for_children_with_special_needs,Оба пола,394
2017,Број,high_schools_for_children_with_special_needs,Оба пола,380
2018,Број,high_schools_for_children_with_special_needs,Оба пола,347
2019,Број,high_schools_for_children_with_special_needs,Оба пола,316
2020,Број,high_schools_for_children_with_special_needs,Оба пола,325
2011,Број,_T,M,82745
2012,Број,_T,M,84420
2013,Број,_T,M,78882
2014,Број,_T,M,72095
2015,Број,_T,M,66708
2016,Број,_T,M,63232
2017,Број,_T,M,61934
2018,Број,_T,M,58821
2019,Број,_T,M,56328
2020,Број,_T,M,55068
2011,Број,gymnasium,M,15329
2012,Број,gymnasium,M,15779
2013,Број,gymnasium,M,14829
2014,Број,gymnasium,M,13802
2015,Број,gymnasium,M,12424
2016,Број,gymnasium,M,11379
2017,Број,gymnasium,M,10929
2018,Број,gymnasium,M,9694
2019,Број,gymnasium,M,8899
2020,Број,gymnasium,M,8451
2011,Број,technical_schools,M,41624
2012,Број,technical_schools,M,43010
2013,Број,technical_schools,M,41216
2014,Број,technical_schools,M,38340
2015,Број,technical_schools,M,35563
2016,Број,technical_schools,M,33308
2017,Број,technical_schools,M,32926
2018,Број,technical_schools,M,31248
