Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Пол,Value
2016,Број,masters_of_science,Оба пола,36
2016,Број,masters_of_science,Ж,20
2016,Број,masters_of_science,M,16
2016,Број,masters,Оба пола,261
2016,Број,masters,Ж,105
2016,Број,masters,M,156
2016,Број,specialists,Оба пола,87
2016,Број,specialists,Ж,31
2016,Број,specialists,M,56
2016,Број,doctors,Оба пола,64
2016,Број,doctors,Ж,34
2016,Број,doctors,M,30
2017,Број,masters_of_science,Оба пола,39
2017,Број,masters_of_science,Ж,17
2017,Број,masters_of_science,M,22
2017,Број,masters,Оба пола,332
2017,Број,masters,Ж,136
2017,Број,masters,M,196
2017,Број,specialists,Оба пола,95
2017,Број,specialists,Ж,35
2017,Број,specialists,M,60
2017,Број,doctors,Оба пола,42
2017,Број,doctors,Ж,26
2017,Број,doctors,M,16
2018,Број,masters_of_science,Оба пола,41
2018,Број,masters_of_science,Ж,21
2018,Број,masters_of_science,M,20
2018,Број,masters,Оба пола,378
2018,Број,masters,Ж,152
2018,Број,masters,M,226
2018,Број,specialists,Оба пола,111
2018,Број,specialists,Ж,35
2018,Број,specialists,M,76
2018,Број,doctors,Оба пола,43
2018,Број,doctors,Ж,28
2018,Број,doctors,M,15
2019,Број,masters_of_science,Оба пола,42
2019,Број,masters_of_science,Ж,22
2019,Број,masters_of_science,M,20
2019,Број,masters,Оба пола,383
2019,Број,masters,Ж,182
2019,Број,masters,M,201
2019,Број,specialists,Оба пола,109
2019,Број,specialists,Ж,48
2019,Број,specialists,M,61
2019,Број,doctors,Оба пола,54
2019,Број,doctors,Ж,37
2019,Број,doctors,M,17
2020,Број,masters_of_science,Оба пола,72
2020,Број,masters_of_science,Ж,43
2020,Број,masters_of_science,M,29
2020,Број,masters,Оба пола,420
2020,Број,masters,Ж,200
2020,Број,masters,M,220
2020,Број,specialists,Оба пола,101
2020,Број,specialists,Ж,32
2020,Број,specialists,M,69
2020,Број,doctors,Оба пола,47
2020,Број,doctors,Ж,27
2020,Број,doctors,M,20
