Year,UNIT_MEASURE,Врста образовања,Пол,Value
2017,Број,TOTAL,Оба пола,54
2017,Број,Образовање,Оба пола,4
2017,Број,Хуманистичке науке и умјетност,Оба пола,6
2017,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,4
2017,Број,"Пословање, администрација и право",Оба пола,1
2017,Број,"Природне науке, математика и статистика",Оба пола,2
2017,Број,Информационе и комуникационе технологије,Оба пола,14
2017,Број,"Инжeњерство, производња и грађевинарство",Оба пола,16
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,0
2017,Број,Zdravstvo i socijalna zaštita,Оба пола,7
2017,Број,Услуге,Оба пола,0
2017,Број,TOTAL,M,37
2017,Број,Образовање,M,2
2017,Број,Хуманистичке науке и умјетност,M,3
2017,Број,"Društvene nauke, novinarstvo i informisanje",M,3
2017,Број,"Пословање, администрација и право",M,1
2017,Број,"Природне науке, математика и статистика",M,2
2017,Број,Информационе и комуникационе технологије,M,10
2017,Број,"Инжeњерство, производња и грађевинарство",M,13
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2017,Број,Zdravstvo i socijalna zaštita,M,3
2017,Број,Услуге,M,0
2017,Број,TOTAL,Ж,17
2017,Број,Образовање,Ж,2
2017,Број,Хуманистичке науке и умјетност,Ж,3
2017,Број,"Društvene nauke, novinarstvo i informisanje",Ж,1
2017,Број,"Пословање, администрација и право",Ж,0
2017,Број,"Природне науке, математика и статистика",Ж,0
2017,Број,Информационе и комуникационе технологије,Ж,4
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,3
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2017,Број,Zdravstvo i socijalna zaštita,Ж,4
2017,Број,Услуге,Ж,0
2018,Број,TOTAL,Оба пола,43
2018,Број,Образовање,Оба пола,1
2018,Број,Хуманистичке науке и умјетност,Оба пола,3
2018,Број,"Društvene nauke, novinarstvo i informisanje",Оба пола,3
2018,Број,"Пословање, администрација и право",Оба пола,0
2018,Број,"Природне науке, математика и статистика",Оба пола,4
2018,Број,Информационе и комуникационе технологије,Оба пола,14
2018,Број,"Инжeњерство, производња и грађевинарство",Оба пола,12
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,1
2018,Број,Zdravstvo i socijalna zaštita,Оба пола,5
2018,Број,Услуге,Оба пола,0
2018,Број,TOTAL,M,28
2018,Број,Образовање,M,1
