Year,UNIT_MEASURE,SEX,Value
2003,NUMBER,_T,37
2004,NUMBER,_T,35
2005,NUMBER,_T,40
2006,NUMBER,_T,27
2007,NUMBER,_T,39
2008,NUMBER,_T,34
2009,NUMBER,_T,32
2010,NUMBER,_T,41
2011,NUMBER,_T,29
2012,NUMBER,_T,38
2013,NUMBER,_T,37
2014,NUMBER,_T,22
2015,NUMBER,_T,17
2016,NUMBER,_T,15
2017,NUMBER,_T,17
2018,NUMBER,_T,18
2019,NUMBER,_T,13
2020,NUMBER,_T,15
2021,NUMBER,_T,18
2022,NUMBER,_T,24
2023,NUMBER,_T,20
2003,NUMBER,M,17
2004,NUMBER,M,19
2005,NUMBER,M,20
2006,NUMBER,M,20
2007,NUMBER,M,23
2008,NUMBER,M,20
2009,NUMBER,M,21
2010,NUMBER,M,23
2011,NUMBER,M,12
2012,NUMBER,M,24
2013,NUMBER,M,17
2014,NUMBER,M,13
2015,NUMBER,M,8
2016,NUMBER,M,5
2017,NUMBER,M,10
2018,NUMBER,M,11
2019,NUMBER,M,4
2020,NUMBER,M,11
2021,NUMBER,M,9
2022,NUMBER,M,13
2023,NUMBER,M,11
2003,NUMBER,F,20
2004,NUMBER,F,16
2005,NUMBER,F,20
2006,NUMBER,F,7
2007,NUMBER,F,16
2008,NUMBER,F,14
2009,NUMBER,F,11
2010,NUMBER,F,18
2011,NUMBER,F,17
2012,NUMBER,F,14
2013,NUMBER,F,20
2014,NUMBER,F,9
2015,NUMBER,F,9
2016,NUMBER,F,10
2017,NUMBER,F,7
2018,NUMBER,F,7
2019,NUMBER,F,9
2020,NUMBER,F,4
2021,NUMBER,F,9
2022,NUMBER,F,11
2023,NUMBER,F,9
