Year,UNIT_MEASURE,Age_group,SEX,Value
2013,NUMBER,_T,_T,1171179
2013,NUMBER,0-4,_T,53563
2013,NUMBER,5-9,_T,54042
2013,NUMBER,10-14,_T,58024
2013,NUMBER,15-19,_T,69969
2013,NUMBER,20-24,_T,66641
2013,NUMBER,25-29,_T,77070
2013,NUMBER,30-34,_T,80560
2013,NUMBER,35-39,_T,80521
2013,NUMBER,40-44,_T,75966
2013,NUMBER,45-49,_T,83519
2013,NUMBER,50-54,_T,92008
2013,NUMBER,55-59,_T,94412
2013,NUMBER,60-64,_T,85773
2013,NUMBER,65-69,_T,59309
2013,NUMBER,70-74,_T,56085
2013,NUMBER,75-79,_T,47377
2013,NUMBER,80-84,_T,25370
2013,NUMBER,85-89,_T,8869
2013,NUMBER,90 +,_T,2101
2013,NUMBER,_T,M,572298
2013,NUMBER,0-4,M,27499
2013,NUMBER,5-9,M,27681
2013,NUMBER,10-14,M,29826
2013,NUMBER,15-19,M,36081
2013,NUMBER,20-24,M,34593
2013,NUMBER,25-29,M,39298
2013,NUMBER,30-34,M,40877
2013,NUMBER,35-39,M,41253
2013,NUMBER,40-44,M,38815
2013,NUMBER,45-49,M,41755
2013,NUMBER,50-54,M,45161
2013,NUMBER,55-59,M,45750
2013,NUMBER,60-64,M,40723
2013,NUMBER,65-69,M,26840
2013,NUMBER,70-74,M,24039
2013,NUMBER,75-79,M,18940
2013,NUMBER,80-84,M,9573
2013,NUMBER,85-89,M,2977
2013,NUMBER,90 +,M,617
2013,NUMBER,_T,F,598881
2013,NUMBER,0-4,F,26064
2013,NUMBER,5-9,F,26361
2013,NUMBER,10-14,F,28198
2013,NUMBER,15-19,F,33888
2013,NUMBER,20-24,F,32048
2013,NUMBER,25-29,F,37772
2013,NUMBER,30-34,F,39683
2013,NUMBER,35-39,F,39268
2013,NUMBER,40-44,F,37151
2013,NUMBER,45-49,F,41764
2013,NUMBER,50-54,F,46847
2013,NUMBER,55-59,F,48662
2013,NUMBER,60-64,F,45050
2013,NUMBER,65-69,F,32469
2013,NUMBER,70-74,F,32046
2013,NUMBER,75-79,F,28437
2013,NUMBER,80-84,F,15797
2013,NUMBER,85-89,F,5892
2013,NUMBER,90 +,F,1484
2014,NUMBER,_T,_T,1167082
2014,NUMBER,0-4,_T,51846
2014,NUMBER,5-9,_T,54417
2014,NUMBER,10-14,_T,56601
2014,NUMBER,15-19,_T,69432
2014,NUMBER,20-24,_T,65038
2014,NUMBER,25-29,_T,75296
2014,NUMBER,30-34,_T,80722
2014,NUMBER,35-39,_T,80852
2014,NUMBER,40-44,_T,76216
2014,NUMBER,45-49,_T,81515
2014,NUMBER,50-54,_T,89781
2014,NUMBER,55-59,_T,93123
2014,NUMBER,60-64,_T,88482
2014,NUMBER,65-69,_T,64182
2014,NUMBER,70-74,_T,52482
2014,NUMBER,75-79,_T,48465
2014,NUMBER,80-84,_T,26497
2014,NUMBER,85-89,_T,9835
2014,NUMBER,90 +,_T,2300
2014,NUMBER,_T,M,570176
2014,NUMBER,0-4,M,26590
2014,NUMBER,5-9,M,27911
2014,NUMBER,10-14,M,29125
2014,NUMBER,15-19,M,35664
2014,NUMBER,20-24,M,33895
2014,NUMBER,25-29,M,38395
2014,NUMBER,30-34,M,40994
2014,NUMBER,35-39,M,41341
2014,NUMBER,40-44,M,39018
2014,NUMBER,45-49,M,40931
2014,NUMBER,50-54,M,44141
2014,NUMBER,55-59,M,44986
2014,NUMBER,60-64,M,42062
2014,NUMBER,65-69,M,29180
2014,NUMBER,70-74,M,22426
2014,NUMBER,75-79,M,19519
2014,NUMBER,80-84,M,9894
2014,NUMBER,85-89,M,3430
2014,NUMBER,90 +,M,674
2014,NUMBER,_T,F,596906
2014,NUMBER,0-4,F,25256
2014,NUMBER,5-9,F,26506
2014,NUMBER,10-14,F,27476
2014,NUMBER,15-19,F,33768
2014,NUMBER,20-24,F,31143
2014,NUMBER,25-29,F,36901
2014,NUMBER,30-34,F,39728
2014,NUMBER,35-39,F,39511
2014,NUMBER,40-44,F,37198
2014,NUMBER,45-49,F,40584
2014,NUMBER,50-54,F,45640
2014,NUMBER,55-59,F,48137
2014,NUMBER,60-64,F,46420
2014,NUMBER,65-69,F,35002
