Year,UNIT_MEASURE,Teritory,SEX,Live births,Value
2013,NUMBER,REPUBLIKA SRPSKA,F,_T,518243
2013,NUMBER,BANJA LUKA,F,_T,80633
2013,NUMBER,BERKOVICI,F,_T,839
2013,NUMBER,BIJELJINA,F,_T,45729
2013,NUMBER,BILECA,F,_T,4500
2013,NUMBER,BRATUNAC,F,_T,8127
2013,NUMBER,BROD,F,_T,6996
2013,NUMBER,VISEGRAD,F,_T,4691
2013,NUMBER,VLASENICA,F,_T,4738
2013,NUMBER,VUKOSAVLJE,F,_T,1849
2013,NUMBER,GACKO,F,_T,3646
2013,NUMBER,GRADISKA,F,_T,22005
2013,NUMBER,DERVENTA,F,_T,11515
2013,NUMBER,DOBOJ,F,_T,30598
2013,NUMBER,DONJI ZABAR,F,_T,1561
2013,NUMBER,ZVORNIK,F,_T,23313
2013,NUMBER,ISTOCNA ILIDZA,F,_T,6538
2013,NUMBER,ISTOCNI DRVAR,F,_T,22
2013,NUMBER,ISTOCNI MOSTAR,F,_T,93
2013,NUMBER,ISTOCNI STARI GRAD,F,_T,516
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,_T,4659
2013,NUMBER,JEZERO,F,_T,437
2013,NUMBER,KALINOVIK,F,_T,898
2013,NUMBER,KNEZEVO,F,_T,4079
2013,NUMBER,KOZARSKA DUBICA,F,_T,9386
2013,NUMBER,KOSTAJNICA,F,_T,2538
2013,NUMBER,KOTOR VAROS,F,_T,7914
2013,NUMBER,KRUPA NA UNI,F,_T,628
2013,NUMBER,KUPRES,F,_T,127
2013,NUMBER,LAKTASI,F,_T,14682
2013,NUMBER,LOPARE,F,_T,6471
2013,NUMBER,LJUBINJE,F,_T,1475
2013,NUMBER,MILICI,F,_T,4489
2013,NUMBER,MODRICA,F,_T,10856
2013,NUMBER,MRKONJIC GRAD,F,_T,7153
2013,NUMBER,NEVESINJE,F,_T,5385
2013,NUMBER,NOVI GRAD,F,_T,11191
2013,NUMBER,NOVO GORAZDE,F,_T,1263
2013,NUMBER,OSMACI,F,_T,2367
2013,NUMBER,OSTRA LUKA,F,_T,1131
2013,NUMBER,PALE,F,_T,9317
2013,NUMBER,PELAGICEVO,F,_T,1978
2013,NUMBER,PETROVAC,F,_T,160
2013,NUMBER,PETROVO,F,_T,2902
2013,NUMBER,PRIJEDOR,F,_T,36570
2013,NUMBER,PRNJAVOR,F,_T,15254
