Year,UNIT_MEASURE,ADMIN_AREA,agricultural_households_number,Value
2013,NUMBER,republika_srpska,agricultural_households,140960
2013,NUMBER,grad_banja_luka,agricultural_households,8832
2013,NUMBER,berkovici,agricultural_households,450
2013,NUMBER,grad_bijeljina,agricultural_households,10563
2013,NUMBER,bileca,agricultural_households,1659
2013,NUMBER,bratunac,agricultural_households,3166
2013,NUMBER,brod,agricultural_households,1512
2013,NUMBER,visegrad,agricultural_households,963
2013,NUMBER,vlasenica,agricultural_households,1381
2013,NUMBER,vukosavlje,agricultural_households,532
2013,NUMBER,gacko,agricultural_households,986
2013,NUMBER,grad_gradiska,agricultural_households,6402
2013,NUMBER,grad_derventa,agricultural_households,3038
2013,NUMBER,grad_doboj,agricultural_households,9221
2013,NUMBER,donji_zabar,agricultural_households,617
2013,NUMBER,grad_zvornik,agricultural_households,7120
2013,NUMBER,istocna_ilidza,agricultural_households,1045
2013,NUMBER,istocni_drvar,agricultural_households,11
2013,NUMBER,istocni_mostar,agricultural_households,60
2013,NUMBER,istocni_stari_grad,agricultural_households,262
2013,NUMBER,istocno_novo_sarajevo,agricultural_households,505
2013,NUMBER,jezero,agricultural_households,99
2013,NUMBER,kalinovik,agricultural_households,365
2013,NUMBER,knezevo,agricultural_households,1920
2013,NUMBER,kozarska_dubica,agricultural_households,2974
2013,NUMBER,kostajnica,agricultural_households,746
2013,NUMBER,kotor_varos,agricultural_households,1826
2013,NUMBER,krupa_na_uni,agricultural_households,453
2013,NUMBER,kupres,agricultural_households,85
2013,NUMBER,laktasi,agricultural_households,3882
2013,NUMBER,lopare,agricultural_households,2416
2013,NUMBER,ljubinje,agricultural_households,598
2013,NUMBER,milici,agricultural_households,1395
2013,NUMBER,modrica,agricultural_households,2793
2013,NUMBER,mrkonjic_grad,agricultural_households,2540
2013,NUMBER,nevesinje,agricultural_households,2062
2013,NUMBER,novi_grad,agricultural_households,3770
2013,NUMBER,novo_gorazde,agricultural_households,431
2013,NUMBER,osmaci,agricultural_households,1002
2013,NUMBER,ostra_luka,agricultural_households,572
2013,NUMBER,pale,agricultural_households,1527
2013,NUMBER,pelagicevo,agricultural_households,869
2013,NUMBER,petrovac,agricultural_households,54
2013,NUMBER,petrovo,agricultural_households,1388
2013,NUMBER,grad_prijedor,agricultural_households,8920
2013,NUMBER,prnjavor,agricultural_households,6121
2013,NUMBER,ribnik,agricultural_households,1579
2013,NUMBER,rogatica,agricultural_households,1481
2013,NUMBER,rudo,agricultural_households,1466
2013,NUMBER,sokolac,agricultural_households,1586
2013,NUMBER,srbac,agricultural_households,2852
2013,NUMBER,srebrenica,agricultural_households,1905
2013,NUMBER,teslic,agricultural_households,7062
2013,NUMBER,grad_trebinje,agricultural_households,2485
2013,NUMBER,trnovo,agricultural_households,341
2013,NUMBER,ugljevik,agricultural_households,2419
2013,NUMBER,foca,agricultural_households,1965
2013,NUMBER,han_pijesak,agricultural_households,448
2013,NUMBER,cajnice,agricultural_households,884
2013,NUMBER,celinac,agricultural_households,2592
2013,NUMBER,samac,agricultural_households,2223
2013,NUMBER,sekovici,agricultural_households,890
2013,NUMBER,sipovo,agricultural_households,1649
2013,NUMBER,republika_srpska,agricultural_selling,25335
2013,NUMBER,grad_banja_luka,agricultural_selling,593
2013,NUMBER,berkovici,agricultural_selling,234
2013,NUMBER,grad_bijeljina,agricultural_selling,4977
2013,NUMBER,bileca,agricultural_selling,213
2013,NUMBER,bratunac,agricultural_selling,704
2013,NUMBER,brod,agricultural_selling,134
2013,NUMBER,visegrad,agricultural_selling,97
2013,NUMBER,vlasenica,agricultural_selling,241
