Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,NUMBER,total,114991
2017,NUMBER,total,113231
2018,NUMBER,total,113895
2019,NUMBER,total,111620
2020,NUMBER,total,107536
2016,NUMBER,underage_users,23870
2017,NUMBER,underage_users,20700
2018,NUMBER,underage_users,18358
2019,NUMBER,underage_users,19180
2020,NUMBER,underage_users,17486
2016,NUMBER,adult_users,91121
2017,NUMBER,adult_users,92531
2018,NUMBER,adult_users,95537
2019,NUMBER,adult_users,92440
2020,NUMBER,adult_users,90050
2021,NUMBER,total,87734
2021,NUMBER,underage_users,13754
2021,NUMBER,adult_users,73980
2022,NUMBER,total,94110
2022,NUMBER,underage_users,14036
2022,NUMBER,adult_users,80074
2023,NUMBER,total,84551
2023,NUMBER,underage_users,11632
2023,NUMBER,adult_users,72919
2024,NUMBER,total,76970
2024,NUMBER,underage_users,11266
2024,NUMBER,adult_users,65704
