Year,UNIT_MEASURE,scientific_field,type_of_education,SEX,Value
2017,NUMBER,total,enrolled_in_master_of_science_studies,_T,2140
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,_T,67
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,_T,347
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,_T,99
2017,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,_T,35
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,_T,206
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,_T,473
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,_T,356
2017,NUMBER,education,enrolled_in_master_of_science_studies,_T,236
2017,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,_T,319
2017,NUMBER,services,enrolled_in_master_of_science_studies,_T,2
2017,NUMBER,total,enrolled_in_master_of_science_studies,M,917
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,M,26
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,M,208
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,M,80
2017,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,M,8
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,M,114
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,M,176
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,M,124
2017,NUMBER,education,enrolled_in_master_of_science_studies,M,39
2017,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,M,142
2017,NUMBER,services,enrolled_in_master_of_science_studies,M,0
2017,NUMBER,total,enrolled_in_master_of_science_studies,F,1223
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,F,41
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,F,139
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,F,19
2017,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,F,27
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,F,92
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,F,297
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,F,232
2017,NUMBER,education,enrolled_in_master_of_science_studies,F,197
2017,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,F,177
2017,NUMBER,services,enrolled_in_master_of_science_studies,F,2
2017,NUMBER,total,enrolled_in_master_studies,_T,31
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,_T,1
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,_T,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,_T,22
2017,NUMBER,health_and_social_protection,enrolled_in_master_studies,_T,0
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,_T,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,_T,0
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,_T,2
2017,NUMBER,education,enrolled_in_master_studies,_T,1
2017,NUMBER,arts_and_humanities,enrolled_in_master_studies,_T,5
2017,NUMBER,services,enrolled_in_master_studies,_T,0
2017,NUMBER,total,enrolled_in_master_studies,M,21
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,M,0
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,M,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,M,14
2017,NUMBER,health_and_social_protection,enrolled_in_master_studies,M,0
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,M,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,M,0
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,M,2
2017,NUMBER,education,enrolled_in_master_studies,M,0
2017,NUMBER,arts_and_humanities,enrolled_in_master_studies,M,5
2017,NUMBER,services,enrolled_in_master_studies,M,0
2017,NUMBER,total,enrolled_in_master_studies,F,10
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,F,1
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,F,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,F,8
2017,NUMBER,health_and_social_protection,enrolled_in_master_studies,F,0
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,F,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,F,0
2017,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,F,0
2017,NUMBER,education,enrolled_in_master_studies,F,1
2017,NUMBER,arts_and_humanities,enrolled_in_master_studies,F,0
2017,NUMBER,services,enrolled_in_master_studies,F,0
2017,NUMBER,total,enrolled_in_specialist_studies,_T,73
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,_T,0
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_specialist_studies,_T,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_specialist_studies,_T,0
2017,NUMBER,health_and_social_protection,enrolled_in_specialist_studies,_T,71
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,_T,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,_T,1
2017,NUMBER,"business,_administration_and_law",enrolled_in_specialist_studies,_T,1
2017,NUMBER,education,enrolled_in_specialist_studies,_T,0
2017,NUMBER,arts_and_humanities,enrolled_in_specialist_studies,_T,0
2017,NUMBER,services,enrolled_in_specialist_studies,_T,0
2017,NUMBER,total,enrolled_in_specialist_studies,M,34
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,0
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_specialist_studies,M,0
2017,NUMBER,health_and_social_protection,enrolled_in_specialist_studies,M,33
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,1
2017,NUMBER,"business,_administration_and_law",enrolled_in_specialist_studies,M,0
2017,NUMBER,education,enrolled_in_specialist_studies,M,0
2017,NUMBER,arts_and_humanities,enrolled_in_specialist_studies,M,0
2017,NUMBER,services,enrolled_in_specialist_studies,M,0
2017,NUMBER,total,enrolled_in_specialist_studies,F,39
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,F,0
2017,NUMBER,"engineering,_production_and_construction",enrolled_in_specialist_studies,F,0
2017,NUMBER,information_and_communication_technologies,enrolled_in_specialist_studies,F,0
2017,NUMBER,health_and_social_protection,enrolled_in_specialist_studies,F,38
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,F,0
2017,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,F,0
2017,NUMBER,"business,_administration_and_law",enrolled_in_specialist_studies,F,1
2017,NUMBER,education,enrolled_in_specialist_studies,F,0
2017,NUMBER,arts_and_humanities,enrolled_in_specialist_studies,F,0
2017,NUMBER,services,enrolled_in_specialist_studies,F,0
2018,NUMBER,total,enrolled_in_master_of_science_studies,_T,14
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,_T,1
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,_T,1
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,education,enrolled_in_master_of_science_studies,_T,9
2018,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,_T,3
2018,NUMBER,services,enrolled_in_master_of_science_studies,_T,0
2018,NUMBER,total,enrolled_in_master_of_science_studies,M,6
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,M,0
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,M,0
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,M,0
2018,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,M,0
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,M,0
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,M,1
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,M,0
2018,NUMBER,education,enrolled_in_master_of_science_studies,M,2
2018,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,M,3
2018,NUMBER,services,enrolled_in_master_of_science_studies,M,0
2018,NUMBER,total,enrolled_in_master_of_science_studies,F,8
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_of_science_studies,F,0
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_of_science_studies,F,0
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_of_science_studies,F,0
2018,NUMBER,health_and_social_protection,enrolled_in_master_of_science_studies,F,0
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_of_science_studies,F,1
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_of_science_studies,F,0
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_of_science_studies,F,0
2018,NUMBER,education,enrolled_in_master_of_science_studies,F,7
2018,NUMBER,arts_and_humanities,enrolled_in_master_of_science_studies,F,0
2018,NUMBER,services,enrolled_in_master_of_science_studies,F,0
2018,NUMBER,total,enrolled_in_master_studies,_T,2144
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,_T,76
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,_T,362
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,_T,120
2018,NUMBER,health_and_social_protection,enrolled_in_master_studies,_T,42
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,_T,189
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,_T,503
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,_T,240
2018,NUMBER,education,enrolled_in_master_studies,_T,314
2018,NUMBER,arts_and_humanities,enrolled_in_master_studies,_T,291
2018,NUMBER,services,enrolled_in_master_studies,_T,7
2018,NUMBER,total,enrolled_in_master_studies,M,937
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,M,28
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,M,229
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,M,83
2018,NUMBER,health_and_social_protection,enrolled_in_master_studies,M,12
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,M,98
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,M,163
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,M,85
2018,NUMBER,education,enrolled_in_master_studies,M,103
2018,NUMBER,arts_and_humanities,enrolled_in_master_studies,M,133
2018,NUMBER,services,enrolled_in_master_studies,M,3
2018,NUMBER,total,enrolled_in_master_studies,F,1207
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,F,48
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_master_studies,F,133
2018,NUMBER,information_and_communication_technologies,enrolled_in_master_studies,F,37
2018,NUMBER,health_and_social_protection,enrolled_in_master_studies,F,30
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,F,91
2018,NUMBER,"social_sciences,_journalism_and_information",enrolled_in_master_studies,F,340
2018,NUMBER,"business,_administration_and_law",enrolled_in_master_studies,F,155
2018,NUMBER,education,enrolled_in_master_studies,F,211
2018,NUMBER,arts_and_humanities,enrolled_in_master_studies,F,158
2018,NUMBER,services,enrolled_in_master_studies,F,4
2018,NUMBER,total,enrolled_in_specialist_studies,_T,160
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,_T,0
2018,NUMBER,"engineering,_production_and_construction",enrolled_in_specialist_studies,_T,0
2018,NUMBER,information_and_communication_technologies,enrolled_in_specialist_studies,_T,0
2018,NUMBER,health_and_social_protection,enrolled_in_specialist_studies,_T,156
