Year,UNIT_MEASURE,scientific_field,SEX,Value
2017,NUMBER,total,_T,130
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,10
2017,NUMBER,"engineering,_production_and_construction",_T,4
2017,NUMBER,information_and_communication_technologies,_T,12
2017,NUMBER,health_and_social_protection,_T,25
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2017,NUMBER,"social_sciences,_journalism_and_information",_T,50
2017,NUMBER,"business,_administration_and_law",_T,10
2017,NUMBER,education,_T,0
2017,NUMBER,arts_and_humanities,_T,10
2017,NUMBER,services,_T,0
2017,NUMBER,total,M,70
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",M,6
2017,NUMBER,"engineering,_production_and_construction",M,3
2017,NUMBER,information_and_communication_technologies,M,9
2017,NUMBER,health_and_social_protection,M,6
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,NUMBER,"social_sciences,_journalism_and_information",M,29
2017,NUMBER,"business,_administration_and_law",M,4
2017,NUMBER,education,M,0
2017,NUMBER,arts_and_humanities,M,9
2017,NUMBER,services,M,0
2017,NUMBER,total,F,60
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",F,4
2017,NUMBER,"engineering,_production_and_construction",F,1
2017,NUMBER,information_and_communication_technologies,F,3
2017,NUMBER,health_and_social_protection,F,19
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2017,NUMBER,"social_sciences,_journalism_and_information",F,21
2017,NUMBER,"business,_administration_and_law",F,6
2017,NUMBER,education,F,0
2017,NUMBER,arts_and_humanities,F,1
2017,NUMBER,services,F,0
2018,NUMBER,total,_T,119
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,8
2018,NUMBER,"engineering,_production_and_construction",_T,3
2018,NUMBER,information_and_communication_technologies,_T,11
2018,NUMBER,health_and_social_protection,_T,37
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2018,NUMBER,"social_sciences,_journalism_and_information",_T,16
2018,NUMBER,"business,_administration_and_law",_T,10
2018,NUMBER,education,_T,3
2018,NUMBER,arts_and_humanities,_T,22
2018,NUMBER,services,_T,0
2018,NUMBER,total,M,56
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",M,3
2018,NUMBER,"engineering,_production_and_construction",M,2
2018,NUMBER,information_and_communication_technologies,M,11
2018,NUMBER,health_and_social_protection,M,9
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2018,NUMBER,"social_sciences,_journalism_and_information",M,8
2018,NUMBER,"business,_administration_and_law",M,4
2018,NUMBER,education,M,3
2018,NUMBER,arts_and_humanities,M,10
2018,NUMBER,services,M,0
2018,NUMBER,total,F,63
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",F,5
2018,NUMBER,"engineering,_production_and_construction",F,1
2018,NUMBER,information_and_communication_technologies,F,0
2018,NUMBER,health_and_social_protection,F,28
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2018,NUMBER,"social_sciences,_journalism_and_information",F,8
2018,NUMBER,"business,_administration_and_law",F,6
2018,NUMBER,education,F,0
2018,NUMBER,arts_and_humanities,F,12
2018,NUMBER,services,F,0
2019,NUMBER,total,_T,165
2019,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,10
2019,NUMBER,"engineering,_production_and_construction",_T,0
2019,NUMBER,information_and_communication_technologies,_T,0
2019,NUMBER,health_and_social_protection,_T,65
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2019,NUMBER,"social_sciences,_journalism_and_information",_T,58
2019,NUMBER,"business,_administration_and_law",_T,5
2019,NUMBER,education,_T,8
2019,NUMBER,arts_and_humanities,_T,10
2019,NUMBER,services,_T,0
2019,NUMBER,total,M,71
2019,NUMBER,"natural_sciences,_mathematics_and_statistics",M,6
2019,NUMBER,"engineering,_production_and_construction",M,0
2019,NUMBER,information_and_communication_technologies,M,0
2019,NUMBER,health_and_social_protection,M,19
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,NUMBER,"social_sciences,_journalism_and_information",M,28
2019,NUMBER,"business,_administration_and_law",M,2
2019,NUMBER,education,M,5
2019,NUMBER,arts_and_humanities,M,5
2019,NUMBER,services,M,0
2019,NUMBER,total,F,94
2019,NUMBER,"natural_sciences,_mathematics_and_statistics",F,4
2019,NUMBER,"engineering,_production_and_construction",F,0
2019,NUMBER,information_and_communication_technologies,F,0
2019,NUMBER,health_and_social_protection,F,46
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2019,NUMBER,"social_sciences,_journalism_and_information",F,30
2019,NUMBER,"business,_administration_and_law",F,3
2019,NUMBER,education,F,3
2019,NUMBER,arts_and_humanities,F,5
2019,NUMBER,services,F,0
2020,NUMBER,total,_T,184
2020,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,12
2020,NUMBER,"engineering,_production_and_construction",_T,2
2020,NUMBER,information_and_communication_technologies,_T,5
2020,NUMBER,health_and_social_protection,_T,96
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,14
2020,NUMBER,"social_sciences,_journalism_and_information",_T,22
2020,NUMBER,"business,_administration_and_law",_T,1
2020,NUMBER,education,_T,8
2020,NUMBER,arts_and_humanities,_T,24
2020,NUMBER,services,_T,0
2020,NUMBER,total,M,79
2020,NUMBER,"natural_sciences,_mathematics_and_statistics",M,8
2020,NUMBER,"engineering,_production_and_construction",M,1
2020,NUMBER,information_and_communication_technologies,M,3
2020,NUMBER,health_and_social_protection,M,35
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,NUMBER,"social_sciences,_journalism_and_information",M,12
2020,NUMBER,"business,_administration_and_law",M,0
2020,NUMBER,education,M,8
2020,NUMBER,arts_and_humanities,M,3
2020,NUMBER,services,M,0
2020,NUMBER,total,F,105
2020,NUMBER,"natural_sciences,_mathematics_and_statistics",F,4
2020,NUMBER,"engineering,_production_and_construction",F,1
2020,NUMBER,information_and_communication_technologies,F,2
2020,NUMBER,health_and_social_protection,F,61
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2020,NUMBER,"social_sciences,_journalism_and_information",F,10
2020,NUMBER,"business,_administration_and_law",F,1
2020,NUMBER,education,F,0
2020,NUMBER,arts_and_humanities,F,21
2020,NUMBER,services,F,0
2021,NUMBER,total,_T,285
2021,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,13
2021,NUMBER,"engineering,_production_and_construction",_T,10
2021,NUMBER,information_and_communication_technologies,_T,10
2021,NUMBER,health_and_social_protection,_T,136
2021,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,13
2021,NUMBER,"social_sciences,_journalism_and_information",_T,42
