Year,UNIT_MEASURE,Value
2000,BAM,3390
2001,BAM,3683
2002,BAM,4226
2003,BAM,4592
2004,BAM,5141
2005,BAM,5713
2006,BAM,6560
2007,BAM,7378
2008,BAM,8524
2009,BAM,8273
2010,BAM,8357
2011,BAM,8720
2012,BAM,8638
2013,BAM,8814
2014,BAM,8910
2015,BAM,9224
2016,BAM,9651
2017,BAM,10099
2018,BAM,10701
2019,BAM,11251
2020,BAM,11132
2021,BAM,12502
2022,BAM,14537
2023,BAM,16086
2024,BAM,17206
2000,EUR,1733
2001,EUR,1883
2002,EUR,2161
2003,EUR,2348
2004,EUR,2629
2005,EUR,2921
2006,EUR,3354
2007,EUR,3772
2008,EUR,4359
2009,EUR,4230
2010,EUR,4273
2011,EUR,4459
2012,EUR,4417
2013,EUR,4507
2014,EUR,4556
2015,EUR,4716
2016,EUR,4935
2017,EUR,5164
2018,EUR,5471
2019,EUR,5753
2020,EUR,5692
2021,EUR,6392
2022,EUR,7433
2023,EUR,8225
2024,EUR,8797
2000,USD,1600
2001,USD,1685
2002,USD,2035
2003,USD,2649
2004,USD,3263
2005,USD,3632
2006,USD,4207
2007,USD,5161
2008,USD,6378
2009,USD,5881
2010,USD,5659
2011,USD,6202
2012,USD,5673
2013,USD,5982
2014,USD,6045
2015,USD,5233
2016,USD,5459
2017,USD,5819
2018,USD,6456
2019,USD,6440
2020,USD,6485
2021,USD,7559
2022,USD,7815
2023,USD,8892
2024,USD,9519
