Year,UNIT_MEASURE,SEX,BIRTHS,Value
2003,NUMBER,_T,LIVE_BIRTH,10537
2004,NUMBER,_T,LIVE_BIRTH,10628
2005,NUMBER,_T,LIVE_BIRTH,10322
2006,NUMBER,_T,LIVE_BIRTH,10524
2007,NUMBER,_T,LIVE_BIRTH,10110
2008,NUMBER,_T,LIVE_BIRTH,10198
2009,NUMBER,_T,LIVE_BIRTH,10603
2010,NUMBER,_T,LIVE_BIRTH,10147
2011,NUMBER,_T,LIVE_BIRTH,9561
2012,NUMBER,_T,LIVE_BIRTH,9978
2013,NUMBER,_T,LIVE_BIRTH,9510
2014,NUMBER,_T,LIVE_BIRTH,9335
2015,NUMBER,_T,LIVE_BIRTH,9357
2016,NUMBER,_T,LIVE_BIRTH,9452
2017,NUMBER,_T,LIVE_BIRTH,9339
2018,NUMBER,_T,LIVE_BIRTH,9568
2019,NUMBER,_T,LIVE_BIRTH,9274
2020,NUMBER,_T,LIVE_BIRTH,9161
2003,NUMBER,_T,DEATHS,12988
2004,NUMBER,_T,DEATHS,13082
2005,NUMBER,_T,DEATHS,13802
2006,NUMBER,_T,DEATHS,13232
2007,NUMBER,_T,DEATHS,14146
2008,NUMBER,_T,DEATHS,13501
2009,NUMBER,_T,DEATHS,13775
2010,NUMBER,_T,DEATHS,13517
2011,NUMBER,_T,DEATHS,13658
2012,NUMBER,_T,DEATHS,13796
2013,NUMBER,_T,DEATHS,13978
2014,NUMBER,_T,DEATHS,14409
2015,NUMBER,_T,DEATHS,15059
2016,NUMBER,_T,DEATHS,13970
2017,NUMBER,_T,DEATHS,14663
2018,NUMBER,_T,DEATHS,14763
2019,NUMBER,_T,DEATHS,15081
2020,NUMBER,_T,DEATHS,16582
2003,NUMBER,_T,NATURAL_CHANGE,-2451
2004,NUMBER,_T,NATURAL_CHANGE,-2454
2005,NUMBER,_T,NATURAL_CHANGE,-3480
2006,NUMBER,_T,NATURAL_CHANGE,-2708
2007,NUMBER,_T,NATURAL_CHANGE,-4036
2008,NUMBER,_T,NATURAL_CHANGE,-3303
2009,NUMBER,_T,NATURAL_CHANGE,-3172
2010,NUMBER,_T,NATURAL_CHANGE,-3370
2011,NUMBER,_T,NATURAL_CHANGE,-4097
2012,NUMBER,_T,NATURAL_CHANGE,-3818
2013,NUMBER,_T,NATURAL_CHANGE,-4468
2014,NUMBER,_T,NATURAL_CHANGE,-5074
2015,NUMBER,_T,NATURAL_CHANGE,-5702
2016,NUMBER,_T,NATURAL_CHANGE,-4518
2017,NUMBER,_T,NATURAL_CHANGE,-5324
2018,NUMBER,_T,NATURAL_CHANGE,-5195
2019,NUMBER,_T,NATURAL_CHANGE,-5807
2020,NUMBER,_T,NATURAL_CHANGE,-7421
