Year,UNIT_MEASURE,Value
2003,NO_PER_1000_LIVE_BIRTHS,3.5
2004,NO_PER_1000_LIVE_BIRTHS,3.3
2005,NO_PER_1000_LIVE_BIRTHS,3.9
2006,NO_PER_1000_LIVE_BIRTHS,2.6
2007,NO_PER_1000_LIVE_BIRTHS,3.9
2008,NO_PER_1000_LIVE_BIRTHS,3.3
2009,NO_PER_1000_LIVE_BIRTHS,3.0
2010,NO_PER_1000_LIVE_BIRTHS,4.0
2011,NO_PER_1000_LIVE_BIRTHS,3.0
2012,NO_PER_1000_LIVE_BIRTHS,3.8
2013,NO_PER_1000_LIVE_BIRTHS,3.9
2014,NO_PER_1000_LIVE_BIRTHS,2.4
2015,NO_PER_1000_LIVE_BIRTHS,1.8
2016,NO_PER_1000_LIVE_BIRTHS,1.6
2017,NO_PER_1000_LIVE_BIRTHS,1.8
2018,NO_PER_1000_LIVE_BIRTHS,1.9
2019,NO_PER_1000_LIVE_BIRTHS,1.4
2020,NO_PER_1000_LIVE_BIRTHS,1.6
2021,NO_PER_1000_LIVE_BIRTHS,1.9
2022,NO_PER_1000_LIVE_BIRTHS,2.6
