Year,SEX,UNIT_MEASURE,Value
2003,M,Age,67.7
2004,M,Age,67.1
2005,M,Age,67.0
2006,M,Age,67.0
2007,M,Age,67.7
2008,M,Age,68.3
2009,M,Age,69.0
2010,M,Age,69.4
2011,M,Age,69.6
2012,M,Age,70.1
2013,M,Age,70.1
2014,M,Age,70.5
2015,M,Age,71.0
2016,M,Age,71.0
2017,M,Age,71.6
2018,M,Age,71.6
2019,M,Age,71.7
2020,M,Age,72.0
2003,F,Age,72.8
2004,F,Age,72.5
2005,F,Age,73.0
2006,F,Age,73.4
2007,F,Age,74.4
2008,F,Age,74.3
2009,F,Age,74.4
2010,F,Age,75.0
2011,F,Age,75.5
2012,F,Age,76.1
2013,F,Age,76.0
2014,F,Age,76.1
2015,F,Age,76.5
2016,F,Age,76.9
2017,F,Age,77.4
2018,F,Age,77.4
2019,F,Age,77.5
2020,F,Age,77.9
