Year,UNIT_MEASURE,SEX,AGE,Value
2021.0,NUMBER,_T,total,1170342.0
2021.0,NUMBER,_T,0,10089.0
2021.0,NUMBER,_T,1,10442.0
2021.0,NUMBER,_T,2,10534.0
2021.0,NUMBER,_T,3,11066.0
2021.0,NUMBER,_T,4,11274.0
2021.0,NUMBER,_T,5,11077.0
2021.0,NUMBER,_T,6,10671.0
2021.0,NUMBER,_T,7,10633.0
2021.0,NUMBER,_T,8,10851.0
2021.0,NUMBER,_T,9,10844.0
2021.0,NUMBER,_T,10,10926.0
2021.0,NUMBER,_T,11,11066.0
2021.0,NUMBER,_T,12,11776.0
2021.0,NUMBER,_T,13,11732.0
2021.0,NUMBER,_T,14,11826.0
2021.0,NUMBER,_T,15,13345.0
2021.0,NUMBER,_T,16,14990.0
2021.0,NUMBER,_T,17,14239.0
2021.0,NUMBER,_T,18,14376.0
2021.0,NUMBER,_T,19,13865.0
2021.0,NUMBER,_T,20,11430.0
2021.0,NUMBER,_T,21,12311.0
2021.0,NUMBER,_T,22,13731.0
2021.0,NUMBER,_T,23,13757.0
2021.0,NUMBER,_T,24,14134.0
2021.0,NUMBER,_T,25,14918.0
2021.0,NUMBER,_T,26,14929.0
2021.0,NUMBER,_T,27,15102.0
2021.0,NUMBER,_T,28,15505.0
2021.0,NUMBER,_T,29,16299.0
2021.0,NUMBER,_T,30,16049.0
2021.0,NUMBER,_T,31,16274.0
2021.0,NUMBER,_T,32,16078.0
2021.0,NUMBER,_T,33,16134.0
2021.0,NUMBER,_T,34,15937.0
2021.0,NUMBER,_T,35,16090.0
2021.0,NUMBER,_T,36,16223.0
2021.0,NUMBER,_T,37,16713.0
2021.0,NUMBER,_T,38,16000.0
2021.0,NUMBER,_T,39,15562.0
2021.0,NUMBER,_T,40,15478.0
2021.0,NUMBER,_T,41,15702.0
2021.0,NUMBER,_T,42,15096.0
2021.0,NUMBER,_T,43,14324.0
2021.0,NUMBER,_T,44,15083.0
2021.0,NUMBER,_T,45,15473.0
2021.0,NUMBER,_T,46,16484.0
2021.0,NUMBER,_T,47,16760.0
2021.0,NUMBER,_T,48,17206.0
2021.0,NUMBER,_T,49,16887.0
2021.0,NUMBER,_T,50,17318.0
2021.0,NUMBER,_T,51,18447.0
2021.0,NUMBER,_T,52,18388.0
2021.0,NUMBER,_T,53,18473.0
2021.0,NUMBER,_T,54,19374.0
2021.0,NUMBER,_T,55,18079.0
2021.0,NUMBER,_T,56,17697.0
2021.0,NUMBER,_T,57,18915.0
2021.0,NUMBER,_T,58,19477.0
2021.0,NUMBER,_T,59,19290.0
2021.0,NUMBER,_T,60,19555.0
2021.0,NUMBER,_T,61,18341.0
2021.0,NUMBER,_T,62,16472.0
2021.0,NUMBER,_T,63,16560.0
2021.0,NUMBER,_T,64,16276.0
2021.0,NUMBER,_T,65,14108.0
2021.0,NUMBER,_T,66,14936.0
2021.0,NUMBER,_T,67,11677.0
2021.0,NUMBER,_T,68,9659.0
2021.0,NUMBER,_T,69,9693.0
2021.0,NUMBER,_T,70,9614.0
2021.0,NUMBER,_T,71,10112.0
2021.0,NUMBER,_T,72,11718.0
2021.0,NUMBER,_T,73,12226.0
2021.0,NUMBER,_T,74,11478.0
2021.0,NUMBER,_T,75,11208.0
2021.0,NUMBER,_T,76,10446.0
2021.0,NUMBER,_T,77,9853.0
2021.0,NUMBER,_T,78,8546.0
2021.0,NUMBER,_T,79,7984.0
2021.0,NUMBER,_T,80,6632.0
2021.0,NUMBER,_T,81,5944.0
2021.0,NUMBER,_T,82,4871.0
2021.0,NUMBER,_T,83,4589.0
2021.0,NUMBER,_T,84,3530.0
2021.0,NUMBER,_T,85+,11565.0
2021.0,NUMBER,M,total,571812.0
2021.0,NUMBER,M,0,5148.0
2021.0,NUMBER,M,1,5271.0
2021.0,NUMBER,M,2,5457.0
2021.0,NUMBER,M,3,5629.0
2021.0,NUMBER,M,4,5888.0
2021.0,NUMBER,M,5,5718.0
2021.0,NUMBER,M,6,5394.0
2021.0,NUMBER,M,7,5416.0
2021.0,NUMBER,M,8,5603.0
2021.0,NUMBER,M,9,5585.0
2021.0,NUMBER,M,10,5626.0
2021.0,NUMBER,M,11,5697.0
2021.0,NUMBER,M,12,6082.0
2021.0,NUMBER,M,13,6005.0
2021.0,NUMBER,M,14,6001.0
2021.0,NUMBER,M,15,6951.0
2021.0,NUMBER,M,16,7691.0
2021.0,NUMBER,M,17,7238.0
2021.0,NUMBER,M,18,7415.0
2021.0,NUMBER,M,19,7282.0
2021.0,NUMBER,M,20,5999.0
2021.0,NUMBER,M,21,6376.0
2021.0,NUMBER,M,22,7188.0
2021.0,NUMBER,M,23,7149.0
2021.0,NUMBER,M,24,7181.0
2021.0,NUMBER,M,25,7641.0
2021.0,NUMBER,M,26,7634.0
2021.0,NUMBER,M,27,7545.0
