Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,republika_srpska,F,_T,518243
2013,NUMBER,grad_banja_luka,F,_T,80633
2013,NUMBER,berkovici,F,_T,839
2013,NUMBER,grad_bijeljina,F,_T,45729
2013,NUMBER,bileca,F,_T,4500
2013,NUMBER,bratunac,F,_T,8127
2013,NUMBER,brod,F,_T,6996
2013,NUMBER,visegrad,F,_T,4691
2013,NUMBER,vlasenica,F,_T,4738
2013,NUMBER,vukosavlje,F,_T,1849
2013,NUMBER,gacko,F,_T,3646
2013,NUMBER,grad_gradiska,F,_T,22005
2013,NUMBER,grad_derventa,F,_T,11515
2013,NUMBER,grad_doboj,F,_T,30598
2013,NUMBER,donji_zabar,F,_T,1561
2013,NUMBER,grad_zvornik,F,_T,23313
2013,NUMBER,istocna_ilidza,F,_T,6538
2013,NUMBER,istocni_drvar,F,_T,22
2013,NUMBER,istocni_mostar,F,_T,93
2013,NUMBER,istocni_stari_grad,F,_T,516
2013,NUMBER,istocno_novo_sarajevo,F,_T,4659
2013,NUMBER,jezero,F,_T,437
2013,NUMBER,kalinovik,F,_T,898
2013,NUMBER,knezevo,F,_T,4079
2013,NUMBER,kozarska_dubica,F,_T,9386
2013,NUMBER,kostajnica,F,_T,2538
2013,NUMBER,kotor_varos,F,_T,7914
2013,NUMBER,krupa_na_uni,F,_T,628
2013,NUMBER,kupres,F,_T,127
2013,NUMBER,laktasi,F,_T,14682
2013,NUMBER,lopare,F,_T,6471
2013,NUMBER,ljubinje,F,_T,1475
2013,NUMBER,milici,F,_T,4489
2013,NUMBER,modrica,F,_T,10856
2013,NUMBER,mrkonjic_grad,F,_T,7153
2013,NUMBER,nevesinje,F,_T,5385
2013,NUMBER,novi_grad,F,_T,11191
2013,NUMBER,novo_gorazde,F,_T,1263
2013,NUMBER,osmaci,F,_T,2367
2013,NUMBER,ostra_luka,F,_T,1131
2013,NUMBER,pale,F,_T,9317
2013,NUMBER,pelagicevo,F,_T,1978
2013,NUMBER,petrovac,F,_T,160
2013,NUMBER,petrovo,F,_T,2902
2013,NUMBER,grad_prijedor,F,_T,36570
2013,NUMBER,prnjavor,F,_T,15254
2013,NUMBER,ribnik,F,_T,2560
2013,NUMBER,rogatica,F,_T,4567
2013,NUMBER,rudo,F,_T,3315
2013,NUMBER,sokolac,F,_T,5142
2013,NUMBER,srbac,F,_T,7462
2013,NUMBER,srebrenica,F,_T,5260
2013,NUMBER,teslic,F,_T,16491
2013,NUMBER,grad_trebinje,F,_T,12436
2013,NUMBER,trnovo,F,_T,936
2013,NUMBER,ugljevik,F,_T,6451
2013,NUMBER,foca,F,_T,7700
2013,NUMBER,han_pijesak,F,_T,1631
2013,NUMBER,cajnice,F,_T,2025
2013,NUMBER,celinac,F,_T,6555
2013,NUMBER,samac,F,_T,7431
2013,NUMBER,sekovici,F,_T,2815
2013,NUMBER,sipovo,F,_T,4247
2013,NUMBER,republika_srpska,F,did_not_give_birth,131752
2013,NUMBER,grad_banja_luka,F,did_not_give_birth,22958
2013,NUMBER,berkovici,F,did_not_give_birth,198
2013,NUMBER,grad_bijeljina,F,did_not_give_birth,11452
2013,NUMBER,bileca,F,did_not_give_birth,1303
2013,NUMBER,bratunac,F,did_not_give_birth,2067
2013,NUMBER,brod,F,did_not_give_birth,1822
2013,NUMBER,visegrad,F,did_not_give_birth,1278
2013,NUMBER,vlasenica,F,did_not_give_birth,1293
2013,NUMBER,vukosavlje,F,did_not_give_birth,419
2013,NUMBER,gacko,F,did_not_give_birth,1080
2013,NUMBER,grad_gradiska,F,did_not_give_birth,5312
2013,NUMBER,grad_derventa,F,did_not_give_birth,2841
2013,NUMBER,grad_doboj,F,did_not_give_birth,7244
2013,NUMBER,donji_zabar,F,did_not_give_birth,394
2013,NUMBER,grad_zvornik,F,did_not_give_birth,5530
2013,NUMBER,istocna_ilidza,F,did_not_give_birth,1897
2013,NUMBER,istocni_drvar,F,did_not_give_birth,5
2013,NUMBER,istocni_mostar,F,did_not_give_birth,25
2013,NUMBER,istocni_stari_grad,F,did_not_give_birth,122
2013,NUMBER,istocno_novo_sarajevo,F,did_not_give_birth,1372
2013,NUMBER,jezero,F,did_not_give_birth,111
2013,NUMBER,kalinovik,F,did_not_give_birth,250
2013,NUMBER,knezevo,F,did_not_give_birth,868
2013,NUMBER,kozarska_dubica,F,did_not_give_birth,2106
2013,NUMBER,kostajnica,F,did_not_give_birth,632
2013,NUMBER,kotor_varos,F,did_not_give_birth,2052
2013,NUMBER,krupa_na_uni,F,did_not_give_birth,110
2013,NUMBER,kupres,F,did_not_give_birth,24
2013,NUMBER,laktasi,F,did_not_give_birth,3589
2013,NUMBER,lopare,F,did_not_give_birth,1679
2013,NUMBER,ljubinje,F,did_not_give_birth,377
2013,NUMBER,milici,F,did_not_give_birth,1235
2013,NUMBER,modrica,F,did_not_give_birth,2736
2013,NUMBER,mrkonjic_grad,F,did_not_give_birth,1571
2013,NUMBER,nevesinje,F,did_not_give_birth,1490
2013,NUMBER,novi_grad,F,did_not_give_birth,2605
