Year,UNIT_MEASURE,ADMIN_AREA,SEX,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,republika_srpska,_T,_T,408825.0
2013,NUMBER,grad_banja_luka,M,_T,65010.0
2013,NUMBER,berkovici,F,_T,636.0
2013,NUMBER,grad_bijeljina,_T,_T,34309.0
2013,NUMBER,bileca,M,_T,3307.0
2013,NUMBER,bratunac,F,_T,5945.0
2013,NUMBER,brod,_T,_T,5599.0
2013,NUMBER,visegrad,M,_T,3966.0
2013,NUMBER,vlasenica,F,_T,3712.0
2013,NUMBER,vukosavlje,_T,_T,1537.0
2013,NUMBER,gacko,M,_T,2766.0
2013,NUMBER,grad_gradiska,F,_T,16939.0
2013,NUMBER,grad_derventa,_T,_T,9345.0
2013,NUMBER,grad_doboj,M,_T,25447.0
2013,NUMBER,donji_zabar,F,_T,1191.0
2013,NUMBER,grad_zvornik,_T,_T,17690.0
2013,NUMBER,istocna_ilidza,M,_T,4981.0
2013,NUMBER,istocni_drvar,F,_T,38.0
2013,NUMBER,istocni_mostar,_T,_T,83.0
2013,NUMBER,istocni_stari_grad,M,_T,438.0
2013,NUMBER,istocno_novo_sarajevo,F,_T,3819.0
2013,NUMBER,jezero,_T,_T,365.0
2013,NUMBER,kalinovik,M,_T,783.0
2013,NUMBER,knezevo,F,_T,3168.0
2013,NUMBER,kozarska_dubica,_T,_T,7492.0
2013,NUMBER,kostajnica,M,_T,1896.0
2013,NUMBER,kotor_varos,F,_T,5863.0
2013,NUMBER,krupa_na_uni,_T,_T,543.0
2013,NUMBER,kupres,M,_T,128.0
2013,NUMBER,laktasi,F,_T,11293.0
2013,NUMBER,lopare,_T,_T,5081.0
2013,NUMBER,ljubinje,M,_T,1077.0
2013,NUMBER,milici,F,_T,3579.0
2013,NUMBER,modrica,_T,_T,8553.0
2013,NUMBER,mrkonjic_grad,M,_T,6104.0
2013,NUMBER,nevesinje,F,_T,3985.0
2013,NUMBER,novi_grad,_T,_T,8792.0
2013,NUMBER,novo_gorazde,M,_T,1078.0
2013,NUMBER,osmaci,F,_T,1675.0
2013,NUMBER,ostra_luka,_T,_T,971.0
2013,NUMBER,pale,M,_T,7158.0
2013,NUMBER,pelagicevo,F,_T,1787.0
2013,NUMBER,petrovac,_T,_T,130.0
2013,NUMBER,petrovo,M,_T,2532.0
2013,NUMBER,grad_prijedor,F,_T,27961.0
2013,NUMBER,prnjavor,_T,_T,12166.0
2013,NUMBER,ribnik,M,_T,2252.0
2013,NUMBER,rogatica,F,_T,3871.0
2013,NUMBER,rudo,_T,_T,2847.0
2013,NUMBER,sokolac,M,_T,4276.0
2013,NUMBER,srbac,F,_T,6157.0
2013,NUMBER,srebrenica,_T,_T,3792.0
2013,NUMBER,teslic,M,_T,13255.0
2013,NUMBER,grad_trebinje,F,_T,9394.0
2013,NUMBER,trnovo,_T,_T,800.0
2013,NUMBER,ugljevik,M,_T,4867.0
2013,NUMBER,foca,F,_T,6544.0
2013,NUMBER,han_pijesak,_T,_T,1390.0
2013,NUMBER,cajnice,M,_T,1662.0
2013,NUMBER,celinac,F,_T,5009.0
2013,NUMBER,samac,_T,_T,5609.0
2013,NUMBER,sekovici,M,_T,2517.0
2013,NUMBER,sipovo,F,_T,3665.0
2013,NUMBER,republika_srpska,_T,single_household,91300.0
2013,NUMBER,grad_banja_luka,M,single_household,13984.0
2013,NUMBER,berkovici,F,single_household,129.0
2013,NUMBER,grad_bijeljina,_T,single_household,6984.0
2013,NUMBER,bileca,M,single_household,629.0
2013,NUMBER,bratunac,F,single_household,1155.0
2013,NUMBER,brod,_T,single_household,1360.0
2013,NUMBER,visegrad,M,single_household,1132.0
2013,NUMBER,vlasenica,F,single_household,768.0
2013,NUMBER,vukosavlje,_T,single_household,348.0
2013,NUMBER,gacko,M,single_household,522.0
2013,NUMBER,grad_gradiska,F,single_household,3782.0
2013,NUMBER,grad_derventa,_T,single_household,2270.0
2013,NUMBER,grad_doboj,M,single_household,6230.0
2013,NUMBER,donji_zabar,F,single_household,271.0
2013,NUMBER,grad_zvornik,_T,single_household,3323.0
2013,NUMBER,istocna_ilidza,M,single_household,949.0
2013,NUMBER,istocni_drvar,F,single_household,24.0
2013,NUMBER,istocni_mostar,_T,single_household,29.0
2013,NUMBER,istocni_stari_grad,M,single_household,123.0
2013,NUMBER,istocno_novo_sarajevo,F,single_household,904.0
2013,NUMBER,jezero,_T,single_household,86.0
