Year,UNIT_MEASURE,ADMIN_AREA,SEX,Literacy,Value
2013,NUMBER,REPUBLIKA SRPSKA,_T,_T,1062861.0
2013,NUMBER,REPUBLIKA SRPSKA,M,_T,516703.0
2013,NUMBER,REPUBLIKA SRPSKA,F,_T,546158.0
2013,NUMBER,BANJA LUKA,_T,_T,162106.0
2013,NUMBER,BANJA LUKA,M,_T,77356.0
2013,NUMBER,BANJA LUKA,F,_T,84750.0
2013,NUMBER,BERKOVICI,_T,_T,1824.0
2013,NUMBER,BERKOVICI,M,_T,916.0
2013,NUMBER,BERKOVICI,F,_T,908.0
2013,NUMBER,BIJELJINA,_T,_T,94007.0
2013,NUMBER,BIJELJINA,M,_T,45652.0
2013,NUMBER,BIJELJINA,F,_T,48355.0
2013,NUMBER,BILECA,_T,_T,9644.0
2013,NUMBER,BILECA,M,_T,4830.0
2013,NUMBER,BILECA,F,_T,4814.0
2013,NUMBER,BRATUNAC,_T,_T,16773.0
2013,NUMBER,BRATUNAC,M,_T,8235.0
2013,NUMBER,BRATUNAC,F,_T,8538.0
2013,NUMBER,BROD,_T,_T,14277.0
2013,NUMBER,BROD,M,_T,6911.0
2013,NUMBER,BROD,F,_T,7366.0
2013,NUMBER,VISEGRAD,_T,_T,9381.0
2013,NUMBER,VISEGRAD,M,_T,4478.0
2013,NUMBER,VISEGRAD,F,_T,4903.0
2013,NUMBER,VLASENICA,_T,_T,9649.0
2013,NUMBER,VLASENICA,M,_T,4669.0
2013,NUMBER,VLASENICA,F,_T,4980.0
2013,NUMBER,VUKOSAVLJE,_T,_T,3950.0
2013,NUMBER,VUKOSAVLJE,M,_T,1975.0
2013,NUMBER,VUKOSAVLJE,F,_T,1975.0
2013,NUMBER,GACKO,_T,_T,7864.0
2013,NUMBER,GACKO,M,_T,3987.0
2013,NUMBER,GACKO,F,_T,3877.0
2013,NUMBER,GRADISKA,_T,_T,44972.0
2013,NUMBER,GRADISKA,M,_T,21810.0
2013,NUMBER,GRADISKA,F,_T,23162.0
2013,NUMBER,DERVENTA,_T,_T,23629.0
2013,NUMBER,DERVENTA,M,_T,11467.0
2013,NUMBER,DERVENTA,F,_T,12162.0
2013,NUMBER,DOBOJ,_T,_T,62056.0
2013,NUMBER,DOBOJ,M,_T,29964.0
2013,NUMBER,DOBOJ,F,_T,32092.0
2013,NUMBER,DONJI ZABAR,_T,_T,3352.0
2013,NUMBER,DONJI ZABAR,M,_T,1685.0
2013,NUMBER,DONJI ZABAR,F,_T,1667.0
2013,NUMBER,ZVORNIK,_T,_T,48535.0
2013,NUMBER,ZVORNIK,M,_T,23809.0
2013,NUMBER,ZVORNIK,F,_T,24726.0
2013,NUMBER,ISTOCNA ILIDZA,_T,_T,13131.0
2013,NUMBER,ISTOCNA ILIDZA,M,_T,6250.0
2013,NUMBER,ISTOCNA ILIDZA,F,_T,6881.0
2013,NUMBER,ISTOCNI DRVAR,_T,_T,65.0
2013,NUMBER,ISTOCNI DRVAR,M,_T,43.0
2013,NUMBER,ISTOCNI DRVAR,F,_T,22.0
2013,NUMBER,ISTOCNI MOSTAR,_T,_T,226.0
2013,NUMBER,ISTOCNI MOSTAR,M,_T,128.0
2013,NUMBER,ISTOCNI MOSTAR,F,_T,98.0
2013,NUMBER,ISTOCNI STARI GRAD,_T,_T,1033.0
2013,NUMBER,ISTOCNI STARI GRAD,M,_T,505.0
2013,NUMBER,ISTOCNI STARI GRAD,F,_T,528.0
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,_T,9302.0
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,_T,4402.0
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,_T,4900.0
2013,NUMBER,JEZERO,_T,_T,951.0
2013,NUMBER,JEZERO,M,_T,492.0
2013,NUMBER,JEZERO,F,_T,459.0
2013,NUMBER,KALINOVIK,_T,_T,1845.0
2013,NUMBER,KALINOVIK,M,_T,895.0
2013,NUMBER,KALINOVIK,F,_T,950.0
2013,NUMBER,KNEZEVO,_T,_T,8558.0
2013,NUMBER,KNEZEVO,M,_T,4209.0
2013,NUMBER,KNEZEVO,F,_T,4349.0
2013,NUMBER,KOZARSKA DUBICA,_T,_T,19095.0
2013,NUMBER,KOZARSKA DUBICA,M,_T,9296.0
2013,NUMBER,KOZARSKA DUBICA,F,_T,9799.0
2013,NUMBER,KOSTAJNICA,_T,_T,5201.0
2013,NUMBER,KOSTAJNICA,M,_T,2553.0
2013,NUMBER,KOSTAJNICA,F,_T,2648.0
2013,NUMBER,KOTOR VAROS,_T,_T,16533.0
2013,NUMBER,KOTOR VAROS,M,_T,8069.0
2013,NUMBER,KOTOR VAROS,F,_T,8464.0
2013,NUMBER,KRUPA NA UNI,_T,_T,1456.0
2013,NUMBER,KRUPA NA UNI,M,_T,786.0
2013,NUMBER,KRUPA NA UNI,F,_T,670.0
2013,NUMBER,KUPRES,_T,_T,280.0
2013,NUMBER,KUPRES,M,_T,147.0
2013,NUMBER,KUPRES,F,_T,133.0
2013,NUMBER,LAKTASI,_T,_T,30705.0
2013,NUMBER,LAKTASI,M,_T,15132.0
2013,NUMBER,LAKTASI,F,_T,15573.0
2013,NUMBER,LOPARE,_T,_T,13599.0
2013,NUMBER,LOPARE,M,_T,6831.0
2013,NUMBER,LOPARE,F,_T,6768.0
2013,NUMBER,LJUBINJE,_T,_T,3046.0
2013,NUMBER,LJUBINJE,M,_T,1502.0
2013,NUMBER,LJUBINJE,F,_T,1544.0
2013,NUMBER,MILICI,_T,_T,9487.0
2013,NUMBER,MILICI,M,_T,4761.0
2013,NUMBER,MILICI,F,_T,4726.0
2013,NUMBER,MODRICA,_T,_T,22419.0
2013,NUMBER,MODRICA,M,_T,10910.0
2013,NUMBER,MODRICA,F,_T,11509.0
2013,NUMBER,MRKONJIC GRAD,_T,_T,14541.0
2013,NUMBER,MRKONJIC GRAD,M,_T,6944.0
2013,NUMBER,MRKONJIC GRAD,F,_T,7597.0
2013,NUMBER,NEVESINJE,_T,_T,11346.0
2013,NUMBER,NEVESINJE,M,_T,5615.0
2013,NUMBER,NEVESINJE,F,_T,5731.0
2013,NUMBER,NOVI GRAD,_T,_T,23292.0
2013,NUMBER,NOVI GRAD,M,_T,11576.0
2013,NUMBER,NOVI GRAD,F,_T,11716.0
2013,NUMBER,NOVO GORAZDE,_T,_T,2718.0
2013,NUMBER,NOVO GORAZDE,M,_T,1408.0
2013,NUMBER,NOVO GORAZDE,F,_T,1310.0
2013,NUMBER,OSMACI,_T,_T,5021.0
2013,NUMBER,OSMACI,M,_T,2498.0
2013,NUMBER,OSMACI,F,_T,2523.0
2013,NUMBER,OSTRA LUKA,_T,_T,2468.0
2013,NUMBER,OSTRA LUKA,M,_T,1264.0
2013,NUMBER,OSTRA LUKA,F,_T,1204.0
2013,NUMBER,PALE,_T,_T,18603.0
2013,NUMBER,PALE,M,_T,8848.0
2013,NUMBER,PALE,F,_T,9755.0
2013,NUMBER,PELAGICEVO,_T,_T,4076.0
2013,NUMBER,PELAGICEVO,M,_T,2009.0
2013,NUMBER,PELAGICEVO,F,_T,2067.0
2013,NUMBER,PETROVAC,_T,_T,323.0
2013,NUMBER,PETROVAC,M,_T,151.0
2013,NUMBER,PETROVAC,F,_T,172.0
2013,NUMBER,PETROVO,_T,_T,5831.0
2013,NUMBER,PETROVO,M,_T,2793.0
2013,NUMBER,PETROVO,F,_T,3038.0
2013,NUMBER,PRIJEDOR,_T,_T,74375.0
2013,NUMBER,PRIJEDOR,M,_T,36023.0
2013,NUMBER,PRIJEDOR,F,_T,38352.0
2013,NUMBER,PRNJAVOR,_T,_T,31231.0
2013,NUMBER,PRNJAVOR,M,_T,15075.0
2013,NUMBER,PRNJAVOR,F,_T,16156.0
2013,NUMBER,RIBNIK,_T,_T,5365.0
2013,NUMBER,RIBNIK,M,_T,2649.0
2013,NUMBER,RIBNIK,F,_T,2716.0
2013,NUMBER,ROGATICA,_T,_T,9327.0
2013,NUMBER,ROGATICA,M,_T,4558.0
2013,NUMBER,ROGATICA,F,_T,4769.0
2013,NUMBER,RUDO,_T,_T,6979.0
2013,NUMBER,RUDO,M,_T,3524.0
2013,NUMBER,RUDO,F,_T,3455.0
2013,NUMBER,SOKOLAC,_T,_T,10588.0
2013,NUMBER,SOKOLAC,M,_T,5194.0
2013,NUMBER,SOKOLAC,F,_T,5394.0
2013,NUMBER,SRBAC,_T,_T,15404.0
2013,NUMBER,SRBAC,M,_T,7537.0
2013,NUMBER,SRBAC,F,_T,7867.0
2013,NUMBER,SREBRENICA,_T,_T,10715.0
2013,NUMBER,SREBRENICA,M,_T,5225.0
2013,NUMBER,SREBRENICA,F,_T,5490.0
2013,NUMBER,TESLIC,_T,_T,33369.0
2013,NUMBER,TESLIC,M,_T,15840.0
2013,NUMBER,TESLIC,F,_T,17529.0
2013,NUMBER,TREBINJE,_T,_T,25447.0
2013,NUMBER,TREBINJE,M,_T,12305.0
2013,NUMBER,TREBINJE,F,_T,13142.0
2013,NUMBER,TRNOVO,_T,_T,1852.0
2013,NUMBER,TRNOVO,M,_T,887.0
2013,NUMBER,TRNOVO,F,_T,965.0
2013,NUMBER,UGLJEVIK,_T,_T,13720.0
2013,NUMBER,UGLJEVIK,M,_T,6891.0
2013,NUMBER,UGLJEVIK,F,_T,6829.0
2013,NUMBER,FOCA,_T,_T,16227.0
2013,NUMBER,FOCA,M,_T,8147.0
2013,NUMBER,FOCA,F,_T,8080.0
2013,NUMBER,HAN PIJESAK,_T,_T,3187.0
2013,NUMBER,HAN PIJESAK,M,_T,1496.0
2013,NUMBER,HAN PIJESAK,F,_T,1691.0
2013,NUMBER,CAJNICE,_T,_T,4289.0
2013,NUMBER,CAJNICE,M,_T,2164.0
2013,NUMBER,CAJNICE,F,_T,2125.0
2013,NUMBER,CELINAC,_T,_T,13636.0
2013,NUMBER,CELINAC,M,_T,6711.0
2013,NUMBER,CELINAC,F,_T,6925.0
2013,NUMBER,SAMAC,_T,_T,15072.0
2013,NUMBER,SAMAC,M,_T,7273.0
2013,NUMBER,SAMAC,F,_T,7799.0
2013,NUMBER,SEKOVICI,_T,_T,5816.0
2013,NUMBER,SEKOVICI,M,_T,2868.0
2013,NUMBER,SEKOVICI,F,_T,2948.0
2013,NUMBER,SIPOVO,_T,_T,9092.0
2013,NUMBER,SIPOVO,M,_T,4575.0
2013,NUMBER,SIPOVO,F,_T,4517.0
2013,NUMBER,REPUBLIKA SRPSKA,_T,illiterate,34928.0
2013,NUMBER,REPUBLIKA SRPSKA,M,illiterate,4987.0
2013,NUMBER,REPUBLIKA SRPSKA,F,illiterate,29941.0
2013,NUMBER,BANJA LUKA,_T,illiterate,3503.0
2013,NUMBER,BANJA LUKA,M,illiterate,509.0
2013,NUMBER,BANJA LUKA,F,illiterate,2994.0
2013,NUMBER,BERKOVICI,_T,illiterate,47.0
2013,NUMBER,BERKOVICI,M,illiterate,1.0
2013,NUMBER,BERKOVICI,F,illiterate,46.0
2013,NUMBER,BIJELJINA,_T,illiterate,2541.0
2013,NUMBER,BIJELJINA,M,illiterate,413.0
2013,NUMBER,BIJELJINA,F,illiterate,2128.0
2013,NUMBER,BILECA,_T,illiterate,144.0
2013,NUMBER,BILECA,M,illiterate,31.0
2013,NUMBER,BILECA,F,illiterate,113.0
2013,NUMBER,BRATUNAC,_T,illiterate,865.0
2013,NUMBER,BRATUNAC,M,illiterate,82.0
2013,NUMBER,BRATUNAC,F,illiterate,783.0
2013,NUMBER,BROD,_T,illiterate,330.0
2013,NUMBER,BROD,M,illiterate,53.0
2013,NUMBER,BROD,F,illiterate,277.0
2013,NUMBER,VISEGRAD,_T,illiterate,358.0
2013,NUMBER,VISEGRAD,M,illiterate,35.0
2013,NUMBER,VISEGRAD,F,illiterate,323.0
2013,NUMBER,VLASENICA,_T,illiterate,350.0
2013,NUMBER,VLASENICA,M,illiterate,49.0
2013,NUMBER,VLASENICA,F,illiterate,301.0
2013,NUMBER,VUKOSAVLJE,_T,illiterate,196.0
2013,NUMBER,VUKOSAVLJE,M,illiterate,31.0
2013,NUMBER,VUKOSAVLJE,F,illiterate,165.0
2013,NUMBER,GACKO,_T,illiterate,110.0
2013,NUMBER,GACKO,M,illiterate,10.0
2013,NUMBER,GACKO,F,illiterate,100.0
2013,NUMBER,GRADISKA,_T,illiterate,1526.0
2013,NUMBER,GRADISKA,M,illiterate,204.0
2013,NUMBER,GRADISKA,F,illiterate,1322.0
2013,NUMBER,DERVENTA,_T,illiterate,812.0
2013,NUMBER,DERVENTA,M,illiterate,120.0
2013,NUMBER,DERVENTA,F,illiterate,692.0
2013,NUMBER,DOBOJ,_T,illiterate,1979.0
2013,NUMBER,DOBOJ,M,illiterate,270.0
2013,NUMBER,DOBOJ,F,illiterate,1709.0
2013,NUMBER,DONJI ZABAR,_T,illiterate,128.0
2013,NUMBER,DONJI ZABAR,M,illiterate,26.0
2013,NUMBER,DONJI ZABAR,F,illiterate,102.0
2013,NUMBER,ZVORNIK,_T,illiterate,2055.0
2013,NUMBER,ZVORNIK,M,illiterate,245.0
2013,NUMBER,ZVORNIK,F,illiterate,1810.0
2013,NUMBER,ISTOCNA ILIDZA,_T,illiterate,171.0
2013,NUMBER,ISTOCNA ILIDZA,M,illiterate,22.0
