Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,2550
2017,NUMBER,_T,2737
2018,NUMBER,_T,3170
2019,NUMBER,_T,3601
2020,NUMBER,_T,3565
2016,NUMBER,M,1085
2017,NUMBER,M,1110
2018,NUMBER,M,1260
2019,NUMBER,M,1358
2020,NUMBER,M,1340
2016,NUMBER,F,1465
2017,NUMBER,F,1627
2018,NUMBER,F,1910
2019,NUMBER,F,2243
2020,NUMBER,F,2225
2021,NUMBER,_T,3982
2021,NUMBER,M,1509
2021,NUMBER,F,2473
2022,NUMBER,_T,4317
2022,NUMBER,M,1597
2022,NUMBER,F,2720
2023,NUMBER,_T,3909
2023,NUMBER,M,1453
2023,NUMBER,F,2456
2024,NUMBER,_T,4628
2024,NUMBER,M,1643
2024,NUMBER,F,2985
