Year,UNIT_MEASURE,type_of_education,SEX,Value
2016,NUMBER,enrolled_in_master_of_science_studies,_T,59
2017,NUMBER,enrolled_in_master_of_science_studies,_T,31
2018,NUMBER,enrolled_in_master_of_science_studies,_T,14
2019,NUMBER,enrolled_in_master_of_science_studies,_T,16
2020,NUMBER,enrolled_in_master_of_science_studies,_T,4
2021,NUMBER,enrolled_in_master_of_science_studies,_T,1
2016,NUMBER,enrolled_in_master_of_science_studies,M,37
2017,NUMBER,enrolled_in_master_of_science_studies,M,21
2018,NUMBER,enrolled_in_master_of_science_studies,M,6
2019,NUMBER,enrolled_in_master_of_science_studies,M,12
2020,NUMBER,enrolled_in_master_of_science_studies,M,3
2021,NUMBER,enrolled_in_master_of_science_studies,M,1
2016,NUMBER,enrolled_in_master_of_science_studies,F,22
2017,NUMBER,enrolled_in_master_of_science_studies,F,10
2018,NUMBER,enrolled_in_master_of_science_studies,F,8
2019,NUMBER,enrolled_in_master_of_science_studies,F,4
2020,NUMBER,enrolled_in_master_of_science_studies,F,1
2021,NUMBER,enrolled_in_master_of_science_studies,F,0
2016,NUMBER,enrolled_in_master_studies,_T,2456
2017,NUMBER,enrolled_in_master_studies,_T,2140
2018,NUMBER,enrolled_in_master_studies,_T,2144
2019,NUMBER,enrolled_in_master_studies,_T,2109
2020,NUMBER,enrolled_in_master_studies,_T,2430
2021,NUMBER,enrolled_in_master_studies,_T,2491
2016,NUMBER,enrolled_in_master_studies,M,1048
2017,NUMBER,enrolled_in_master_studies,M,917
2018,NUMBER,enrolled_in_master_studies,M,937
2019,NUMBER,enrolled_in_master_studies,M,930
2020,NUMBER,enrolled_in_master_studies,M,1036
2021,NUMBER,enrolled_in_master_studies,M,915
2016,NUMBER,enrolled_in_master_studies,F,1408
2017,NUMBER,enrolled_in_master_studies,F,1223
2018,NUMBER,enrolled_in_master_studies,F,1207
2019,NUMBER,enrolled_in_master_studies,F,1179
2020,NUMBER,enrolled_in_master_studies,F,1394
2021,NUMBER,enrolled_in_master_studies,F,1419
2016,NUMBER,enrolled_in_specialist_studies,_T,71
2017,NUMBER,enrolled_in_specialist_studies,_T,73
2018,NUMBER,enrolled_in_specialist_studies,_T,160
2019,NUMBER,enrolled_in_specialist_studies,_T,170
2020,NUMBER,enrolled_in_specialist_studies,_T,170
2021,NUMBER,enrolled_in_specialist_studies,_T,156
2016,NUMBER,enrolled_in_specialist_studies,M,28
2017,NUMBER,enrolled_in_specialist_studies,M,34
2018,NUMBER,enrolled_in_specialist_studies,M,66
2019,NUMBER,enrolled_in_specialist_studies,M,72
2020,NUMBER,enrolled_in_specialist_studies,M,39
2021,NUMBER,enrolled_in_specialist_studies,M,44
2016,NUMBER,enrolled_in_specialist_studies,F,43
2017,NUMBER,enrolled_in_specialist_studies,F,39
2018,NUMBER,enrolled_in_specialist_studies,F,94
2019,NUMBER,enrolled_in_specialist_studies,F,98
2020,NUMBER,enrolled_in_specialist_studies,F,131
2021,NUMBER,enrolled_in_specialist_studies,F,112
2022,NUMBER,enrolled_in_master_of_science_studies,_T,0
2022,NUMBER,enrolled_in_master_of_science_studies,F,0
2022,NUMBER,enrolled_in_master_of_science_studies,M,0
2022,NUMBER,enrolled_in_master_studies,_T,2201
2022,NUMBER,enrolled_in_master_studies,M,876
2022,NUMBER,enrolled_in_master_studies,F,1325
2022,NUMBER,enrolled_in_specialist_studies,_T,71
2022,NUMBER,enrolled_in_specialist_studies,M,27
2022,NUMBER,enrolled_in_specialist_studies,F,44
2023,NUMBER,enrolled_in_master_of_science_studies,_T,0
2023,NUMBER,enrolled_in_master_of_science_studies,F,0
2023,NUMBER,enrolled_in_master_of_science_studies,M,0
2023,NUMBER,enrolled_in_master_studies,_T,2162
2023,NUMBER,enrolled_in_master_studies,M,799
2023,NUMBER,enrolled_in_master_studies,F,1363
2023,NUMBER,enrolled_in_specialist_studies,_T,203
2023,NUMBER,enrolled_in_specialist_studies,M,61
2023,NUMBER,enrolled_in_specialist_studies,F,142
2024,NUMBER,enrolled_in_master_of_science_studies,_T,0
2024,NUMBER,enrolled_in_master_of_science_studies,F,0
2024,NUMBER,enrolled_in_master_of_science_studies,M,0
2024,NUMBER,enrolled_in_master_studies,_T,2272
2024,NUMBER,enrolled_in_master_studies,M,854
2024,NUMBER,enrolled_in_master_studies,F,1418
2024,NUMBER,enrolled_in_specialist_studies,_T,221
2024,NUMBER,enrolled_in_specialist_studies,M,55
2024,NUMBER,enrolled_in_specialist_studies,F,166
