Year,Value,UNIT_MEASURE
2003.0,8.8,number_birth_rate
2004.0,8.9,number_birth_rate
2005.0,8.7,number_birth_rate
2006.0,8.9,number_birth_rate
2007.0,8.6,number_birth_rate
2008.0,8.6,number_birth_rate
2009.0,9.0,number_birth_rate
2010.0,8.6,number_birth_rate
2011.0,8.1,number_birth_rate
2012.0,8.5,number_birth_rate
2013.0,8.1,number_birth_rate
2014.0,8.0,number_birth_rate
2015.0,8.1,number_birth_rate
2016.0,8.2,number_birth_rate
2017.0,8.1,number_birth_rate
2018.0,8.3,number_birth_rate
2019.0,8.1,number_birth_rate
2020.0,8.1,number_birth_rate
,,
,,
,,
,,
