Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
0-4,0-4,0-4,0-4,384,3
0,0,0,0,14,4
1-4,1-4,1-4,1-4,3,1
1,1,1,1,11,3
10-14,10-14,10-14,10-14,387,4
10,10,10,10,11,3
100-104,100-104,100-104,100-104,3,1
100,100,100,100,3,1
101,101,101,101,3,1
102,102,102,102,3,1
103,103,103,103,3,1
104,104,104,104,3,1
105-109,105-109,105-109,105-109,3,1
105,105,105,105,3,1
106,106,106,106,3,1
107,107,107,107,3,1
108,108,108,108,3,1
109,109,109,109,3,1
11,11,11,11,11,3
110-114,110-114,110-114,110-114,3,1
110,110,110,110,3,1
111,111,111,111,3,1
112,112,112,112,3,1
113,113,113,113,3,1
114,114,114,114,3,1
115-119,115-119,115-119,115-119,3,1
115,115,115,115,3,1
116,116,116,116,3,1
117,117,117,117,3,1
118,118,118,118,3,1
119,119,119,119,3,1
12,12,12,12,11,3
120+,120+,120+,120+,6,2
13,13,13,13,11,3
14,14,14,14,11,3
15 - 19,15 - 19,15 - 19,15 - 19,1,1
15-19,15-19,15-19,15-19,387,4
15 - 24,15 - 24,15 - 24,15 - 24,9,3
15 - 64,15 - 64,15 - 64,15 - 64,9,3
15+,15+,15+,15+,10,4
15,15,15,15,11,3
<15,<15,<15,<15,1,1
16,16,16,16,11,3
17,17,17,17,11,3
18-24,18-24,18-24,18-24,1,1
18,18,18,18,11,3
19,19,19,19,11,3
2,2,2,2,11,3
20-24,20-24,20-24,20-24,387,4
20,20,20,20,11,3
21,21,21,21,11,3
22,22,22,22,11,3
23,23,23,23,11,3
24,24,24,24,11,3
25-29,25-29,25-29,25-29,387,4
25-34,25-34,25-34,25-34,1,1
25 - 49,25 - 49,25 - 49,25 - 49,9,3
25,25,25,25,11,3
26,26,26,26,11,3
27,27,27,27,11,3
28,28,28,28,11,3
29,29,29,29,11,3
3,3,3,3,11,3
30-34,30-34,30-34,30-34,387,4
30,30,30,30,11,3
31,31,31,31,11,3
32,32,32,32,11,3
33,33,33,33,11,3
34,34,34,34,11,3
35-39,35-39,35-39,35-39,387,4
35-44,35-44,35-44,35-44,1,1
35,35,35,35,11,3
36,36,36,36,11,3
37,37,37,37,11,3
38,38,38,38,11,3
39,39,39,39,11,3
4,4,4,4,11,3
40-44,40-44,40-44,40-44,387,4
40,40,40,40,11,3
41,41,41,41,11,3
42,42,42,42,11,3
43,43,43,43,11,3
44,44,44,44,11,3
45-49,45-49,45-49,45-49,387,4
45-54,45-54,45-54,45-54,1,1
45,45,45,45,11,3
46,46,46,46,11,3
47,47,47,47,11,3
48,48,48,48,11,3
49,49,49,49,11,3
5-9,5-9,5-9,5-9,387,4
5,5,5,5,11,3
50-54,50-54,50-54,50-54,387,4
50 - 64,50 - 64,50 - 64,50 - 64,9,3
50,50,50,50,11,3
51,51,51,51,11,3
52,52,52,52,11,3
53,53,53,53,11,3
54,54,54,54,11,3
55-59,55-59,55-59,55-59,387,4
55-64,55-64,55-64,55-64,1,1
55,55,55,55,11,3
56,56,56,56,11,3
57,57,57,57,11,3
58,58,58,58,11,3
59,59,59,59,11,3
6,6,6,6,11,3
60-64,60-64,60-64,60-64,387,4
60,60,60,60,11,3
61,61,61,61,11,3
62,62,62,62,11,3
63,63,63,63,11,3
64,64,64,64,11,3
65-69,65-69,65-69,65-69,387,4
65,65,65,65,11,3
65+,65+,65+,65+,1,1
66,66,66,66,11,3
67,67,67,67,11,3
68,68,68,68,11,3
69,69,69,69,11,3
7,7,7,7,11,3
70-74,70-74,70-74,70-74,387,4
70,70,70,70,11,3
71,71,71,71,11,3
72,72,72,72,11,3
73,73,73,73,11,3
74,74,74,74,11,3
75-79,75-79,75-79,75-79,387,4
75,75,75,75,11,3
76,76,76,76,11,3
77,77,77,77,11,3
78,78,78,78,11,3
79,79,79,79,11,3
8,8,8,8,11,3
80-84,80-84,80-84,80-84,387,4
80,80,80,80,11,3
81,81,81,81,11,3
82,82,82,82,11,3
83,83,83,83,11,3
84,84,84,84,11,3
85-89,85-89,85-89,85-89,198,2
85,85,85,85,8,2
85+,85+,85+,85+,192,3
86,86,86,86,8,2
87,87,87,87,8,2
88,88,88,88,8,2
89,89,89,89,8,2
9,9,9,9,11,3
90-94,90-94,90-94,90-94,3,1
90 +,90 +,90 +,90 +,5,1
90+,90+,90+,90+,198,2
90,90,90,90,3,1
91,91,91,91,3,1
92,92,92,92,3,1
93,93,93,93,3,1
94,94,94,94,3,1
95-99,95-99,95-99,95-99,3,1
95,95,95,95,3,1
96,96,96,96,3,1
97,97,97,97,3,1
98,98,98,98,3,1
99,99,99,99,3,1
_T,Total,Ukupno,Укупно,398,7
