Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
0-4,0-4,0-4,0-4,5,1
10-14,10-14,10-14,10-14,5,1
15-19,15-19,15-19,15-19,5,1
20-24,20-24,20-24,20-24,5,1
25-29,25-29,25-29,25-29,5,1
30-34,30-34,30-34,30-34,5,1
35-39,35-39,35-39,35-39,5,1
40-44,40-44,40-44,40-44,5,1
45-49,45-49,45-49,45-49,5,1
5-9,5-9,5-9,5-9,5,1
50-54,50-54,50-54,50-54,5,1
55-59,55-59,55-59,55-59,5,1
60-64,60-64,60-64,60-64,5,1
65-69,65-69,65-69,65-69,5,1
70-74,70-74,70-74,70-74,5,1
75-79,75-79,75-79,75-79,5,1
80-84,80-84,80-84,80-84,5,1
85-89,85-89,85-89,85-89,5,1
90 +,90 +,90 +,90 +,5,1
_T,Total,Ukupno,Укупно,5,1
