Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
5+_children,5+_children,5+_children,5+_children,63,1
_T,Total,Ukupno,Укупно,63,1
DEATHS,Deaths,Umrli,Умрли,1,1
did_not_give_birth,Did not give birth,Nisu rađale,Нису рађале,63,1
four_children,four_children,four_children,four_children,63,1
LIVE_BIRTH,Live births,Živorođeni,Живорођени,1,1
NATURAL_CHANGE,Natural change,Prirodno kretanje,Природно кретање,1,1
one_child,one_child,one_child,one_child,63,1
three_children,three_children,three_children,three_children,63,1
two_children,two_children,two_children,two_children,63,1
