Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Albanian,Albanian,Albanski,Albanian,Albanski,3,1
Bosniak,Bosniak,Bošnjački,Bosniak,Bošnjački,3,1
Bosnian,Bosnian,Bosanski,Bosnian,Bosanski,3,1
Bosnian_and_Herzegovinian,Bosnian and Herzegovinian,Bosansko-hercegovačka,Bosnian_and_Herzegovinian,Bosansko-hercegovačka,3,1
Croat ,Croat ,Croat ,Croat ,Croat ,3,1
Macedonian ,Macedonian ,Macedonian ,Macedonian ,Macedonian ,3,1
Montenegrin,Montenegrin,Montenegrin,Montenegrin,Montenegrin,3,1
Muslim,Muslim,Muslimanska,Muslim,Muslimanska,3,1
Orthodox,Orthodox,Pravoslavna,Orthodox,Pravoslavna,3,1
Others,Others,Drugo,Others,Drugo,3,1
Romani,Romani,Romski,Romani,Romski,3,1
Serb,Serb,Serb,Serb,Serb,3,1
Slovenian,Slovenian,Slovenian,Slovenian,Slovenian,3,1
Turk,Turk,Turk,Turk,Turk,3,1
Ukrainian,Ukrainian,Ukrainian,Ukrainian,Ukrainian,3,1
Undeclared,Undaclared,Neopredijeljen,Undeclared,Neopredijeljen,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
Yugoslav,Yugoslav,Yugoslav,Yugoslav,Yugoslav,3,1
