Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
berkovici,Berkovici,berkovici,Берковићи,57,1
bileca,Bileca,bileca,Билећа,57,1
bratunac,Bratunac,bratunac,Братунац,57,1
brod,Brod,brod,Брод,57,1
cajnice,Cajnice,cajnice,Чајниче,57,1
celinac,Celinac,celinac,Челинац,57,1
donji_zabar,Donji Zabar,donji_zabar,Доњи Жабар,57,1
foca,Foca,foca,Фоча,57,1
gacko,Gacko,gacko,Гацко,57,1
grad_banja_luka,City of Banja Luka,grad_banja_luka,Град Бања Лука,57,1
grad_bijeljina,City of Bijeljina,grad_bijeljina,Град Бијељина,57,1
grad_derventa,City of Derventa,grad_derventa,Град Дервента,57,1
grad_doboj,City of Doboj,grad_doboj,Град Добој,57,1
grad_gradiska,City of Gradiska,grad_gradiska,Град Градишка,57,1
grad_prijedor,City of Prijedor,grad_prijedor,Град Приједор,57,1
grad_trebinje,City of Trebinje,grad_trebinje,Град Требиње,57,1
grad_zvornik,City of Zvornik,grad_zvornik,Град Зворник,57,1
han_pijesak,Han Pijesak,han_pijesak,Хан Пијесак,57,1
istocna_ilidza,East Ilidza,istocna_ilidza,Источна Илиџа,57,1
istocni_drvar,East Drvar,istocni_drvar,Источни Дрвар,57,1
istocni_mostar,East Mostar,istocni_mostar,Источни Мостар,57,1
istocni_stari_grad,East Stari Grad,istocni_stari_grad,Источни Стари Град,57,1
istocno_novo_sarajevo,East Novo Sarajevo,istocno_novo_sarajevo,Источно Ново Сарајево,57,1
jezero,Jezero,jezero,Језеро,57,1
kalinovik,Kalinovik,kalinovik,Калиновик,57,1
knezevo,Knezevo,knezevo,Кнежево,57,1
kostajnica,Kostajnica,kostajnica,Костајница,57,1
kotor_varos,Kotor Varos,kotor_varos,Котор Варош,57,1
kozarska_dubica,Kozarska Dubica,kozarska_dubica,Козарска Дубица,57,1
krupa_na_uni,Krupa Na Uni,krupa_na_uni,Крупа на Уни,57,1
kupres,Kupres,kupres,Купрес,57,1
laktasi,Laktasi,laktasi,Лакташи,57,1
ljubinje,Ljubinje,ljubinje,Љубиње,57,1
lopare,Lopare,lopare,Лопаре,57,1
milici,Milici,milici,Милићи,57,1
modrica,Modrica,modrica,Модрича,57,1
mrkonjic_grad,Mrkonjic Grad,mrkonjic_grad,Мркоњић Град,57,1
nevesinje,Nevesinje,nevesinje,Невесиње,57,1
novi_grad,Novi Grad,novi_grad,Нови Град,57,1
novo_gorazde,Novo Gorazde,novo_gorazde,Ново Горажде,57,1
osmaci,Osmaci,osmaci,Осмаци,57,1
ostra_luka,Ostra Luka,ostra_luka,Оштра Лука,57,1
pale,Pale,pale,Пале,57,1
pelagicevo,Pelagicevo,pelagicevo,Пелагићево,57,1
petrovac,Petrovac,petrovac,Петровац,57,1
petrovo,Petrovo,petrovo,Петрово,57,1
prnjavor,Prnjavor,prnjavor,Прњавор,57,1
ribnik,Ribnik,ribnik,Рибник,57,1
rogatica,Rogatica,rogatica,Рогатица,57,1
rudo,Rudo,rudo,Рудо,57,1
samac,Samac,samac,Шамац,57,1
sekovici,Sekovici,sekovici,Шековићи,57,1
sipovo,Sipovo,sipovo,Шипово,57,1
sokolac,Sokolac,sokolac,Соколац,57,1
srbac,Srbac,srbac,Србац,57,1
srebrenica,Srebrenica,srebrenica,Сребреница,57,1
teslic,Teslic,teslic,Теслић,57,1
trnovo,Trnovo,trnovo,Трново,57,1
ugljevik,Ugljevik,ugljevik,Угљевик,57,1
visegrad,Visegrad,visegrad,Вишеград,57,1
vlasenica,Vlasenica,vlasenica,Власеница,57,1
vukosavlje,Vukosavlje,vukosavlje,Вукосавље,57,1
