Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0-4,0-4,0-4,0-4,0-4,24,2
10-14,10-14,10-14,10-14,10-14,24,2
100-104,100-104,100-104,100-104,100-104,22,1
105-109,105-109,105-109,105-109,105-109,22,1
110-114,110-114,110-114,110-114,110-114,22,1
115-119,115-119,115-119,115-119,115-119,22,1
120+,120+,120+,120+,120+,22,1
15-19,15-19,15-19,15-19,15-19,24,2
20-24,20-24,20-24,20-24,20-24,24,2
25-29,25-29,25-29,25-29,25-29,24,2
30-34,30-34,30-34,30-34,30-34,24,2
35-39,35-39,35-39,35-39,35-39,24,2
40-44,40-44,40-44,40-44,40-44,24,2
45-49,45-49,45-49,45-49,45-49,24,2
5-9,5-9,5-9,5-9,5-9,24,2
50-54,50-54,50-54,50-54,50-54,24,2
55-59,55-59,55-59,55-59,55-59,24,2
60-64,60-64,60-64,60-64,60-64,24,2
65-69,65-69,65-69,65-69,65-69,24,2
70-74,70-74,70-74,70-74,70-74,24,2
75-79,75-79,75-79,75-79,75-79,24,2
80-84,80-84,80-84,80-84,80-84,24,2
85-89,85-89,85-89,85-89,85-89,22,1
85+,Older than 85,85+,85+,85+,2,1
90-94,90-94,90-94,90-94,90-94,22,1
95-99,95-99,95-99,95-99,95-99,22,1
