Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,24,2
2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,24,2
2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,24,2
2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,24,2
2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,24,2
2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,24,2
2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,24,2
2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,24,2
2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,24,2
2020/2021,2020/2021,2020/2021,2020/2021,2020/2021,24,2
