Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
2010/2011,2010/2011,2010/2011,2010/2011,2010/2011,21,1
2011/2012,2011/2012,2011/2012,2011/2012,2011/2012,21,1
2012/2013,2012/2013,2012/2013,2012/2013,2012/2013,21,1
2013/2014,2013/2014,2013/2014,2013/2014,2013/2014,21,1
2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,21,1
2015/2016,2015/2016,2015/2016,2015/2016,2015/2016,21,1
2016/2017,2016/2017,2016/2017,2016/2017,2016/2017,21,1
2017/2018,2017/2018,2017/2018,2017/2018,2017/2018,21,1
2018/2019,2018/2019,2018/2019,2018/2019,2018/2019,21,1
2019/2020,2019/2020,2019/2020,2019/2020,2019/2020,21,1
